Date,RTWVDAK684NMFRBDAL
1988-01-01,100.00
1988-02-01,101.36
1988-03-01,99.72
1988-04-01,98.08
1988-05-01,98.09
1988-06-01,99.94
1988-07-01,104.09
1988-08-01,104.44
1988-09-01,105.04
1988-10-01,101.18
1988-11-01,97.62
1988-12-01,97.97
1989-01-01,100.61
1989-02-01,101.55
1989-03-01,103.06
1989-04-01,102.98
1989-05-01,106.66
1989-06-01,110.51
1989-07-01,108.57
1989-08-01,109.52
1989-09-01,111.37
1989-10-01,109.24
1989-11-01,111.17
1989-12-01,111.51
1990-01-01,112.83
1990-02-01,113.28
1990-03-01,117.83
1990-04-01,119.78
1990-05-01,116.65
1990-06-01,117.93
1990-07-01,115.82
1990-08-01,114.87
1990-09-01,110.42
1990-10-01,104.89
1990-11-01,104.72
1990-12-01,107.63
1991-01-01,107.33
1991-02-01,105.62
1991-03-01,109.71
1991-04-01,109.80
1991-05-01,110.26
1991-06-01,112.03
1991-07-01,111.24
1991-08-01,110.27
1991-09-01,109.20
1991-10-01,106.65
1991-11-01,105.68
1991-12-01,104.96
1992-01-01,103.45
1992-02-01,105.48
1992-03-01,108.89
1992-04-01,108.44
1992-05-01,106.59
1992-06-01,104.61
1992-07-01,104.22
1992-08-01,104.45
1992-09-01,102.55
1992-10-01,102.51
1992-11-01,105.07
1992-12-01,105.15
1993-01-01,106.35
1993-02-01,104.00
1993-03-01,101.43
1993-04-01,97.86
1993-05-01,96.55
1993-06-01,94.84
1993-07-01,95.13
1993-08-01,92.52
1993-09-01,93.46
1993-10-01,95.09
1993-11-01,96.10
1993-12-01,97.10
1994-01-01,99.20
1994-02-01,95.96
1994-03-01,95.37
1994-04-01,94.40
1994-05-01,94.60
1994-06-01,94.31
1994-07-01,91.88
1994-08-01,92.59
1994-09-01,91.76
1994-10-01,91.09
1994-11-01,91.05
1994-12-01,92.61
1995-01-01,92.31
1995-02-01,91.53
1995-03-01,86.91
1995-04-01,81.72
1995-05-01,82.54
1995-06-01,82.19
1995-07-01,83.93
1995-08-01,88.69
1995-09-01,92.12
1995-10-01,92.60
1995-11-01,93.48
1995-12-01,93.42
1996-01-01,96.00
1996-02-01,95.91
1996-03-01,96.24
1996-04-01,96.72
1996-05-01,96.32
1996-06-01,98.02
1996-07-01,98.69
1996-08-01,97.87
1996-09-01,99.13
1996-10-01,100.82
1996-11-01,100.99
1996-12-01,101.92
1997-01-01,104.27
1997-02-01,107.27
1997-03-01,107.98
1997-04-01,108.60
1997-05-01,105.20
1997-06-01,103.39
1997-07-01,104.32
1997-08-01,105.95
1997-09-01,107.22
1997-10-01,108.03
1997-11-01,112.63
1997-12-01,122.26
1998-01-01,125.52
1998-02-01,122.44
1998-03-01,121.89
1998-04-01,121.63
1998-05-01,123.05
1998-06-01,126.32
1998-07-01,125.61
1998-08-01,127.95
1998-09-01,124.45
1998-10-01,117.82
1998-11-01,117.06
1998-12-01,114.73
1999-01-01,112.30
1999-02-01,114.67
1999-03-01,117.75
1999-04-01,117.59
1999-05-01,118.44
1999-06-01,117.89
1999-07-01,118.41
1999-08-01,114.83
1999-09-01,111.88
1999-10-01,111.02
1999-11-01,110.64
1999-12-01,109.00
2000-01-01,110.35
2000-02-01,113.52
2000-03-01,112.83
2000-04-01,112.24
2000-05-01,114.78
2000-06-01,113.71
2000-07-01,114.95
2000-08-01,115.10
2000-09-01,115.16
2000-10-01,117.00
2000-11-01,118.20
2000-12-01,120.42
2001-01-01,123.30
2001-02-01,123.44
2001-03-01,127.12
2001-04-01,129.40
2001-05-01,128.54
2001-06-01,129.29
2001-07-01,130.30
2001-08-01,127.25
2001-09-01,126.92
2001-10-01,128.13
2001-11-01,128.90
2001-12-01,130.41
2002-01-01,133.86
2002-02-01,134.93
2002-03-01,134.17
2002-04-01,133.73
