Date,S42SMNM144NCEN
1992-01-01,138830000000.00
1992-02-01,132921000000.00
1992-03-01,150672000000.00
1992-04-01,146927000000.00
1992-05-01,141749000000.00
1992-06-01,150869000000.00
1992-07-01,150768000000.00
1992-08-01,147079000000.00
1992-09-01,152030000000.00
1992-10-01,158307000000.00
1992-11-01,145676000000.00
1992-12-01,151302000000.00
1993-01-01,140824000000.00
1993-02-01,138267000000.00
1993-03-01,159749000000.00
1993-04-01,154677000000.00
1993-05-01,153693000000.00
1993-06-01,158043000000.00
1993-07-01,152798000000.00
1993-08-01,159014000000.00
1993-09-01,158768000000.00
1993-10-01,160576000000.00
1993-11-01,156357000000.00
1993-12-01,155449000000.00
1994-01-01,143826000000.00
1994-02-01,143069000000.00
1994-03-01,171413000000.00
1994-04-01,157193000000.00
1994-05-01,163090000000.00
1994-06-01,168454000000.00
1994-07-01,157254000000.00
1994-08-01,177898000000.00
1994-09-01,172066000000.00
1994-10-01,176341000000.00
1994-11-01,171870000000.00
1994-12-01,172425000000.00
1995-01-01,165397000000.00
1995-02-01,161211000000.00
1995-03-01,186778000000.00
1995-04-01,170025000000.00
1995-05-01,185818000000.00
1995-06-01,186564000000.00
1995-07-01,172384000000.00
1995-08-01,191076000000.00
1995-09-01,181621000000.00
1995-10-01,193246000000.00
1995-11-01,184672000000.00
1995-12-01,180188000000.00
1996-01-01,178477000000.00
1996-02-01,176150000000.00
1996-03-01,189303000000.00
1996-04-01,189906000000.00
1996-05-01,195454000000.00
1996-06-01,185356000000.00
1996-07-01,193212000000.00
1996-08-01,196149000000.00
1996-09-01,190873000000.00
1996-10-01,209454000000.00
1996-11-01,189016000000.00
1996-12-01,190993000000.00
1997-01-01,186983000000.00
1997-02-01,181571000000.00
1997-03-01,200205000000.00
1997-04-01,198723000000.00
1997-05-01,200357000000.00
1997-06-01,199810000000.00
1997-07-01,200632000000.00
1997-08-01,195457000000.00
1997-09-01,206341000000.00
1997-10-01,215636000000.00
1997-11-01,188397000000.00
1997-12-01,203733000000.00
1998-01-01,187750000000.00
1998-02-01,183337000000.00
1998-03-01,211184000000.00
1998-04-01,204583000000.00
1998-05-01,198874000000.00
1998-06-01,210701000000.00
1998-07-01,204982000000.00
1998-08-01,199128000000.00
1998-09-01,207425000000.00
1998-10-01,212915000000.00
1998-11-01,196656000000.00
1998-12-01,209585000000.00
1999-01-01,184434000000.00
1999-02-01,188602000000.00
1999-03-01,225471000000.00
1999-04-01,212372000000.00
1999-05-01,211738000000.00
1999-06-01,226910000000.00
1999-07-01,215120000000.00
1999-08-01,223078000000.00
1999-09-01,226580000000.00
1999-10-01,226868000000.00
1999-11-01,225903000000.00
1999-12-01,232083000000.00
2000-01-01,208053000000.00
2000-02-01,218632000000.00
2000-03-01,248659000000.00
2000-04-01,222637000000.00
2000-05-01,243460000000.00
2000-06-01,247509000000.00
2000-07-01,226260000000.00
2000-08-01,246918000000.00
2000-09-01,236862000000.00
2000-10-01,248451000000.00
2000-11-01,236370000000.00
2000-12-01,230743000000.00
2001-01-01,229917000000.00
2001-02-01,217231000000.00
2001-03-01,245078000000.00
2001-04-01,229085000000.00
2001-05-01,244303000000.00
2001-06-01,234330000000.00
2001-07-01,228826000000.00
2001-08-01,242911000000.00
2001-09-01,223722000000.00
2001-10-01,243615000000.00
2001-11-01,227250000000.00
2001-12-01,218884000000.00
2002-01-01,220173000000.00
2002-02-01,210596000000.00
2002-03-01,234089000000.00
2002-04-01,237757000000.00
2002-05-01,244150000000.00
2002-06-01,234015000000.00
2002-07-01,241943000000.00
2002-08-01,245497000000.00
2002-09-01,237792000000.00
2002-10-01,255957000000.00
2002-11-01,235200000000.00
2002-12-01,238359000000.00
2003-01-01,235203000000.00
2003-02-01,223951000000.00
2003-03-01,251650000000.00
2003-04-01,246510000000.00
2003-05-01,244275000000.00
2003-06-01,248528000000.00
2003-07-01,252280000000.00
2003-08-01,245663000000.00
2003-09-01,255324000000.00
2003-10-01,270911000000.00
2003-11-01,240507000000.00
2003-12-01,263480000000.00
2004-01-01,242664000000.00
2004-02-01,244547000000.00
2004-03-01,293916000000.00
2004-04-01,277963000000.00
2004-05-01,269321000000.00
2004-06-01,287297000000.00
2004-07-01,273064000000.00
2004-08-01,285655000000.00
2004-09-01,286115000000.00
2004-10-01,287056000000.00
2004-11-01,286871000000.00
2004-12-01,295542000000.00
2005-01-01,266882000000.00
2005-02-01,267830000000.00
2005-03-01,316292000000.00
2005-04-01,296040000000.00
2005-05-01,300524000000.00
2005-06-01,311842000000.00
2005-07-01,289919000000.00
2005-08-01,322704000000.00
2005-09-01,319981000000.00
2005-10-01,321283000000.00
2005-11-01,311440000000.00
2005-12-01,313759000000.00
2006-01-01,299076000000.00
2006-02-01,290574000000.00
2006-03-01,344649000000.00
2006-04-01,312685000000.00
2006-05-01,342560000000.00
2006-06-01,347750000000.00
2006-07-01,320414000000.00
2006-08-01,354860000000.00
2006-09-01,330558000000.00
2006-10-01,344117000000.00
2006-11-01,329163000000.00
2006-12-01,324851000000.00
2007-01-01,321055000000.00
2007-02-01,305197000000.00
2007-03-01,356519000000.00
2007-04-01,344037000000.00
2007-05-01,366773000000.00
2007-06-01,360350000000.00
2007-07-01,347436000000.00
2007-08-01,372162000000.00
2007-09-01,345821000000.00
2007-10-01,386978000000.00
2007-11-01,366746000000.00
2007-12-01,350399000000.00
2008-01-01,362186000000.00
2008-02-01,350169000000.00
2008-03-01,381146000000.00
2008-04-01,393545000000.00
2008-05-01,400663000000.00
2008-06-01,412016000000.00
2008-07-01,409811000000.00
2008-08-01,392732000000.00
2008-09-01,392838000000.00
2008-10-01,389350000000.00
2008-11-01,313162000000.00
2008-12-01,326739000000.00
2009-01-01,293070000000.00
2009-02-01,283241000000.00
2009-03-01,316842000000.00
2009-04-01,312102000000.00
2009-05-01,307194000000.00
2009-06-01,331015000000.00
2009-07-01,324202000000.00
2009-08-01,320167000000.00
2009-09-01,331566000000.00
2009-10-01,340511000000.00
2009-11-01,325114000000.00
2009-12-01,344354000000.00
2010-01-01,313005000000.00
2010-02-01,311426000000.00
