Date,STLENI
2013-04-01,3.09
2013-07-01,3.52
2013-10-01,2.61
2014-01-01,3.81
2014-04-01,4.17
2014-07-01,3.25
2014-10-01,2.33
2015-01-01,2.01
2015-04-01,4.09
2015-07-01,3.01
2015-10-01,2.59
2016-01-01,1.07
2016-04-01,2.20
2016-07-01,3.08
2016-10-01,3.17
2017-01-01,3.18
2017-04-01,2.39
2017-07-01,2.92
2017-10-01,3.47
2018-01-01,3.50
2018-04-01,3.54
