Date,U36SNO
1992-02-01,33786000000.00
1992-03-01,37946000000.00
1992-04-01,38536000000.00
1992-05-01,37158000000.00
1992-06-01,36744000000.00
1992-07-01,22864000000.00
1992-08-01,29154000000.00
1992-09-01,32098000000.00
1992-10-01,42089000000.00
1992-11-01,33211000000.00
1992-12-01,38214000000.00
1993-01-01,31466000000.00
1993-02-01,40316000000.00
1993-03-01,39372000000.00
1993-04-01,36553000000.00
1993-05-01,34546000000.00
1993-06-01,41365000000.00
1993-07-01,23917000000.00
1993-08-01,33047000000.00
1993-09-01,33709000000.00
1993-10-01,38560000000.00
1993-11-01,36824000000.00
1993-12-01,38291000000.00
1994-01-01,41323000000.00
1994-02-01,40938000000.00
1994-03-01,43111000000.00
1994-04-01,39559000000.00
1994-05-01,40239000000.00
1994-06-01,43260000000.00
1994-07-01,25996000000.00
1994-08-01,40096000000.00
1994-09-01,41819000000.00
1994-10-01,42489000000.00
1994-11-01,43992000000.00
1994-12-01,44431000000.00
1995-01-01,39253000000.00
1995-02-01,47167000000.00
1995-03-01,48719000000.00
1995-04-01,40086000000.00
1995-05-01,41628000000.00
1995-06-01,43626000000.00
1995-07-01,25827000000.00
1995-08-01,40881000000.00
1995-09-01,48190000000.00
1995-10-01,41203000000.00
1995-11-01,44029000000.00
1995-12-01,47524000000.00
1996-01-01,45547000000.00
1996-02-01,44641000000.00
1996-03-01,54238000000.00
1996-04-01,43164000000.00
1996-05-01,48223000000.00
1996-06-01,47958000000.00
1996-07-01,31946000000.00
1996-08-01,38552000000.00
1996-09-01,50436000000.00
1996-10-01,47652000000.00
1996-11-01,51573000000.00
1996-12-01,48094000000.00
1997-01-01,45599000000.00
1997-02-01,48844000000.00
1997-03-01,48242000000.00
1997-04-01,47832000000.00
1997-05-01,45315000000.00
1997-06-01,50702000000.00
1997-07-01,32784000000.00
1997-08-01,47861000000.00
1997-09-01,49665000000.00
1997-10-01,53765000000.00
1997-11-01,61921000000.00
1997-12-01,49250000000.00
1998-01-01,47503000000.00
1998-02-01,52134000000.00
1998-03-01,53569000000.00
1998-04-01,53905000000.00
1998-05-01,49628000000.00
1998-06-01,45452000000.00
1998-07-01,30063000000.00
1998-08-01,51183000000.00
1998-09-01,55507000000.00
1998-10-01,55190000000.00
1998-11-01,53867000000.00
1998-12-01,52204000000.00
1999-01-01,57418000000.00
1999-02-01,56278000000.00
1999-03-01,62506000000.00
1999-04-01,52078000000.00
1999-05-01,54370000000.00
1999-06-01,56655000000.00
1999-07-01,36567000000.00
1999-08-01,55910000000.00
1999-09-01,56489000000.00
1999-10-01,58067000000.00
1999-11-01,52425000000.00
1999-12-01,61452000000.00
2000-01-01,58230000000.00
2000-02-01,54175000000.00
2000-03-01,60256000000.00
2000-04-01,50625000000.00
2000-05-01,52669000000.00
2000-06-01,81638000000.00
2000-07-01,33187000000.00
2000-08-01,52023000000.00
2000-09-01,60221000000.00
2000-10-01,50061000000.00
2000-11-01,53416000000.00
2000-12-01,56825000000.00
2001-01-01,44732000000.00
2001-02-01,48574000000.00
2001-03-01,64355000000.00
