Date,DABSHNO
1945-10-01,105596000000.00
1946-10-01,117132000000.00
1947-10-01,120491000000.00
1948-10-01,120331000000.00
1949-10-01,121167000000.00
1950-10-01,126111000000.00
1951-10-01,135524000000.00
1952-01-01,135920000000.00
1952-04-01,136445000000.00
1952-07-01,140790000000.00
1952-10-01,145156000000.00
1953-01-01,147804000000.00
1953-04-01,147207000000.00
1953-07-01,151424000000.00
1953-10-01,154703000000.00
1954-01-01,155136000000.00
1954-04-01,157093000000.00
1954-07-01,162931000000.00
1954-10-01,166077000000.00
1955-01-01,167846000000.00
1955-04-01,168037000000.00
1955-07-01,173016000000.00
1955-10-01,175819000000.00
1956-01-01,177309000000.00
1956-04-01,178865000000.00
1956-07-01,183165000000.00
1956-10-01,187113000000.00
1957-01-01,189289000000.00
1957-04-01,190694000000.00
1957-07-01,195233000000.00
1957-10-01,198191000000.00
1958-01-01,201589000000.00
1958-04-01,202186000000.00
1958-07-01,210539000000.00
1958-10-01,215004000000.00
1959-01-01,217114000000.00
1959-04-01,220137000000.00
1959-07-01,225959000000.00
1959-10-01,228096000000.00
1960-01-01,228305000000.00
1960-04-01,230226000000.00
1960-07-01,236987000000.00
1960-10-01,242043000000.00
1961-01-01,245235000000.00
1961-04-01,248973000000.00
1961-07-01,254539000000.00
1961-10-01,259837000000.00
1962-01-01,264453000000.00
1962-04-01,269203000000.00
1962-07-01,276907000000.00
1962-10-01,286061000000.00
1963-01-01,294203000000.00
1963-04-01,300331000000.00
1963-07-01,307763000000.00
1963-10-01,316999000000.00
1964-01-01,320095000000.00
1964-04-01,327892000000.00
1964-07-01,338278000000.00
1964-10-01,345895000000.00
1965-01-01,351297000000.00
1965-04-01,357846000000.00
1965-07-01,369423000000.00
1965-10-01,380095000000.00
1966-01-01,384123000000.00
1966-04-01,388507000000.00
1966-07-01,393446000000.00
1966-10-01,400590000000.00
1967-01-01,410252000000.00
1967-04-01,421951000000.00
1967-07-01,433419000000.00
1967-10-01,446058000000.00
1968-01-01,450905000000.00
1968-04-01,458357000000.00
1968-07-01,470535000000.00
1968-10-01,485278000000.00
1969-01-01,482823000000.00
1969-04-01,489073000000.00
1969-07-01,486346000000.00
1969-10-01,492217000000.00
1970-01-01,489126000000.00
1970-04-01,503670000000.00
1970-07-01,525371000000.00
1970-10-01,542084000000.00
1971-01-01,566008000000.00
1971-04-01,587212000000.00
1971-07-01,602289000000.00
1971-10-01,623085000000.00
1972-01-01,642135000000.00
1972-04-01,660459000000.00
1972-07-01,684343000000.00
1972-10-01,708627000000.00
1973-01-01,728596000000.00
1973-04-01,746387000000.00
1973-07-01,758496000000.00
1973-10-01,777359000000.00
1974-01-01,794682000000.00
1974-04-01,811359000000.00
1974-07-01,820525000000.00
1974-10-01,840814000000.00
1975-01-01,857327000000.00
1975-04-01,885773000000.00
1975-07-01,902855000000.00
1975-10-01,924544000000.00
1976-01-01,948185000000.00
1976-04-01,977066000000.00
1976-07-01,999020000000.00
1976-10-01,1026178000000.00
1977-01-01,1060554000000.00
1977-04-01,1084846000000.00
1977-07-01,1118383000000.00
1977-10-01,1142469000000.00
1978-01-01,1173350000000.00
1978-04-01,1202905000000.00
1978-07-01,1235475000000.00
1978-10-01,1257951000000.00
1979-01-01,1280615000000.00
1979-04-01,1310051000000.00
1979-07-01,1351660000000.00
1979-10-01,1375876000000.00
1980-01-01,1405586000000.00
1980-04-01,1444047000000.00
1980-07-01,1493209000000.00
1980-10-01,1539778000000.00
1981-01-01,1582576000000.00
1981-04-01,1616936000000.00
1981-07-01,1677852000000.00
1981-10-01,1766533000000.00
1982-01-01,1817879000000.00
1982-04-01,1865464000000.00
1982-07-01,1930527000000.00
1982-10-01,1993904000000.00
1983-01-01,2050573000000.00
1983-04-01,2089264000000.00
1983-07-01,2144272000000.00
1983-10-01,2188388000000.00
1984-01-01,2250769000000.00
1984-04-01,2329935000000.00
1984-07-01,2385407000000.00
1984-10-01,2494557000000.00
1985-01-01,2542305000000.00
1985-04-01,2584192000000.00
1985-07-01,2626225000000.00
1985-10-01,2644938000000.00
1986-01-01,2702734000000.00
1986-04-01,2760199000000.00
1986-07-01,2826870000000.00
1986-10-01,2920406000000.00
1987-01-01,2901652000000.00
1987-04-01,2946092000000.00
1987-07-01,2991300000000.00
1987-10-01,3081262000000.00
1988-01-01,3159548000000.00
1988-04-01,3178757000000.00
1988-07-01,3219061000000.00
1988-10-01,3285182000000.00
1989-01-01,3318196000000.00
1989-04-01,3334691000000.00
1989-07-01,3393735000000.00
1989-10-01,3448186000000.00
1990-01-01,3474111000000.00
1990-04-01,3460621000000.00
1990-07-01,3492513000000.00
1990-10-01,3527017000000.00
1991-01-01,3609684000000.00
1991-04-01,3529923000000.00
1991-07-01,3502273000000.00
1991-10-01,3518094000000.00
1992-01-01,3413748000000.00
1992-04-01,3375551000000.00
1992-07-01,3347879000000.00
1992-10-01,3361341000000.00
1993-01-01,3303526000000.00
1993-04-01,3291544000000.00
1993-07-01,3289003000000.00
1993-10-01,3286345000000.00
1994-01-01,3262521000000.00
1994-04-01,3210101000000.00
1994-07-01,3207576000000.00
1994-10-01,3239925000000.00
1995-01-01,3290071000000.00
1995-04-01,3360529000000.00
1995-07-01,3378754000000.00
1995-10-01,3426529000000.00
1996-01-01,3527906000000.00
1996-04-01,3508176000000.00
1996-07-01,3543567000000.00
1996-10-01,3564586000000.00
1997-01-01,3608234000000.00
1997-04-01,3614288000000.00
1997-07-01,3668832000000.00
1997-10-01,3730943000000.00
1998-01-01,3776127000000.00
1998-04-01,3764861000000.00
1998-07-01,3805968000000.00
1998-10-01,3938023000000.00
1999-01-01,3977914000000.00
1999-04-01,3912425000000.00
1999-07-01,3972441000000.00
1999-10-01,4122977000000.00
2000-01-01,4248827000000.00
2000-04-01,4238259000000.00
2000-07-01,4282946000000.00
2000-10-01,4454639000000.00
2001-01-01,4726476000000.00
2001-04-01,4742620000000.00
2001-07-01,4857733000000.00
2001-10-01,4974752000000.00
2002-01-01,5071503000000.00
2002-04-01,4966031000000.00
2002-07-01,5090882000000.00
2002-10-01,5177198000000.00
2003-01-01,5380117000000.00
2003-04-01,5425130000000.00
2003-07-01,5353280000000.00
2003-10-01,5432724000000.00
2004-01-01,5589232000000.00
2004-04-01,5649912000000.00
2004-07-01,5640995000000.00
2004-10-01,5819148000000.00
2005-01-01,5909158000000.00
2005-04-01,5978464000000.00
2005-07-01,6103103000000.00
2005-10-01,6237589000000.00
2006-01-01,6427302000000.00
2006-04-01,6518519000000.00
2006-07-01,6638571000000.00
2006-10-01,6886580000000.00
2007-01-01,7088335000000.00
2007-04-01,7144596000000.00
2007-07-01,7269278000000.00
