Date,DABSHNO
2007-10-01,7552164000000.00
2008-01-01,7854052000000.00
2008-04-01,7684714000000.00
2008-07-01,7869861000000.00
2008-10-01,8236299000000.00
2009-01-01,8224342000000.00
2009-04-01,8159501000000.00
2009-07-01,7966436000000.00
2009-10-01,8104206000000.00
2010-01-01,7992392000000.00
2010-04-01,7925111000000.00
2010-07-01,7982229000000.00
2010-10-01,8077102000000.00
2011-01-01,8160173000000.00
2011-04-01,8393142000000.00
2011-07-01,8513098000000.00
2011-10-01,8722332000000.00
2012-01-01,8782993000000.00
2012-04-01,8845099000000.00
2012-07-01,8885076000000.00
2012-10-01,9247313000000.00
2013-01-01,9293932000000.00
2013-04-01,9282176000000.00
2013-07-01,9455132000000.00
2013-10-01,9646483000000.00
2014-01-01,9820962000000.00
2014-04-01,9835737000000.00
2014-07-01,9945688000000.00
2014-10-01,10133437000000.00
2015-01-01,10311280000000.00
2015-04-01,10192314000000.00
2015-07-01,10365076000000.00
2015-10-01,10645883000000.00
2016-01-01,10740950000000.00
2016-04-01,10739511000000.00
2016-07-01,11065529000000.00
2016-10-01,11243158000000.00
2017-01-01,11437911000000.00
2017-04-01,11309572000000.00
2017-07-01,11404650000000.00
2017-10-01,11524911000000.00
2018-01-01,11657255000000.00
