Date,U33HVS
1992-01-01,1621000000.00
1992-02-01,1988000000.00
1992-03-01,2166000000.00
1992-04-01,2302000000.00
1992-05-01,2282000000.00
1992-06-01,2476000000.00
1992-07-01,2086000000.00
1992-08-01,2030000000.00
1992-09-01,2040000000.00
1992-10-01,2082000000.00
1992-11-01,1948000000.00
1992-12-01,1882000000.00
1993-01-01,1820000000.00
1993-02-01,2085000000.00
1993-03-01,2408000000.00
1993-04-01,2273000000.00
1993-05-01,2377000000.00
1993-06-01,2493000000.00
1993-07-01,2086000000.00
1993-08-01,2262000000.00
1993-09-01,2367000000.00
1993-10-01,2367000000.00
1993-11-01,2287000000.00
1993-12-01,2327000000.00
1994-01-01,1982000000.00
1994-02-01,2391000000.00
1994-03-01,2650000000.00
1994-04-01,2540000000.00
1994-05-01,2694000000.00
1994-06-01,2923000000.00
1994-07-01,2487000000.00
1994-08-01,2603000000.00
1994-09-01,2686000000.00
1994-10-01,2665000000.00
1994-11-01,2446000000.00
1994-12-01,2304000000.00
1995-01-01,2203000000.00
1995-02-01,2629000000.00
1995-03-01,2896000000.00
1995-04-01,2698000000.00
1995-05-01,2818000000.00
1995-06-01,2958000000.00
1995-07-01,2471000000.00
1995-08-01,2828000000.00
1995-09-01,2835000000.00
1995-10-01,2794000000.00
1995-11-01,2528000000.00
1995-12-01,2585000000.00
1996-01-01,2326000000.00
1996-02-01,2673000000.00
1996-03-01,2929000000.00
1996-04-01,2821000000.00
1996-05-01,2959000000.00
1996-06-01,3182000000.00
1996-07-01,2641000000.00
1996-08-01,2835000000.00
1996-09-01,3036000000.00
1996-10-01,2868000000.00
1996-11-01,2659000000.00
1996-12-01,2388000000.00
1997-01-01,2284000000.00
1997-02-01,2628000000.00
1997-03-01,2765000000.00
1997-04-01,2751000000.00
1997-05-01,2615000000.00
1997-06-01,2828000000.00
1997-07-01,2469000000.00
1997-08-01,2430000000.00
1997-09-01,2660000000.00
1997-10-01,2631000000.00
1997-11-01,2439000000.00
1997-12-01,2291000000.00
1998-01-01,2194000000.00
1998-02-01,2586000000.00
1998-03-01,2835000000.00
1998-04-01,2763000000.00
1998-05-01,2859000000.00
1998-06-01,3223000000.00
1998-07-01,2735000000.00
1998-08-01,2773000000.00
1998-09-01,2925000000.00
1998-10-01,2939000000.00
1998-11-01,2603000000.00
1998-12-01,2515000000.00
1999-01-01,2276000000.00
1999-02-01,2698000000.00
1999-03-01,3021000000.00
1999-04-01,2856000000.00
1999-05-01,2912000000.00
1999-06-01,3257000000.00
1999-07-01,2739000000.00
1999-08-01,2893000000.00
1999-09-01,3048000000.00
1999-10-01,2879000000.00
1999-11-01,2820000000.00
1999-12-01,3073000000.00
2000-01-01,2478000000.00
2000-02-01,2822000000.00
2000-03-01,3101000000.00
2000-04-01,2874000000.00
2000-05-01,3108000000.00
2000-06-01,3508000000.00
2000-07-01,2672000000.00
2000-08-01,2964000000.00
2000-09-01,3062000000.00
2000-10-01,2907000000.00
2000-11-01,2619000000.00
2000-12-01,2709000000.00
2001-01-01,2324000000.00
2001-02-01,2677000000.00
2001-03-01,3094000000.00
2001-04-01,2704000000.00
2001-05-01,3105000000.00
2001-06-01,3358000000.00
2001-07-01,2641000000.00
2001-08-01,2908000000.00
2001-09-01,2766000000.00
2001-10-01,2591000000.00
2001-11-01,2480000000.00
2001-12-01,2491000000.00
2002-01-01,2167000000.00
2002-02-01,2324000000.00
2002-03-01,2921000000.00
2002-04-01,2699000000.00
2002-05-01,2938000000.00
2002-06-01,3236000000.00
2002-07-01,2643000000.00
2002-08-01,2894000000.00
2002-09-01,2822000000.00
2002-10-01,2521000000.00
2002-11-01,2475000000.00
2002-12-01,2545000000.00
2003-01-01,2235000000.00
2003-02-01,2353000000.00
2003-03-01,2850000000.00
2003-04-01,2521000000.00
2003-05-01,2836000000.00
2003-06-01,3250000000.00
2003-07-01,2720000000.00
2003-08-01,2877000000.00
