Date,CPIEALL
1982-12-01,100.00
1983-01-01,100.40
1983-02-01,100.50
1983-03-01,100.60
1983-04-01,101.20
1983-05-01,101.70
1983-06-01,102.00
1983-07-01,102.40
1983-08-01,102.70
1983-09-01,103.20
1983-10-01,103.40
1983-11-01,103.50
1983-12-01,103.70
1984-01-01,104.40
1984-02-01,105.10
1984-03-01,105.30
1984-04-01,105.70
1984-05-01,106.00
1984-06-01,106.30
1984-07-01,106.70
1984-08-01,107.20
1984-09-01,107.60
1984-10-01,107.80
1984-11-01,107.90
1984-12-01,108.00
1985-01-01,108.30
1985-02-01,108.80
1985-03-01,109.20
1985-04-01,109.70
1985-05-01,110.10
1985-06-01,110.50
1985-07-01,110.80
1985-08-01,111.10
1985-09-01,111.40
1985-10-01,111.70
1985-11-01,112.10
1985-12-01,112.40
1986-01-01,112.90
1986-02-01,112.70
1986-03-01,112.30
1986-04-01,112.30
1986-05-01,112.60
1986-06-01,113.10
1986-07-01,113.30
1986-08-01,113.60
1986-09-01,114.10
1986-10-01,114.20
1986-11-01,114.20
1986-12-01,114.40
1987-01-01,115.20
1987-02-01,115.70
1987-03-01,116.10
1987-04-01,116.70
1987-05-01,117.10
1987-06-01,117.70
1987-07-01,117.90
1987-08-01,118.60
1987-09-01,119.00
1987-10-01,119.30
1987-11-01,119.50
1987-12-01,119.50
1988-01-01,120.00
1988-02-01,120.30
1988-03-01,120.90
1988-04-01,121.50
1988-05-01,121.90
1988-06-01,122.50
1988-07-01,123.00
1988-08-01,123.60
1988-09-01,124.20
1988-10-01,124.60
1988-11-01,124.80
1988-12-01,124.90
1989-01-01,125.70
1989-02-01,126.30
1989-03-01,127.10
1989-04-01,127.90
1989-05-01,128.60
1989-06-01,129.00
1989-07-01,129.60
1989-08-01,129.80
1989-09-01,130.00
1989-10-01,130.80
1989-11-01,131.10
1989-12-01,131.40
1990-01-01,133.00
1990-02-01,133.60
1990-03-01,134.40
1990-04-01,134.60
1990-05-01,134.90
1990-06-01,135.80
1990-07-01,136.60
1990-08-01,137.90
1990-09-01,138.80
1990-10-01,139.60
1990-11-01,140.00
1990-12-01,140.10
1991-01-01,141.20
1991-02-01,141.60
1991-03-01,141.90
1991-04-01,142.00
1991-05-01,142.40
