Date,U34IUO
1992-01-01,9671000000.00
1992-02-01,9819000000.00
1992-03-01,9650000000.00
1992-04-01,9358000000.00
1992-05-01,9267000000.00
1992-06-01,8736000000.00
1992-07-01,8661000000.00
1992-08-01,8299000000.00
1992-09-01,8485000000.00
1992-10-01,8243000000.00
1992-11-01,7983000000.00
1992-12-01,8397000000.00
1993-01-01,8326000000.00
1993-02-01,8458000000.00
1993-03-01,8560000000.00
1993-04-01,8481000000.00
1993-05-01,8222000000.00
1993-06-01,7854000000.00
1993-07-01,7747000000.00
1993-08-01,7348000000.00
1993-09-01,7083000000.00
1993-10-01,6928000000.00
1993-11-01,6716000000.00
1993-12-01,6675000000.00
1994-01-01,6577000000.00
1994-02-01,6406000000.00
1994-03-01,6188000000.00
1994-04-01,5918000000.00
1994-05-01,5766000000.00
1994-06-01,6554000000.00
1994-07-01,6874000000.00
1994-08-01,7036000000.00
1994-09-01,6949000000.00
1994-10-01,7035000000.00
1994-11-01,6865000000.00
1994-12-01,6752000000.00
1995-01-01,6668000000.00
1995-02-01,6689000000.00
1995-03-01,6615000000.00
1995-04-01,6521000000.00
1995-05-01,6339000000.00
1995-06-01,6403000000.00
1995-07-01,6331000000.00
1995-08-01,6162000000.00
1995-09-01,5924000000.00
1995-10-01,5841000000.00
1995-11-01,5769000000.00
1995-12-01,6204000000.00
1996-01-01,6205000000.00
1996-02-01,6398000000.00
1996-03-01,6211000000.00
1996-04-01,6294000000.00
1996-05-01,6188000000.00
1996-06-01,6006000000.00
1996-07-01,5696000000.00
1996-08-01,5284000000.00
1996-09-01,5176000000.00
1996-10-01,5262000000.00
1996-11-01,5205000000.00
1996-12-01,5302000000.00
1997-01-01,5364000000.00
1997-02-01,6308000000.00
1997-03-01,6426000000.00
1997-04-01,6343000000.00
1997-05-01,6230000000.00
1997-06-01,6255000000.00
1997-07-01,8056000000.00
1997-08-01,7982000000.00
1997-09-01,7895000000.00
1997-10-01,7945000000.00
1997-11-01,8072000000.00
1997-12-01,8063000000.00
1998-01-01,8047000000.00
1998-02-01,8048000000.00
1998-03-01,8010000000.00
1998-04-01,7934000000.00
1998-05-01,7839000000.00
1998-06-01,8251000000.00
1998-07-01,8107000000.00
1998-08-01,7879000000.00
1998-09-01,7811000000.00
1998-10-01,7560000000.00
1998-11-01,7252000000.00
1998-12-01,7013000000.00
1999-01-01,6930000000.00
1999-02-01,6925000000.00
1999-03-01,6837000000.00
1999-04-01,6872000000.00
1999-05-01,6855000000.00
1999-06-01,6837000000.00
1999-07-01,6675000000.00
1999-08-01,6508000000.00
1999-09-01,6340000000.00
1999-10-01,6191000000.00
1999-11-01,6085000000.00
1999-12-01,6134000000.00
2000-01-01,6089000000.00
2000-02-01,5968000000.00
2000-03-01,6113000000.00
2000-04-01,6075000000.00
2000-05-01,6105000000.00
2000-06-01,6148000000.00
2000-07-01,6044000000.00
2000-08-01,5811000000.00
2000-09-01,5693000000.00
2000-10-01,5787000000.00
2000-11-01,5640000000.00
2000-12-01,5491000000.00
2001-01-01,5349000000.00
2001-02-01,5455000000.00
2001-03-01,5313000000.00
2001-04-01,5214000000.00
2001-05-01,5143000000.00
2001-06-01,5110000000.00
2001-07-01,5018000000.00
2001-08-01,4898000000.00
2001-09-01,4755000000.00
2001-10-01,4722000000.00
2001-11-01,4562000000.00
2001-12-01,4396000000.00
2002-01-01,4301000000.00
2002-02-01,4400000000.00
2002-03-01,4367000000.00
2002-04-01,4383000000.00
2002-05-01,4345000000.00
2002-06-01,4309000000.00
2002-07-01,4224000000.00
2002-08-01,4103000000.00
2002-09-01,3995000000.00
2002-10-01,4096000000.00
2002-11-01,4108000000.00
2002-12-01,4105000000.00
2003-01-01,4257000000.00
2003-02-01,4130000000.00
2003-03-01,4098000000.00
2003-04-01,4040000000.00
2003-05-01,4297000000.00
2003-06-01,4285000000.00
2003-07-01,4333000000.00
2003-08-01,4303000000.00
2003-09-01,4227000000.00
2003-10-01,3807000000.00
2003-11-01,3841000000.00
2003-12-01,3859000000.00
2004-01-01,4043000000.00
2004-02-01,4128000000.00
2004-03-01,4159000000.00
2004-04-01,4131000000.00
2004-05-01,4174000000.00
2004-06-01,4049000000.00
2004-07-01,4138000000.00
2004-08-01,4208000000.00
2004-09-01,4355000000.00
2004-10-01,4183000000.00
2004-11-01,4176000000.00
2004-12-01,4380000000.00
2005-01-01,4661000000.00
2005-02-01,4738000000.00
2005-03-01,4814000000.00
2005-04-01,4771000000.00
2005-05-01,4715000000.00
2005-06-01,4756000000.00
2005-07-01,4767000000.00
2005-08-01,4819000000.00
2005-09-01,4987000000.00
2005-10-01,5036000000.00
2005-11-01,5028000000.00
2005-12-01,5011000000.00
2006-01-01,5130000000.00
2006-02-01,5671000000.00
2006-03-01,6009000000.00
