Date,CEFDFNA066MNFRBPHI
1992-02-01,29.20
1992-03-01,22.00
1992-04-01,21.80
1992-05-01,14.10
1992-06-01,33.40
1992-07-01,21.30
1992-08-01,18.20
1992-09-01,26.20
1992-10-01,22.30
1992-11-01,15.10
1992-12-01,21.40
1993-01-01,27.30
1993-02-01,22.40
1993-03-01,27.60
1993-04-01,22.30
1993-05-01,16.70
1993-06-01,12.00
1993-07-01,-4.00
1993-08-01,10.00
1993-09-01,17.50
1993-10-01,22.90
1993-11-01,32.30
1993-12-01,22.90
1994-01-01,26.10
1994-02-01,23.10
1994-03-01,30.90
1994-04-01,23.60
1994-05-01,28.30
1994-06-01,25.80
1994-07-01,24.30
1994-08-01,18.90
1994-09-01,14.70
1994-10-01,23.80
1994-11-01,33.30
1994-12-01,11.80
1995-01-01,32.20
1995-02-01,15.00
1995-03-01,10.00
1995-04-01,11.50
1995-05-01,4.90
1995-06-01,-8.00
1995-07-01,8.40
1995-08-01,11.60
1995-09-01,20.30
1995-10-01,16.10
1995-11-01,18.00
1995-12-01,20.80
1996-01-01,10.70
1996-02-01,19.40
1996-03-01,5.30
1996-04-01,29.10
1996-05-01,20.50
1996-06-01,16.30
1996-07-01,15.30
1996-08-01,4.80
1996-09-01,12.20
1996-10-01,16.40
1996-11-01,21.60
1996-12-01,15.70
1997-01-01,17.10
1997-02-01,22.30
1997-03-01,18.00
1997-04-01,12.90
1997-05-01,16.40
1997-06-01,23.00
1997-07-01,10.60
1997-08-01,12.00
1997-09-01,15.50
1997-10-01,16.20
1997-11-01,20.50
1997-12-01,25.20
1998-01-01,21.00
1998-02-01,19.40
1998-03-01,22.20
1998-04-01,20.50
1998-05-01,17.10
1998-06-01,19.50
1998-07-01,5.30
1998-08-01,16.40
1998-09-01,1.30
1998-10-01,10.90
1998-11-01,16.80
1998-12-01,14.30
1999-01-01,23.40
1999-02-01,26.80
1999-03-01,19.70
1999-04-01,21.80
1999-05-01,24.00
1999-06-01,20.40
1999-07-01,12.00
1999-08-01,19.50
1999-09-01,22.00
1999-10-01,26.10
1999-11-01,18.60
1999-12-01,20.00
2000-01-01,25.00
2000-02-01,42.60
2000-03-01,20.00
2000-04-01,12.90
2000-05-01,21.10
2000-06-01,10.60
2000-07-01,19.40
2000-08-01,21.80
2000-09-01,30.00
2000-10-01,25.90
2000-11-01,14.80
2000-12-01,30.20
2001-01-01,7.90
2001-02-01,-1.60
2001-03-01,5.10
2001-04-01,0.90
2001-05-01,9.80
2001-06-01,-0.80
2001-07-01,-3.60
2001-08-01,4.20
2001-09-01,6.50
2001-10-01,9.20
2001-11-01,-2.10
2001-12-01,15.80
2002-01-01,26.00
2002-02-01,14.90
2002-03-01,11.60
2002-04-01,13.30
2002-05-01,12.00
2002-06-01,18.40
2002-07-01,16.70
2002-08-01,4.40
2002-09-01,13.30
2002-10-01,18.40
2002-11-01,23.10
2002-12-01,15.40
2003-01-01,12.00
2003-02-01,17.10
2003-03-01,18.90
2003-04-01,13.60
2003-05-01,8.60
2003-06-01,9.90
2003-07-01,9.80
2003-08-01,13.80
2003-09-01,9.90
2003-10-01,15.90
2003-11-01,15.40
2003-12-01,28.00
2004-01-01,25.30
2004-02-01,27.60
2004-03-01,23.00
2004-04-01,27.50
2004-05-01,21.70
2004-06-01,16.50
2004-07-01,23.60
2004-08-01,21.50
2004-09-01,16.50
2004-10-01,24.70
2004-11-01,23.80
2004-12-01,33.70
2005-01-01,23.90
2005-02-01,28.10
2005-03-01,29.90
2005-04-01,32.20
2005-05-01,15.10
2005-06-01,16.10
2005-07-01,10.00
2005-08-01,16.90
2005-09-01,9.40
2005-10-01,14.70
2005-11-01,22.10
2005-12-01,22.90
2006-01-01,20.00
2006-02-01,28.00
2006-03-01,26.00
2006-04-01,19.30
2006-05-01,17.30
2006-06-01,10.90
2006-07-01,13.40
2006-08-01,4.70
2006-09-01,10.80
2006-10-01,8.00
2006-11-01,19.30
2006-12-01,10.50
2007-01-01,25.50
2007-02-01,25.00
2007-03-01,30.20
2007-04-01,15.70
2007-05-01,11.70
2007-06-01,13.10
2007-07-01,15.30
2007-08-01,22.30
2007-09-01,14.30
2007-10-01,19.10
2007-11-01,7.30
2007-12-01,27.90
2008-01-01,21.50
2008-02-01,9.60
2008-03-01,6.10
2008-04-01,15.30
2008-05-01,16.90
2008-06-01,-1.10
2008-07-01,4.70
2008-08-01,7.60
2008-09-01,11.70
2008-10-01,-6.20
2008-11-01,-10.60
2008-12-01,-16.00
2009-01-01,-10.80
2009-02-01,-12.40
2009-03-01,-14.30
2009-04-01,-2.60
2009-05-01,-2.40
2009-06-01,-3.80
2009-07-01,-1.30
2009-08-01,-2.30
2009-09-01,-2.50
2009-10-01,4.70
2009-11-01,11.80
2009-12-01,14.50
2010-01-01,21.20
2010-02-01,27.80
2010-03-01,11.20
2010-04-01,11.40
2010-05-01,8.70
2010-06-01,-1.30
2010-07-01,7.50
2010-08-01,10.50
2010-09-01,8.90
2010-10-01,19.70
2010-11-01,20.70
2010-12-01,31.40
2011-01-01,34.60
2011-02-01,17.10
2011-03-01,32.90
2011-04-01,20.90
2011-05-01,24.50
2011-06-01,7.80
2011-07-01,16.50
2011-08-01,3.90
2011-09-01,6.90
2011-10-01,11.40
2011-11-01,15.20
2011-12-01,14.50
2012-01-01,30.20
2012-02-01,19.50
2012-03-01,14.40
2012-04-01,22.70
2012-05-01,7.40
2012-06-01,11.60
2012-07-01,1.40
2012-08-01,3.70
2012-09-01,3.80
2012-10-01,-2.60
2012-11-01,1.30
2012-12-01,17.10
2013-01-01,15.00
2013-02-01,19.70
2013-03-01,7.50
2013-04-01,10.00
2013-05-01,11.60
2013-06-01,19.70
2013-07-01,25.00
2013-08-01,13.90
2013-09-01,26.30
2013-10-01,20.00
2013-11-01,16.90
2013-12-01,13.70
2014-01-01,26.10
2014-02-01,25.40
2014-03-01,31.40
2014-04-01,26.40
2014-05-01,23.20
2014-06-01,26.80
2014-07-01,18.80
2014-08-01,10.60
2014-09-01,23.40
2014-10-01,15.00
2014-11-01,21.30
2014-12-01,22.60
2015-01-01,21.40
2015-02-01,26.20
2015-03-01,17.10
2015-04-01,17.60
2015-05-01,15.20
2015-06-01,9.40
2015-07-01,8.30
2015-08-01,11.10
2015-09-01,28.00
2015-10-01,1.40
2015-11-01,23.70
2015-12-01,8.70
2016-01-01,13.00
2016-02-01,7.30
2016-03-01,18.00
2016-04-01,13.70
2016-05-01,21.60
2016-06-01,8.30
2016-07-01,12.60
2016-08-01,13.60
2016-09-01,11.60
2016-10-01,15.80
2016-11-01,18.40
2016-12-01,31.80
2017-01-01,24.30
2017-02-01,24.60
2017-03-01,39.70
2017-04-01,37.90
2017-05-01,34.30
2017-06-01,27.10
2017-07-01,38.50
2017-08-01,35.50
2017-09-01,39.70
2017-10-01,35.50
2017-11-01,36.70
2017-12-01,37.90
2018-01-01,38.70
2018-02-01,40.00
2018-03-01,42.10
2018-04-01,32.80
2018-05-01,22.90
2018-06-01,32.70
