Date,CEFDFNA066MNFRBPHI
1968-05-01,22.00
1968-06-01,23.00
1968-07-01,25.00
1968-08-01,12.00
1968-09-01,14.00
1968-10-01,16.00
1968-11-01,32.00
1968-12-01,31.00
1969-01-01,29.00
1969-02-01,42.00
1969-03-01,21.00
1969-04-01,31.00
1969-05-01,19.00
1969-06-01,18.00
1969-07-01,18.00
1969-08-01,9.00
1969-09-01,5.00
1969-10-01,2.00
1969-12-01,4.00
1970-01-01,9.00
1970-02-01,8.00
1970-03-01,8.00
1970-04-01,19.00
1970-05-01,7.00
1970-06-01,-2.00
1970-08-01,-2.00
1970-09-01,6.00
1970-10-01,-2.00
1970-11-01,-1.00
1970-12-01,11.00
1971-01-01,4.00
1971-02-01,6.00
1971-03-01,-2.00
1971-04-01,-6.00
1971-05-01,4.00
1971-06-01,4.00
1971-07-01,7.00
1971-08-01,8.00
1971-09-01,23.00
1971-10-01,10.00
1971-11-01,16.00
1971-12-01,36.00
1972-01-01,31.00
1972-02-01,45.00
1972-03-01,25.00
1972-04-01,36.00
1972-05-01,41.00
1972-06-01,42.00
1972-07-01,39.00
1972-08-01,24.00
1972-09-01,36.00
1972-10-01,29.00
1972-11-01,31.00
1972-12-01,49.00
1973-01-01,48.00
1973-02-01,47.00
1973-03-01,52.00
1973-04-01,38.00
1973-05-01,43.00
1973-06-01,31.00
1973-07-01,19.00
1973-08-01,29.00
1973-09-01,20.00
1973-10-01,18.00
1973-11-01,22.00
1973-12-01,29.00
1974-01-01,39.00
1974-02-01,16.00
1974-03-01,36.00
1974-04-01,41.00
1974-05-01,42.00
1974-06-01,30.00
1974-07-01,23.00
1974-08-01,2.00
1974-09-01,13.00
1974-10-01,2.00
1974-11-01,-4.00
1974-12-01,8.00
1975-01-01,11.00
1975-02-01,13.00
1975-03-01,-8.00
1975-04-01,19.00
1975-05-01,14.00
1975-06-01,19.00
1975-07-01,21.00
1975-08-01,17.00
1975-09-01,15.00
1975-10-01,20.00
1975-11-01,29.00
1975-12-01,26.00
1976-01-01,27.00
1976-02-01,32.00
1976-03-01,39.00
1976-04-01,36.00
1976-05-01,39.00
1976-06-01,30.00
1976-07-01,30.00
1976-08-01,44.00
1976-09-01,39.00
1976-10-01,43.00
1976-11-01,38.00
1976-12-01,38.00
1977-01-01,37.00
1977-02-01,48.00
1977-03-01,41.00
1977-04-01,40.00
1977-05-01,34.00
1977-06-01,27.00
1977-07-01,27.00
1977-08-01,23.00
1977-09-01,29.00
1977-10-01,36.00
1977-11-01,27.00
1977-12-01,38.00
1978-01-01,34.00
1978-02-01,40.00
1978-03-01,33.00
1978-04-01,21.00
1978-05-01,26.00
1978-06-01,21.00
1978-07-01,3.00
1978-10-01,14.00
1978-11-01,13.00
1978-12-01,21.00
1979-01-01,20.00
1979-02-01,15.00
1979-03-01,10.00
1979-04-01,18.00
1979-05-01,23.00
1979-06-01,23.00
1979-07-01,19.00
1979-08-01,27.00
1979-09-01,6.00
1979-10-01,21.00
1979-11-01,7.00
1980-01-01,18.00
1980-02-01,3.00
1980-03-01,24.00
1980-04-01,12.00
1980-05-01,3.00
1980-06-01,3.00
1980-07-01,15.00
1980-08-01,24.00
1980-09-01,17.00
1980-10-01,30.00
1980-11-01,27.00
1980-12-01,34.00
1981-01-01,16.00
1981-02-01,17.00
1981-03-01,23.00
1981-04-01,21.00
1981-05-01,19.00
1981-06-01,18.00
1981-07-01,39.00
1981-08-01,41.00
1981-09-01,33.00
1981-10-01,24.00
1981-11-01,12.00
1981-12-01,18.00
1982-01-01,17.00
1982-02-01,24.00
1982-03-01,16.00
1982-04-01,7.00
1982-05-01,6.00
1982-06-01,3.00
1982-07-01,10.00
1982-08-01,5.00
1982-09-01,7.00
1982-10-01,6.00
1982-11-01,5.00
1982-12-01,10.00
1983-01-01,7.00
1983-02-01,6.00
1983-03-01,21.00
1983-04-01,26.00
1983-05-01,28.00
1983-06-01,31.00
1983-07-01,19.00
1983-08-01,32.00
1983-09-01,21.00
1983-10-01,19.00
1983-11-01,36.00
1983-12-01,42.00
1984-01-01,48.00
1984-02-01,39.00
1984-03-01,39.00
1984-04-01,43.00
1984-05-01,30.00
1984-06-01,23.00
1984-07-01,12.00
1984-08-01,26.00
1984-09-01,23.00
1984-10-01,29.00
1984-11-01,19.00
1984-12-01,27.00
1985-01-01,29.10
1985-02-01,35.30
1985-03-01,22.70
1985-04-01,23.50
1985-05-01,21.60
1985-06-01,6.30
1985-07-01,12.50
1985-08-01,19.10
1985-09-01,2.40
1985-10-01,11.50
1985-11-01,20.40
1985-12-01,19.70
1986-01-01,32.40
1986-02-01,26.40
1986-03-01,11.70
1986-04-01,4.50
1986-05-01,3.10
1986-06-01,5.10
1986-07-01,8.80
1986-08-01,-1.70
1986-09-01,-1.50
1986-10-01,8.30
1986-11-01,18.00
1986-12-01,7.10
1987-01-01,5.30
1987-02-01,24.00
1987-03-01,4.00
1987-04-01,5.50
1987-05-01,17.30
1987-06-01,13.80
1987-07-01,8.30
1987-08-01,7.70
1987-09-01,27.30
1987-10-01,16.40
1987-11-01,11.60
1987-12-01,20.00
1988-01-01,13.60
1988-02-01,22.40
1988-03-01,21.30
1988-05-01,22.90
1988-06-01,20.30
1988-07-01,26.20
1988-08-01,20.70
1988-09-01,31.10
1988-10-01,23.20
1988-11-01,23.50
1988-12-01,43.10
1989-01-01,42.90
1989-02-01,29.10
1989-03-01,18.00
1989-04-01,29.10
1989-05-01,20.00
1989-06-01,8.40
1989-07-01,21.80
1989-08-01,17.00
1989-09-01,18.90
1989-10-01,-1.80
1989-11-01,6.60
1989-12-01,10.40
1990-01-01,3.80
1990-02-01,-2.00
1990-03-01,-13.50
1990-04-01,4.00
1990-05-01,3.60
1990-06-01,7.40
1990-07-01,6.50
1990-09-01,-10.60
1990-10-01,-2.80
1990-11-01,-4.60
1990-12-01,7.50
1991-01-01,-4.60
1991-02-01,11.70
1991-03-01,8.40
1991-04-01,27.40
1991-05-01,15.10
1991-06-01,25.70
1991-07-01,29.70
1991-08-01,13.30
1991-09-01,14.60
1991-10-01,18.10
1991-11-01,12.50
1991-12-01,19.40
1992-01-01,27.50
