Date,PERMITNSA
1959-01-01,75700.00
1959-02-01,79000.00
1959-03-01,119000.00
1959-04-01,127900.00
1959-05-01,120800.00
1959-06-01,120900.00
1959-07-01,112300.00
1959-08-01,106400.00
1959-09-01,102500.00
1959-10-01,94600.00
1959-11-01,75800.00
1959-12-01,73500.00
1960-01-01,62600.00
1960-02-01,68100.00
1960-03-01,89000.00
1960-04-01,101100.00
1960-05-01,103400.00
1960-06-01,94800.00
1960-07-01,86300.00
1960-08-01,93700.00
1960-09-01,84900.00
1960-10-01,81600.00
1960-11-01,73900.00
1960-12-01,58700.00
1961-01-01,59700.00
1961-02-01,58800.00
1961-03-01,92700.00
1961-04-01,94000.00
1961-05-01,105300.00
1961-06-01,104500.00
1961-07-01,92800.00
1961-08-01,108600.00
1961-09-01,90400.00
1961-10-01,98300.00
1961-11-01,87400.00
1961-12-01,71700.00
1962-01-01,73200.00
1962-02-01,74600.00
1962-03-01,101400.00
1962-04-01,120800.00
1962-05-01,117500.00
1962-06-01,107000.00
1962-07-01,105800.00
1962-08-01,111000.00
1962-09-01,95200.00
1962-10-01,107600.00
1962-11-01,94500.00
1962-12-01,78000.00
1963-01-01,84400.00
1963-02-01,78700.00
1963-03-01,108800.00
1963-04-01,131500.00
1963-05-01,138700.00
1963-06-01,118700.00
1963-07-01,121900.00
1963-08-01,115000.00
1963-09-01,114700.00
1963-10-01,127800.00
1963-11-01,98600.00
1963-12-01,96100.00
1964-01-01,86400.00
1964-02-01,90900.00
1964-03-01,119200.00
1964-04-01,128800.00
1964-05-01,122900.00
1964-06-01,124800.00
1964-07-01,119500.00
1964-08-01,108400.00
1964-09-01,107600.00
1964-10-01,106600.00
1964-11-01,90600.00
1964-12-01,80000.00
1965-01-01,74300.00
1965-02-01,75400.00
1965-03-01,115700.00
1965-04-01,120600.00
1965-05-01,115000.00
1965-06-01,122000.00
1965-07-01,108600.00
1965-08-01,108900.00
1965-09-01,104200.00
1965-10-01,105700.00
1965-11-01,99300.00
1965-12-01,90100.00
1966-01-01,76000.00
1966-02-01,73100.00
1966-03-01,117800.00
1966-04-01,114100.00
1966-05-01,107000.00
1966-06-01,95000.00
1966-07-01,77400.00
1966-08-01,79300.00
1966-09-01,65900.00
1966-10-01,61300.00
1966-11-01,56100.00
1966-12-01,48900.00
1967-01-01,58500.00
1967-02-01,57000.00
1967-03-01,91400.00
1967-04-01,99500.00
1967-05-01,111200.00
1967-06-01,115500.00
1967-07-01,97100.00
1967-08-01,110600.00
1967-09-01,103400.00
1967-10-01,111800.00
1967-11-01,99800.00
1967-12-01,85200.00
1968-01-01,74400.00
