Date,DDDM01USA156NWDB
1975-01-01,40.40
1976-01-01,42.22
1977-01-01,41.55
1978-01-01,36.20
1979-01-01,35.40
1980-01-01,41.32
1981-01-01,41.35
1982-01-01,40.93
1983-01-01,44.88
1984-01-01,42.50
1985-01-01,44.87
1986-01-01,52.56
1987-01-01,52.38
1988-01-01,50.67
1989-01-01,54.66
1990-01-01,54.56
1991-01-01,58.77
1992-01-01,66.73
1993-01-01,71.46
1994-01-01,71.32
1995-01-01,79.14
1996-01-01,95.62
1997-01-01,112.10
1998-01-01,130.58
1999-01-01,143.67
2000-01-01,146.19
2001-01-01,138.33
2002-01-01,114.90
2003-01-01,110.69
2004-01-01,125.55
2005-01-01,128.39
2006-01-01,133.39
2007-01-01,137.36
2008-01-01,109.70
2009-01-01,92.96
2010-01-01,108.32
2011-01-01,107.38
2012-01-01,107.03
2013-01-01,128.71
2014-01-01,146.50
2015-01-01,143.31
2016-01-01,131.12
2017-01-01,132.87
2018-01-01,134.63
2018-06-29,135.49
