Date,RTWVDWV684NMFRBDAL
1988-01-01,100.00
1988-02-01,100.68
1988-03-01,99.07
1988-04-01,98.16
1988-05-01,98.57
1988-06-01,100.09
1988-07-01,102.50
1988-08-01,103.84
1988-09-01,104.50
1988-10-01,102.06
1988-11-01,99.46
1988-12-01,98.76
1989-01-01,100.92
1989-02-01,101.37
1989-03-01,102.68
1989-04-01,102.64
1989-05-01,105.46
1989-06-01,107.34
1989-07-01,104.11
1989-08-01,104.85
1989-09-01,105.80
1989-10-01,103.62
1989-11-01,102.88
1989-12-01,100.47
1990-01-01,99.49
1990-02-01,99.37
1990-03-01,100.52
1990-04-01,99.58
1990-05-01,98.34
1990-06-01,99.04
1990-07-01,96.93
1990-08-01,94.96
1990-09-01,94.85
1990-10-01,92.60
1990-11-01,91.88
1990-12-01,92.79
1991-01-01,92.77
1991-02-01,91.53
1991-03-01,96.25
1991-04-01,98.33
1991-05-01,98.89
1991-06-01,101.09
1991-07-01,100.89
1991-08-01,99.40
1991-09-01,97.72
1991-10-01,97.15
1991-11-01,94.99
1991-12-01,93.37
1992-01-01,93.37
1992-02-01,94.94
1992-03-01,97.06
1992-04-01,96.33
1992-05-01,95.22
1992-06-01,93.76
1992-07-01,91.31
1992-08-01,90.15
1992-09-01,91.09
1992-10-01,93.75
1992-11-01,97.57
1992-12-01,97.77
1993-01-01,99.04
1993-02-01,99.59
1993-03-01,99.26
1993-04-01,97.38
1993-05-01,97.26
1993-06-01,98.38
1993-07-01,100.15
1993-08-01,100.37
1993-09-01,99.18
1993-10-01,100.30
1993-11-01,101.51
1993-12-01,101.66
1994-01-01,102.45
1994-02-01,102.28
1994-03-01,102.05
1994-04-01,102.11
1994-05-01,100.95
1994-06-01,99.48
1994-07-01,97.97
1994-08-01,97.66
1994-09-01,96.45
1994-10-01,95.38
1994-11-01,95.78
1994-12-01,97.10
1995-01-01,96.67
1995-02-01,95.82
1995-03-01,93.92
1995-04-01,91.90
1995-05-01,92.04
1995-06-01,92.01
1995-07-01,91.45
1995-08-01,93.44
1995-09-01,94.19
1995-10-01,93.44
1995-11-01,93.74
1995-12-01,94.37
1996-01-01,95.28
1996-02-01,95.44
1996-03-01,95.86
1996-04-01,96.37
1996-05-01,97.14
1996-06-01,97.30
1996-07-01,96.97
1996-08-01,96.36
1996-09-01,96.93
1996-10-01,97.13
1996-11-01,96.59
1996-12-01,97.93
1997-01-01,99.38
1997-02-01,101.86
1997-03-01,102.03
1997-04-01,102.41
1997-05-01,101.27
1997-06-01,101.46
1997-07-01,102.71
1997-08-01,104.46
1997-09-01,103.95
1997-10-01,103.72
1997-11-01,104.90
1997-12-01,109.26
1998-01-01,111.17
1998-02-01,110.06
1998-03-01,109.57
1998-04-01,109.46
1998-05-01,109.67
