Date,CAPUTLG3364T9S
1948-01-01,39.15
1948-02-01,38.57
1948-03-01,38.91
1948-04-01,39.42
1948-05-01,38.83
1948-06-01,39.05
1948-07-01,38.78
1948-08-01,39.65
1948-09-01,39.94
1948-10-01,40.52
1948-11-01,40.11
1948-12-01,40.42
1949-01-01,40.23
1949-02-01,41.24
1949-03-01,41.34
1949-04-01,40.17
1949-05-01,39.69
1949-06-01,39.01
1949-07-01,38.47
1949-08-01,35.61
1949-09-01,36.59
1949-10-01,34.75
1949-11-01,34.10
1949-12-01,32.90
1950-01-01,32.08
1950-02-01,32.10
1950-03-01,31.79
1950-04-01,31.89
1950-05-01,33.77
1950-06-01,34.98
1950-07-01,36.12
1950-08-01,40.06
1950-09-01,40.45
1950-10-01,41.86
1950-11-01,43.44
1950-12-01,44.63
1951-01-01,46.22
1951-02-01,48.22
1951-03-01,50.59
1951-04-01,52.61
1951-05-01,53.48
1951-06-01,55.02
1951-07-01,55.70
1951-08-01,57.39
1951-09-01,59.02
1951-10-01,59.51
1951-11-01,65.30
1951-12-01,67.09
1952-01-01,69.97
1952-02-01,71.57
1952-03-01,73.48
1952-04-01,74.19
1952-05-01,77.69
1952-06-01,79.70
1952-07-01,81.11
1952-08-01,82.90
1952-09-01,82.28
1952-10-01,86.26
1952-11-01,86.70
1952-12-01,89.62
1953-01-01,91.18
1953-02-01,91.24
1953-03-01,91.16
1953-04-01,90.96
1953-05-01,90.89
1953-06-01,90.49
1953-07-01,91.69
1953-08-01,92.03
1953-09-01,90.41
1953-10-01,90.32
1953-11-01,84.33
1953-12-01,83.58
1954-01-01,82.12
1954-02-01,80.12
1954-03-01,78.88
1954-04-01,76.74
1954-05-01,75.77
1954-06-01,74.45
1954-07-01,73.49
1954-08-01,72.45
1954-09-01,72.21
1954-10-01,71.08
1954-11-01,70.75
1954-12-01,70.83
1955-01-01,71.08
1955-02-01,70.90
1955-03-01,70.94
1955-04-01,71.42
1955-05-01,73.01
1955-06-01,71.67
1955-07-01,72.31
1955-08-01,72.52
1955-09-01,72.90
1955-10-01,74.38
1955-11-01,74.07
1955-12-01,74.74
1956-01-01,74.56
1956-02-01,75.64
1956-03-01,75.50
1956-04-01,76.35
1956-05-01,77.87
1956-06-01,78.13
1956-07-01,79.46
1956-08-01,79.80
1956-09-01,79.08
1956-10-01,82.09
1956-11-01,84.60
1956-12-01,86.28
1957-01-01,86.99
1957-02-01,88.17
1957-03-01,88.47
1957-04-01,88.20
1957-05-01,86.24
1957-06-01,87.02
1957-07-01,85.63
1957-08-01,84.64
1957-09-01,82.21
1957-10-01,79.94
1957-11-01,75.98
1957-12-01,73.57
1958-01-01,73.01
1958-02-01,70.60
1958-03-01,70.37
1958-04-01,69.02
1958-05-01,67.91
1958-06-01,68.00
1958-07-01,67.93
1958-08-01,68.67
1958-09-01,69.33
1958-10-01,69.42
1958-11-01,70.64
1958-12-01,70.64
1959-01-01,70.08
1959-02-01,70.25
1959-03-01,69.36
1959-04-01,71.12
1959-05-01,71.84
1959-06-01,72.15
1959-07-01,73.35
1959-08-01,72.62
1959-09-01,69.16
1959-10-01,68.59
1959-11-01,68.58
1959-12-01,68.50
1960-01-01,67.94
1960-02-01,68.66
1960-03-01,67.94
1960-04-01,67.87
1960-05-01,69.48
1960-06-01,63.71
1960-07-01,66.28
1960-08-01,66.29
1960-09-01,65.98
1960-10-01,66.79
1960-11-01,65.99
1960-12-01,65.89
1961-01-01,66.44
1961-02-01,65.38
1961-03-01,66.63
1961-04-01,67.00
1961-05-01,67.53
1961-06-01,67.01
1961-07-01,67.05
1961-08-01,67.75
1961-09-01,70.17
1961-10-01,70.46
1961-11-01,72.15
1961-12-01,72.65
1962-01-01,71.91
1962-02-01,73.98
1962-03-01,75.01
1962-04-01,75.13
1962-05-01,76.08
1962-06-01,77.05
1962-07-01,78.60
1962-08-01,79.49
1962-09-01,79.29
1962-10-01,79.68
1962-11-01,79.81
1962-12-01,80.11
1963-01-01,84.79
1963-02-01,84.24
1963-03-01,83.57
1963-04-01,82.75
1963-05-01,80.50
1963-06-01,82.36
1963-07-01,83.03
1963-08-01,83.54
1963-09-01,83.88
1963-10-01,83.48
1963-11-01,82.10
1963-12-01,81.98
1964-01-01,82.26
1964-02-01,82.78
1964-03-01,82.59
1964-04-01,82.88
1964-05-01,83.26
1964-06-01,81.95
1964-07-01,80.58
1964-08-01,80.40
1964-09-01,80.30
1964-10-01,80.28
1964-11-01,81.44
1964-12-01,81.00
1965-01-01,81.43
1965-02-01,80.92
1965-03-01,80.86
1965-04-01,81.41
1965-05-01,83.32
1965-06-01,82.94
1965-07-01,83.39
1965-08-01,83.84
1965-09-01,84.81
1965-10-01,86.51
1965-11-01,87.37
1965-12-01,88.39
1966-01-01,91.64
1966-02-01,90.23
1966-03-01,90.63
1966-04-01,90.04
1966-05-01,90.86
1966-06-01,90.14
1966-07-01,92.66
1966-08-01,94.17
1966-09-01,92.03
1966-10-01,93.26
1966-11-01,93.14
1966-12-01,93.06
1967-01-01,93.82
1967-02-01,93.80
1967-03-01,94.05
1967-04-01,95.25
1967-05-01,95.04
1967-06-01,94.89
1967-07-01,93.75
1967-08-01,94.27
1967-09-01,93.14
1967-10-01,93.77
1967-11-01,93.39
1967-12-01,94.57
1968-01-01,93.56
1968-02-01,95.00
1968-03-01,92.39
1968-04-01,89.08
1968-05-01,90.49
1968-06-01,91.36
1968-07-01,90.99
1968-08-01,89.34
1968-09-01,88.04
1968-10-01,87.64
1968-11-01,87.37
1968-12-01,87.02
1969-01-01,87.10
1969-02-01,86.90
1969-03-01,87.61
1969-04-01,87.35
1969-05-01,86.94
1969-06-01,85.90
1969-07-01,86.29
1969-08-01,86.38
1969-09-01,86.91
1969-10-01,87.28
1969-11-01,84.44
1969-12-01,83.02
1970-01-01,81.49
1970-02-01,81.09
1970-03-01,79.80
1970-04-01,79.56
1970-05-01,75.24
1970-06-01,75.16
1970-07-01,74.86
1970-08-01,73.71
1970-09-01,72.77
1970-10-01,70.85
1970-11-01,70.39
1970-12-01,69.32
1971-01-01,68.95
1971-02-01,68.08
1971-03-01,66.30
1971-04-01,66.52
1971-05-01,67.01
1971-06-01,66.61
1971-07-01,66.12
1971-08-01,66.70
1971-09-01,66.95
1971-10-01,68.66
1971-11-01,66.34
1971-12-01,65.83
1972-01-01,66.47
1972-02-01,66.58
1972-03-01,66.74
1972-04-01,66.54
1972-05-01,64.80
1972-06-01,64.12
1972-07-01,63.65
1972-08-01,63.72
1972-09-01,64.18
1972-10-01,65.19
1972-11-01,67.18
1972-12-01,68.74
1973-01-01,69.89
1973-02-01,71.77
1973-03-01,72.04
1973-04-01,72.53
1973-05-01,72.75
1973-06-01,73.28
1973-07-01,74.27
1973-08-01,74.31
1973-09-01,74.72
1973-10-01,75.89
1973-11-01,75.66
1973-12-01,74.92
1974-01-01,74.32
1974-02-01,73.62
1974-03-01,73.38
1974-04-01,72.69
1974-05-01,73.45
1974-06-01,72.96
1974-07-01,74.17
1974-08-01,75.22
1974-09-01,75.46
1974-10-01,75.87
1974-11-01,75.57
1974-12-01,74.22
1975-01-01,74.02
1975-02-01,70.88
1975-03-01,71.32
1975-04-01,70.14
1975-05-01,72.04
1975-06-01,72.17
1975-07-01,70.86
1975-08-01,69.74
1975-09-01,70.51
1975-10-01,69.86
1975-11-01,68.13
1975-12-01,70.23
1976-01-01,70.02
1976-02-01,68.99
1976-03-01,69.11
1976-04-01,67.78
1976-05-01,66.83
1976-06-01,65.70
1976-07-01,63.46
1976-08-01,64.01
1976-09-01,63.76
1976-10-01,64.09
1976-11-01,65.08
1976-12-01,64.89
1977-01-01,65.31
1977-02-01,66.19
1977-03-01,65.38
1977-04-01,67.45
1977-05-01,68.84
1977-06-01,70.20
1977-07-01,69.28
1977-08-01,67.67
1977-09-01,67.62
1977-10-01,61.83
1977-11-01,61.38
1977-12-01,63.74
1978-01-01,64.52
1978-02-01,63.51
1978-03-01,68.52
1978-04-01,70.59
1978-05-01,71.99
1978-06-01,73.41
1978-07-01,73.53
1978-08-01,75.13
1978-09-01,76.32
1978-10-01,76.87
1978-11-01,76.91
1978-12-01,78.25
1979-01-01,79.02
1979-02-01,80.71
1979-03-01,80.52
1979-04-01,78.89
1979-05-01,79.95
1979-06-01,80.61
1979-07-01,82.16
1979-08-01,82.99
1979-09-01,82.38
1979-10-01,84.38
1979-11-01,84.65
1979-12-01,85.07
1980-01-01,84.81
1980-02-01,86.43
1980-03-01,85.84
1980-04-01,84.50
1980-05-01,83.80
1980-06-01,83.93
1980-07-01,83.50
1980-08-01,83.51
1980-09-01,83.57
1980-10-01,84.33
1980-11-01,84.80
1980-12-01,84.25
1981-01-01,82.61
1981-02-01,81.18
1981-03-01,80.22
1981-04-01,78.72
1981-05-01,77.60
1981-06-01,75.74
1981-07-01,74.54
1981-08-01,74.41
1981-09-01,74.76
1981-10-01,73.94
1981-11-01,73.40
1981-12-01,72.71
1982-01-01,70.09
1982-02-01,72.10
1982-03-01,70.93
1982-04-01,69.76
1982-05-01,68.79
1982-06-01,68.68
1982-07-01,69.13
1982-08-01,68.33
1982-09-01,69.28
1982-10-01,69.51
1982-11-01,70.28
1982-12-01,70.08
1983-01-01,69.67
1983-02-01,68.13
1983-03-01,68.29
1983-04-01,66.81
1983-05-01,66.23
1983-06-01,65.31
1983-07-01,65.29
1983-08-01,65.00
1983-09-01,64.98
1983-10-01,65.49
1983-11-01,65.86
1983-12-01,65.85
1984-01-01,67.00
1984-02-01,68.12
1984-03-01,67.90
1984-04-01,69.18
1984-05-01,69.35
1984-06-01,69.74
1984-07-01,69.31
1984-08-01,70.42
1984-09-01,71.41
1984-10-01,71.67
1984-11-01,70.88
1984-12-01,71.84
1985-01-01,71.92
1985-02-01,71.23
1985-03-01,72.38
1985-04-01,71.96
1985-05-01,71.87
1985-06-01,72.48
1985-07-01,71.25
1985-08-01,72.54
1985-09-01,72.54
1985-10-01,72.69
1985-11-01,73.55
1985-12-01,73.74
1986-01-01,74.68
1986-02-01,73.30
1986-03-01,73.10
1986-04-01,73.41
1986-05-01,73.37
1986-06-01,73.13
1986-07-01,73.18
1986-08-01,74.28
1986-09-01,74.18
1986-10-01,74.44
1986-11-01,74.85
1986-12-01,74.62
1987-01-01,74.52
1987-02-01,74.99
1987-03-01,75.03
1987-04-01,74.91
1987-05-01,74.75
1987-06-01,74.41
1987-07-01,74.43
1987-08-01,75.48
1987-09-01,75.81
1987-10-01,75.82
1987-11-01,76.16
1987-12-01,77.56
1988-01-01,79.68
1988-02-01,78.88
1988-03-01,77.69
1988-04-01,78.10
1988-05-01,79.00
1988-06-01,79.10
1988-07-01,80.32
1988-08-01,79.86
1988-09-01,79.81
1988-10-01,80.90
1988-11-01,81.70
1988-12-01,82.00
1989-01-01,82.92
1989-02-01,83.74
1989-03-01,84.54
1989-04-01,86.58
1989-05-01,87.87
1989-06-01,89.04
1989-07-01,88.63
1989-08-01,87.42
1989-09-01,87.12
1989-10-01,81.94
1989-11-01,80.56
1989-12-01,83.32
1990-01-01,83.56
1990-02-01,84.30
1990-03-01,85.09
1990-04-01,84.93
1990-05-01,84.73
1990-06-01,84.88
1990-07-01,85.82
1990-08-01,84.95
1990-09-01,85.22
1990-10-01,85.18
1990-11-01,84.08
1990-12-01,85.02
1991-01-01,84.94
1991-02-01,84.30
1991-03-01,84.39
1991-04-01,82.80
1991-05-01,81.94
1991-06-01,82.96
1991-07-01,82.48
1991-08-01,83.61
1991-09-01,83.67
1991-10-01,83.72
1991-11-01,83.28
1991-12-01,82.19
1992-01-01,81.00
1992-02-01,80.17
1992-03-01,79.84
1992-04-01,78.25
1992-05-01,77.58
1992-06-01,77.41
1992-07-01,77.24
1992-08-01,77.29
1992-09-01,76.68
1992-10-01,76.94
1992-11-01,77.09
1992-12-01,77.50
1993-01-01,77.11
1993-02-01,76.30
1993-03-01,75.08
1993-04-01,74.58
1993-05-01,73.94
1993-06-01,72.95
1993-07-01,73.77
1993-08-01,72.34
1993-09-01,72.88
1993-10-01,72.33
1993-11-01,72.03
1993-12-01,71.36
1994-01-01,70.36
1994-02-01,68.80
1994-03-01,68.84
1994-04-01,68.62
1994-05-01,68.02
1994-06-01,67.46
1994-07-01,66.65
1994-08-01,66.15
1994-09-01,66.40
1994-10-01,66.76
1994-11-01,67.34
1994-12-01,67.46
1995-01-01,66.95
1995-02-01,66.84
1995-03-01,66.76
1995-04-01,66.45
1995-05-01,66.46
1995-06-01,67.88
1995-07-01,66.92
1995-08-01,66.13
1995-09-01,64.98
1995-10-01,62.10
1995-11-01,61.15
1995-12-01,61.16
1996-01-01,60.43
1996-02-01,63.64
1996-03-01,64.92
1996-04-01,66.74
1996-05-01,68.03
1996-06-01,68.38
1996-07-01,69.55
1996-08-01,69.41
1996-09-01,70.17
1996-10-01,70.62
1996-11-01,70.76
1996-12-01,71.43
1997-01-01,71.36
1997-02-01,71.85
1997-03-01,72.19
1997-04-01,73.39
1997-05-01,73.03
1997-06-01,72.88
1997-07-01,73.44
1997-08-01,73.86
1997-09-01,74.30
1997-10-01,74.98
1997-11-01,75.19
1997-12-01,76.21
1998-01-01,77.25
1998-02-01,78.45
1998-03-01,79.20
1998-04-01,79.33
1998-05-01,80.60
1998-06-01,81.73
1998-07-01,83.42
1998-08-01,83.78
1998-09-01,83.13
1998-10-01,84.70
1998-11-01,83.80
1998-12-01,82.66
1999-01-01,81.12
1999-02-01,80.81
1999-03-01,79.14
1999-04-01,78.14
1999-05-01,77.13
1999-06-01,76.15
1999-07-01,75.75
1999-08-01,75.46
1999-09-01,73.26
1999-10-01,71.85
1999-11-01,70.15
1999-12-01,68.97
2000-01-01,68.46
2000-02-01,65.95
2000-03-01,65.45
2000-04-01,64.08
2000-05-01,63.61
2000-06-01,64.53
2000-07-01,65.81
2000-08-01,64.28
2000-09-01,63.96
2000-10-01,65.53
2000-11-01,66.90
2000-12-01,67.18
2001-01-01,67.76
2001-02-01,68.04
2001-03-01,69.25
2001-04-01,69.06
2001-05-01,69.45
2001-06-01,69.85
2001-07-01,70.75
2001-08-01,70.58
2001-09-01,71.74
2001-10-01,71.78
2001-11-01,70.54
2001-12-01,69.49
2002-01-01,69.46
2002-02-01,68.33
2002-03-01,68.03
2002-04-01,67.02
2002-05-01,66.49
2002-06-01,66.23
2002-07-01,65.71
2002-08-01,65.86
2002-09-01,66.04
2002-10-01,65.48
2002-11-01,64.57
2002-12-01,64.97
2003-01-01,64.38
2003-02-01,64.29
2003-03-01,64.85
2003-04-01,64.44
2003-05-01,64.34
2003-06-01,64.20
2003-07-01,63.76
2003-08-01,63.72
2003-09-01,63.45
2003-10-01,63.41
2003-11-01,63.26
2003-12-01,62.29
2004-01-01,61.22
2004-02-01,62.35
2004-03-01,62.20
2004-04-01,62.08
2004-05-01,62.12
2004-06-01,61.87
2004-07-01,63.34
2004-08-01,63.81
2004-09-01,63.97
2004-10-01,64.76
2004-11-01,65.99
2004-12-01,66.80
2005-01-01,66.64
2005-02-01,69.05
2005-03-01,70.37
2005-04-01,72.03
2005-05-01,72.84
2005-06-01,71.87
2005-07-01,71.12
2005-08-01,72.21
2005-09-01,61.64
2005-10-01,70.59
2005-11-01,72.02
2005-12-01,71.33
2006-01-01,72.00
2006-02-01,73.10
2006-03-01,71.98
2006-04-01,73.08
2006-05-01,72.69
2006-06-01,72.83
2006-07-01,73.72
2006-08-01,73.44
2006-09-01,73.64
2006-10-01,74.63
2006-11-01,75.18
2006-12-01,75.97
2007-01-01,77.10
2007-02-01,77.94
2007-03-01,78.24
2007-04-01,79.85
2007-05-01,81.89
2007-06-01,84.86
2007-07-01,86.47
2007-08-01,88.54
2007-09-01,91.28
2007-10-01,91.93
2007-11-01,93.44
2007-12-01,93.38
2008-01-01,93.16
2008-02-01,92.31
2008-03-01,93.29
2008-04-01,92.46
2008-05-01,92.48
2008-06-01,91.15
2008-07-01,87.14
2008-08-01,84.10
2008-09-01,70.33
2008-10-01,67.68
2008-11-01,72.39
2008-12-01,78.39
2009-01-01,76.54
2009-02-01,76.68
2009-03-01,76.48
2009-04-01,74.65
2009-05-01,73.55
2009-06-01,73.20
2009-07-01,73.49
2009-08-01,73.31
2009-09-01,73.91
2009-10-01,72.99
2009-11-01,73.09
2009-12-01,73.14
2010-01-01,73.92
2010-02-01,73.85
2010-03-01,74.89
2010-04-01,74.87
2010-05-01,74.40
2010-06-01,74.23
2010-07-01,74.74
2010-08-01,74.94
2010-09-01,73.64
2010-10-01,72.34
2010-11-01,71.90
2010-12-01,70.90
2011-01-01,70.15
2011-02-01,69.46
2011-03-01,69.13
2011-04-01,69.62
2011-05-01,69.81
2011-06-01,70.39
2011-07-01,71.02
2011-08-01,72.04
2011-09-01,72.66
2011-10-01,74.15
2011-11-01,75.65
2011-12-01,75.30
2012-01-01,75.20
2012-02-01,76.78
2012-03-01,76.82
2012-04-01,76.65
2012-05-01,76.73
2012-06-01,77.01
2012-07-01,78.09
2012-08-01,78.17
2012-09-01,78.27
2012-10-01,78.69
2012-11-01,78.32
2012-12-01,78.26
2013-01-01,78.19
2013-02-01,78.58
2013-03-01,78.54
2013-04-01,78.86
2013-05-01,78.23
2013-06-01,77.92
2013-07-01,76.70
2013-08-01,77.54
2013-09-01,77.58
2013-10-01,78.36
2013-11-01,78.10
2013-12-01,78.36
2014-01-01,78.31
2014-02-01,79.15
2014-03-01,80.77
2014-04-01,80.97
2014-05-01,82.11
2014-06-01,83.15
2014-07-01,83.97
2014-08-01,83.67
2014-09-01,84.82
2014-10-01,85.25
2014-11-01,85.37
2014-12-01,85.50
2015-01-01,84.58
2015-02-01,85.99
2015-03-01,86.27
2015-04-01,85.55
2015-05-01,85.17
2015-06-01,84.15
2015-07-01,83.48
2015-08-01,83.02
2015-09-01,81.89
2015-10-01,80.98
2015-11-01,80.15
2015-12-01,80.00
2016-01-01,78.48
2016-02-01,77.72
2016-03-01,76.89
2016-04-01,76.16
2016-05-01,76.62
2016-06-01,75.98
2016-07-01,76.18
2016-08-01,76.37
