Date,U34IVS
1992-01-01,807000000.00
1992-02-01,972000000.00
1992-03-01,1017000000.00
1992-04-01,870000000.00
1992-05-01,969000000.00
1992-06-01,1088000000.00
1992-07-01,838000000.00
1992-08-01,956000000.00
1992-09-01,1048000000.00
1992-10-01,989000000.00
1992-11-01,1012000000.00
1992-12-01,1071000000.00
1993-01-01,801000000.00
1993-02-01,939000000.00
1993-03-01,1015000000.00
1993-04-01,770000000.00
1993-05-01,919000000.00
1993-06-01,974000000.00
1993-07-01,753000000.00
1993-08-01,877000000.00
1993-09-01,941000000.00
1993-10-01,793000000.00
1993-11-01,998000000.00
1993-12-01,946000000.00
1994-01-01,692000000.00
1994-02-01,874000000.00
1994-03-01,741000000.00
1994-04-01,685000000.00
1994-05-01,767000000.00
1994-06-01,776000000.00
1994-07-01,707000000.00
1994-08-01,739000000.00
1994-09-01,879000000.00
1994-10-01,733000000.00
1994-11-01,731000000.00
1994-12-01,879000000.00
1995-01-01,750000000.00
1995-02-01,821000000.00
1995-03-01,1003000000.00
1995-04-01,879000000.00
1995-05-01,936000000.00
1995-06-01,968000000.00
1995-07-01,703000000.00
1995-08-01,902000000.00
1995-09-01,1089000000.00
1995-10-01,810000000.00
1995-11-01,854000000.00
1995-12-01,942000000.00
1996-01-01,717000000.00
1996-02-01,838000000.00
1996-03-01,868000000.00
1996-04-01,812000000.00
1996-05-01,797000000.00
1996-06-01,876000000.00
1996-07-01,692000000.00
1996-08-01,877000000.00
1996-09-01,919000000.00
1996-10-01,728000000.00
1996-11-01,818000000.00
1996-12-01,855000000.00
1997-01-01,656000000.00
1997-02-01,868000000.00
1997-03-01,932000000.00
1997-04-01,826000000.00
1997-05-01,807000000.00
1997-06-01,903000000.00
1997-07-01,812000000.00
1997-08-01,848000000.00
1997-09-01,1037000000.00
1997-10-01,799000000.00
1997-11-01,827000000.00
1997-12-01,920000000.00
1998-01-01,749000000.00
1998-02-01,869000000.00
1998-03-01,919000000.00
1998-04-01,821000000.00
1998-05-01,793000000.00
1998-06-01,893000000.00
1998-07-01,755000000.00
1998-08-01,871000000.00
1998-09-01,920000000.00
1998-10-01,824000000.00
1998-11-01,957000000.00
1998-12-01,946000000.00
1999-01-01,839000000.00
1999-02-01,893000000.00
1999-03-01,955000000.00
1999-04-01,882000000.00
1999-05-01,886000000.00
1999-06-01,959000000.00
1999-07-01,848000000.00
1999-08-01,900000000.00
1999-09-01,1024000000.00
1999-10-01,832000000.00
1999-11-01,869000000.00
1999-12-01,922000000.00
2000-01-01,769000000.00
2000-02-01,827000000.00
2000-03-01,1030000000.00
2000-04-01,721000000.00
2000-05-01,850000000.00
2000-06-01,1041000000.00
2000-07-01,761000000.00
2000-08-01,938000000.00
2000-09-01,1063000000.00
2000-10-01,854000000.00
2000-11-01,1019000000.00
2000-12-01,1011000000.00
2001-01-01,797000000.00
2001-02-01,942000000.00
2001-03-01,1024000000.00
2001-04-01,889000000.00
2001-05-01,913000000.00
2001-06-01,975000000.00
2001-07-01,935000000.00
2001-08-01,960000000.00
2001-09-01,1023000000.00
2001-10-01,778000000.00
2001-11-01,851000000.00
2001-12-01,936000000.00
2002-01-01,751000000.00
2002-02-01,766000000.00
2002-03-01,871000000.00
2002-04-01,733000000.00
2002-05-01,758000000.00
2002-06-01,824000000.00
2002-07-01,729000000.00
2002-08-01,772000000.00
2002-09-01,882000000.00
2002-10-01,732000000.00
2002-11-01,678000000.00
2002-12-01,763000000.00
2003-01-01,569000000.00
2003-02-01,676000000.00
2003-03-01,775000000.00
2003-04-01,697000000.00
2003-05-01,703000000.00
2003-06-01,764000000.00
2003-07-01,661000000.00
2003-08-01,682000000.00
2003-09-01,821000000.00
2003-10-01,734000000.00
2003-11-01,700000000.00
2003-12-01,936000000.00
2004-01-01,687000000.00
2004-02-01,808000000.00
2004-03-01,1001000000.00
2004-04-01,821000000.00
2004-05-01,898000000.00
2004-06-01,1053000000.00
2004-07-01,751000000.00
2004-08-01,872000000.00
2004-09-01,1073000000.00
2004-10-01,865000000.00
2004-11-01,891000000.00
2004-12-01,966000000.00
2005-01-01,752000000.00
2005-02-01,845000000.00
2005-03-01,1009000000.00
2005-04-01,807000000.00
2005-05-01,864000000.00
2005-06-01,959000000.00
2005-07-01,746000000.00
2005-08-01,901000000.00
2005-09-01,917000000.00
2005-10-01,728000000.00
2005-11-01,810000000.00
2005-12-01,879000000.00
2006-01-01,727000000.00
2006-02-01,844000000.00
2006-03-01,1010000000.00
2006-04-01,814000000.00
2006-05-01,932000000.00
2006-06-01,927000000.00
2006-07-01,780000000.00
2006-08-01,953000000.00
2006-09-01,1009000000.00
2006-10-01,830000000.00
2006-11-01,849000000.00
2006-12-01,873000000.00
2007-01-01,892000000.00
2007-02-01,890000000.00
2007-03-01,1110000000.00
2007-04-01,1085000000.00
2007-05-01,1084000000.00
2007-06-01,1168000000.00
2007-07-01,1027000000.00
2007-08-01,1041000000.00
2007-09-01,1178000000.00
2007-10-01,1105000000.00
2007-11-01,1186000000.00
2007-12-01,1174000000.00
2008-01-01,1154000000.00
2008-02-01,1084000000.00
2008-03-01,1256000000.00
2008-04-01,1074000000.00
2008-05-01,1166000000.00
2008-06-01,1318000000.00
2008-07-01,1039000000.00
2008-08-01,1135000000.00
2008-09-01,1402000000.00
2008-10-01,1067000000.00
2008-11-01,1007000000.00
2008-12-01,1246000000.00
2009-01-01,894000000.00
2009-02-01,1110000000.00
2009-03-01,1255000000.00
2009-04-01,961000000.00
2009-05-01,1012000000.00
2009-06-01,1164000000.00
2009-07-01,924000000.00
2009-08-01,1087000000.00
2009-09-01,1186000000.00
2009-10-01,1022000000.00
2009-11-01,1073000000.00
2009-12-01,1102000000.00
2010-01-01,929000000.00
2010-02-01,1053000000.00
2010-03-01,1339000000.00
2010-04-01,974000000.00
2010-05-01,1041000000.00
2010-06-01,1252000000.00
2010-07-01,915000000.00
2010-08-01,1075000000.00
2010-09-01,1434000000.00
2010-10-01,1139000000.00
2010-11-01,1183000000.00
2010-12-01,1270000000.00
2011-01-01,997000000.00
2011-02-01,1155000000.00
2011-03-01,1612000000.00
2011-04-01,1105000000.00
2011-05-01,1401000000.00
2011-06-01,1506000000.00
2011-07-01,1138000000.00
2011-08-01,1363000000.00
2011-09-01,1394000000.00
2011-10-01,1184000000.00
2011-11-01,1226000000.00
2011-12-01,1378000000.00
2012-01-01,1050000000.00
2012-02-01,1193000000.00
