Date,SUUR0000SAD
1999-12-01,100.00
2000-01-01,99.80
2000-02-01,99.40
2000-03-01,99.40
2000-04-01,99.30
2000-05-01,99.10
2000-06-01,98.90
2000-07-01,98.60
2000-08-01,98.10
2000-09-01,98.20
2000-10-01,98.20
2000-11-01,98.30
2000-12-01,98.10
2001-01-01,97.80
2001-02-01,97.40
2001-03-01,97.00
2001-04-01,96.90
2001-05-01,96.40
2001-06-01,96.10
2001-07-01,95.80
2001-08-01,95.30
2001-09-01,95.00
2001-10-01,95.10
2001-11-01,95.50
2001-12-01,95.30
2002-01-01,94.70
2002-02-01,94.00
2002-03-01,93.50
2002-04-01,93.30
2002-05-01,93.20
2002-06-01,92.80
2002-07-01,92.60
2002-08-01,92.40
2002-09-01,92.20
2002-10-01,92.20
2002-11-01,91.90
2002-12-01,91.70
2003-01-01,91.40
2003-02-01,91.20
2003-03-01,91.00
2003-04-01,90.70
2003-05-01,90.30
2003-06-01,89.90
2003-07-01,89.40
2003-08-01,89.00
2003-09-01,88.30
2003-10-01,88.10
2003-11-01,88.00
2003-12-01,88.00
2004-01-01,88.00
2004-02-01,88.40
2004-03-01,88.30
2004-04-01,88.40
2004-05-01,88.30
2004-06-01,87.90
2004-07-01,87.50
2004-08-01,87.30
2004-09-01,87.70
2004-10-01,88.20
2004-11-01,88.50
2004-12-01,88.70
2005-01-01,89.00
2005-02-01,88.70
2005-03-01,88.50
2005-04-01,88.50
2005-05-01,88.50
2005-06-01,88.20
2005-07-01,87.50
2005-08-01,87.20
2005-09-01,87.50
2005-10-01,87.70
2005-11-01,87.60
2005-12-01,87.50
2006-01-01,87.60
2006-02-01,87.50
2006-03-01,87.40
2006-04-01,87.40
2006-05-01,87.30
2006-06-01,87.10
2006-07-01,86.90
2006-08-01,86.60
2006-09-01,86.20
2006-10-01,86.10
2006-11-01,85.80
2006-12-01,85.50
2007-01-01,85.39
2007-02-01,85.34
2007-03-01,85.26
2007-04-01,85.11
2007-05-01,84.86
2007-06-01,84.47
2007-07-01,84.29
2007-08-01,84.17
2007-09-01,83.98
2007-10-01,83.96
2007-11-01,83.80
2007-12-01,83.60
2008-01-01,83.62
2008-02-01,83.60
2008-03-01,83.56
2008-04-01,83.24
2008-05-01,83.08
2008-06-01,82.89
2008-07-01,82.85
2008-08-01,82.45
2008-09-01,81.86
2008-10-01,81.49
2008-11-01,80.91
2008-12-01,80.52
2009-01-01,80.53
2009-02-01,80.49
2009-03-01,80.41
2009-04-01,80.45
2009-05-01,80.61
2009-06-01,80.64
2009-07-01,80.46
2009-08-01,80.01
2009-09-01,80.25
2009-10-01,81.08
2009-11-01,81.23
2009-12-01,81.33
2010-01-01,81.43
2010-02-01,81.44
2010-03-01,81.42
2010-04-01,81.30
2010-05-01,81.20
2010-06-01,81.09
2010-07-01,81.12
2010-08-01,81.09
2010-09-01,80.74
2010-10-01,80.49
2010-11-01,80.15
2010-12-01,79.98
2011-01-01,80.12
2011-02-01,80.38
2011-03-01,80.60
2011-04-01,80.92
2011-05-01,81.26
2011-06-01,81.51
2011-07-01,81.55
2011-08-01,81.51
2011-09-01,81.14
2011-10-01,80.97
2011-11-01,80.67
2011-12-01,80.48
2012-01-01,80.62
2012-02-01,80.81
2012-03-01,80.94
2012-04-01,81.14
2012-05-01,81.24
2012-06-01,81.34
2012-07-01,81.25
2012-08-01,80.84
2012-09-01,80.36
2012-10-01,80.02
2012-11-01,79.79
2012-12-01,79.66
2013-01-01,79.78
2013-02-01,80.02
2013-03-01,80.16
2013-04-01,80.29
2013-05-01,80.33
2013-06-01,80.23
2013-07-01,80.12
2013-08-01,80.06
2013-09-01,79.78
2013-10-01,79.53
2013-11-01,79.30
2013-12-01,79.12
2014-01-01,79.09
2014-02-01,79.14
2014-03-01,79.22
2014-04-01,79.43
2014-05-01,79.34
2014-06-01,79.18
2014-07-01,79.15
2014-08-01,79.03
2014-09-01,78.65
2014-10-01,78.32
2014-11-01,77.56
2014-12-01,76.98
2015-01-01,76.95
2015-02-01,77.33
2015-03-01,77.81
2015-04-01,78.32
2015-05-01,78.44
2015-06-01,78.38
2015-07-01,78.14
2015-08-01,77.87
2015-09-01,77.56
2015-10-01,77.08
2015-11-01,76.52
2015-12-01,76.15
2016-01-01,76.39
2016-02-01,76.63
2016-03-01,76.85
2016-04-01,76.95
2016-05-01,76.69
2016-06-01,76.30
2016-07-01,75.97
2016-08-01,75.64
2016-09-01,75.24
2016-10-01,75.11
2016-11-01,74.55
2016-12-01,74.40
2017-01-01,74.96
2017-02-01,75.11
2017-03-01,75.14
2017-04-01,75.16
2017-05-01,75.07
2017-06-01,74.85
2017-07-01,74.39
2017-08-01,74.09
2017-09-01,73.56
2017-10-01,73.31
2017-11-01,73.19
2017-12-01,73.42
2018-01-01,73.66
2018-02-01,73.79
2018-03-01,74.08
2018-04-01,73.96
2018-05-01,73.74
