Date,RAILFRTCARLOADS
2000-01-01,1402926.00
2000-02-01,1341942.00
2000-03-01,1452147.00
2000-04-01,1386030.00
2000-05-01,1440661.00
2000-06-01,1390222.00
2000-07-01,1377790.00
2000-08-01,1473014.00
2000-09-01,1427099.00
2000-10-01,1489125.00
2000-11-01,1346909.00
2000-12-01,1298609.00
2001-01-01,1378715.00
2001-02-01,1272599.00
2001-03-01,1457199.00
2001-04-01,1390615.00
2001-05-01,1436953.00
2001-06-01,1382844.00
2001-07-01,1331669.00
2001-08-01,1444314.00
2001-09-01,1387189.00
2001-10-01,1489178.00
2001-11-01,1376611.00
2001-12-01,1323085.00
2002-01-01,1362045.00
2002-02-01,1252632.00
2002-03-01,1373143.00
2002-04-01,1359576.00
2002-05-01,1408401.00
2002-06-01,1392903.00
2002-07-01,1363443.00
2002-08-01,1467852.00
2002-09-01,1395757.00
2002-10-01,1462330.00
2002-11-01,1359625.00
2002-12-01,1326501.00
2003-01-01,1348631.00
2003-02-01,1232970.00
2003-03-01,1400506.00
2003-04-01,1362930.00
2003-05-01,1402692.00
2003-06-01,1370794.00
2003-07-01,1357086.00
2003-08-01,1450003.00
2003-09-01,1410429.00
2003-10-01,1491289.00
2003-11-01,1380233.00
2003-12-01,1349155.00
2004-01-01,1391261.00
2004-02-01,1318895.00
2004-03-01,1460107.00
2004-04-01,1422511.00
2004-05-01,1475594.00
2004-06-01,1411047.00
2004-07-01,1405130.00
2004-08-01,1478446.00
2004-09-01,1408654.00
2004-10-01,1509119.00
2004-11-01,1408453.00
2004-12-01,1367589.00
2005-01-01,1396793.00
2005-02-01,1342757.00
2005-03-01,1493052.00
2005-04-01,1460039.00
2005-05-01,1466477.00
2005-06-01,1412640.00
2005-07-01,1404879.00
2005-08-01,1485201.00
2005-09-01,1438698.00
2005-10-01,1470099.00
2005-11-01,1392562.00
2005-12-01,1375654.00
2006-01-01,1464556.00
2006-02-01,1312500.00
2006-03-01,1493547.00
2006-04-01,1446164.00
2006-05-01,1521036.00
2006-06-01,1464781.00
2006-07-01,1428970.00
2006-08-01,1501964.00
2006-09-01,1445002.00
2006-10-01,1493349.00
2006-11-01,1378183.00
2006-12-01,1398361.00
2007-01-01,1370575.00
2007-02-01,1255311.00
2007-03-01,1442822.00
2007-04-01,1413587.00
2007-05-01,1446592.00
2007-06-01,1429982.00
2007-07-01,1391260.00
2007-08-01,1485342.00
2007-09-01,1431666.00
2007-10-01,1487803.00
2007-11-01,1412571.00
2007-12-01,1357746.00
2008-01-01,1387897.00
2008-02-01,1335398.00
2008-03-01,1445693.00
2008-04-01,1423939.00
2008-05-01,1451560.00
2008-06-01,1372686.00
2008-07-01,1422554.00
2008-08-01,1474209.00
2008-09-01,1373620.00
2008-10-01,1445066.00
2008-11-01,1274531.00
2008-12-01,1153403.00
2009-01-01,1162973.00
2009-02-01,1105996.00
2009-03-01,1193910.00
2009-04-01,1095354.00
2009-05-01,1105635.00
2009-06-01,1105098.00
2009-07-01,1176457.00
2009-08-01,1236764.00
2009-09-01,1180775.00
2009-10-01,1220057.00
2009-11-01,1169623.00
2009-12-01,1095082.00
2010-01-01,1160442.00
2010-02-01,1091829.00
2010-03-01,1279724.00
2010-04-01,1260954.00
2010-05-01,1272845.00
2010-06-01,1215864.00
2010-07-01,1244915.00
2010-08-01,1310410.00
2010-09-01,1271475.00
2010-10-01,1322853.00
2010-11-01,1227151.00
2010-12-01,1195311.00
2011-01-01,1254585.00
2011-02-01,1146300.00
2011-03-01,1320070.00
2011-04-01,1264678.00
2011-05-01,1276671.00
2011-06-01,1229632.00
2011-07-01,1234426.00
2011-08-01,1312456.00
2011-09-01,1280972.00
2011-10-01,1345498.00
2011-11-01,1257921.00
2011-12-01,1268018.00
2012-01-01,1267256.00
2012-02-01,1167610.00
2012-03-01,1244739.00
2012-04-01,1192250.00
2012-05-01,1237395.00
2012-06-01,1216288.00
2012-07-01,1227468.00
2012-08-01,1296307.00
2012-09-01,1234535.00
2012-10-01,1262848.00
2012-11-01,1205969.00
2012-12-01,1201630.00
2013-01-01,1192314.00
2013-02-01,1110548.00
2013-03-01,1239149.00
2013-04-01,1190406.00
2013-05-01,1241624.00
2013-06-01,1210146.00
2013-07-01,1226158.00
2013-08-01,1301948.00
2013-09-01,1239309.00
2013-10-01,1280690.00
2013-11-01,1229055.00
2013-12-01,1184768.00
2014-01-01,1201520.00
2014-02-01,1098607.00
2014-03-01,1282488.00
2014-04-01,1269684.00
2014-05-01,1313273.00
2014-06-01,1255383.00
2014-07-01,1307467.00
2014-08-01,1339869.00
2014-09-01,1278100.00
2014-10-01,1335832.00
2014-11-01,1250050.00
2014-12-01,1288684.00
2015-01-01,1272443.00
2015-02-01,1089174.00
2015-03-01,1236088.00
2015-04-01,1202758.00
2015-05-01,1192699.00
2015-06-01,1156485.00
2015-07-01,1227312.00
2015-08-01,1279486.00
2015-09-01,1211041.00
2015-10-01,1249083.00
2015-11-01,1119467.00
2015-12-01,1082287.00
2016-01-01,1062112.00
2016-02-01,1014985.00
2016-03-01,1057654.00
2016-04-01,1012381.00
2016-05-01,1058600.00
2016-06-01,1073479.00
2016-07-01,1139143.00
2016-08-01,1192602.00
2016-09-01,1146142.00
2016-10-01,1184052.00
2016-11-01,1123870.00
2016-12-01,1091370.00
2017-01-01,1106215.00
2017-02-01,1035202.00
2017-03-01,1126912.00
2017-04-01,1089556.00
2017-05-01,1134802.00
2017-06-01,1129164.00
2017-07-01,1129338.00
2017-08-01,1185010.00
2017-09-01,1113236.00
2017-10-01,1173563.00
2017-11-01,1106535.00
