Date,GOVCONTRIBNOW
2014-04-01,0.22
2014-07-01,0.32
2014-10-01,0.17
2015-01-01,-0.22
2015-04-01,0.46
2015-07-01,0.12
2015-10-01,0.16
2016-01-01,0.27
2016-04-01,-0.09
2016-07-01,0.05
2016-10-01,0.11
2017-01-01,0.09
2017-04-01,0.00
2017-07-01,-0.30
2017-10-01,0.49
2018-01-01,0.19
2018-04-01,0.15
