Date,SUUR0000SAS
1999-12-01,100.00
2000-01-01,100.60
2000-02-01,100.90
2000-03-01,101.40
2000-04-01,101.50
2000-05-01,101.70
2000-06-01,102.40
2000-07-01,102.90
2000-08-01,103.20
2000-09-01,103.30
2000-10-01,103.40
2000-11-01,103.40
2000-12-01,103.60
2001-01-01,104.80
2001-02-01,105.20
2001-03-01,105.60
2001-04-01,105.70
2001-05-01,105.90
2001-06-01,106.80
2001-07-01,107.10
2001-08-01,107.50
2001-09-01,107.30
2001-10-01,107.20
2001-11-01,107.30
2001-12-01,107.40
2002-01-01,107.90
2002-02-01,108.40
2002-03-01,108.80
2002-04-01,108.90
2002-05-01,109.10
2002-06-01,109.60
2002-07-01,110.00
2002-08-01,110.50
2002-09-01,110.60
2002-10-01,110.70
2002-11-01,110.70
2002-12-01,110.70
2003-01-01,111.30
2003-02-01,111.80
2003-03-01,112.50
2003-04-01,112.50
2003-05-01,112.80
2003-06-01,113.30
2003-07-01,113.70
2003-08-01,114.00
2003-09-01,114.00
2003-10-01,114.10
2003-11-01,113.80
2003-12-01,113.90
2004-01-01,114.60
2004-02-01,115.00
2004-03-01,115.50
2004-04-01,115.70
2004-05-01,115.90
2004-06-01,116.60
2004-07-01,117.00
2004-08-01,117.30
2004-09-01,117.40
2004-10-01,117.40
2004-11-01,117.40
2004-12-01,117.50
2005-01-01,117.90
2005-02-01,118.50
2005-03-01,118.90
2005-04-01,119.20
2005-05-01,119.40
2005-06-01,119.90
2005-07-01,120.40
2005-08-01,120.60
2005-09-01,120.80
2005-10-01,121.30
2005-11-01,121.40
2005-12-01,121.50
2006-01-01,122.30
2006-02-01,122.60
2006-03-01,123.00
2006-04-01,123.20
2006-05-01,123.50
2006-06-01,124.30
2006-07-01,124.90
2006-08-01,125.20
2006-09-01,125.30
2006-10-01,125.20
2006-11-01,125.20
2006-12-01,125.30
2007-01-01,125.97
2007-02-01,126.51
2007-03-01,126.92
2007-04-01,127.25
2007-05-01,127.47
2007-06-01,128.27
2007-07-01,128.67
2007-08-01,128.87
2007-09-01,128.99
2007-10-01,129.08
2007-11-01,129.14
2007-12-01,129.27
2008-01-01,129.91
2008-02-01,130.35
2008-03-01,130.99
2008-04-01,131.37
2008-05-01,131.91
2008-06-01,132.93
2008-07-01,133.73
2008-08-01,133.98
2008-09-01,133.86
2008-10-01,133.71
2008-11-01,133.42
2008-12-01,133.38
2009-01-01,133.85
2009-02-01,134.01
2009-03-01,134.06
2009-04-01,133.91
2009-05-01,133.89
2009-06-01,134.49
2009-07-01,134.71
2009-08-01,134.94
2009-09-01,134.90
2009-10-01,134.80
2009-11-01,134.54
2009-12-01,134.46
2010-01-01,134.69
2010-02-01,134.80
2010-03-01,135.00
2010-04-01,135.08
2010-05-01,135.21
2010-06-01,135.70
2010-07-01,135.93
2010-08-01,136.07
2010-09-01,136.04
2010-10-01,135.86
2010-11-01,135.80
2010-12-01,135.92
2011-01-01,136.24
2011-02-01,136.61
2011-03-01,136.82
2011-04-01,137.21
2011-05-01,137.52
2011-06-01,138.07
2011-07-01,138.48
2011-08-01,138.83
2011-09-01,139.03
2011-10-01,138.97
2011-11-01,139.00
2011-12-01,139.20
2012-01-01,139.54
2012-02-01,139.68
2012-03-01,140.00
2012-04-01,140.27
2012-05-01,140.57
2012-06-01,141.17
2012-07-01,141.29
2012-08-01,141.50
2012-09-01,141.75
2012-10-01,141.81
2012-11-01,141.92
2012-12-01,142.14
2013-01-01,142.60
2013-02-01,143.03
2013-03-01,143.26
2013-04-01,143.39
2013-05-01,143.80
2013-06-01,144.34
2013-07-01,144.56
2013-08-01,144.80
2013-09-01,145.02
2013-10-01,144.95
2013-11-01,145.07
2013-12-01,145.18
2014-01-01,145.80
2014-02-01,146.26
2014-03-01,146.87
2014-04-01,146.98
2014-05-01,147.62
2014-06-01,148.16
2014-07-01,148.34
2014-08-01,148.28
2014-09-01,148.37
2014-10-01,148.43
2014-11-01,148.49
2014-12-01,148.62
2015-01-01,149.12
2015-02-01,149.22
2015-03-01,149.48
2015-04-01,149.84
2015-05-01,150.14
2015-06-01,150.81
2015-07-01,151.01
2015-08-01,151.00
2015-09-01,151.26
2015-10-01,151.44
2015-11-01,151.71
2015-12-01,151.75
2016-01-01,152.29
2016-02-01,152.74
2016-03-01,153.13
2016-04-01,153.54
2016-05-01,154.22
2016-06-01,154.92
2016-07-01,155.07
2016-08-01,155.29
2016-09-01,155.50
2016-10-01,155.58
2016-11-01,155.84
2016-12-01,156.09
2017-01-01,156.71
2017-02-01,157.24
2017-03-01,157.10
2017-04-01,157.32
2017-05-01,157.81
2017-06-01,158.35
2017-07-01,158.49
2017-08-01,158.85
2017-09-01,159.10
2017-10-01,159.31
2017-11-01,159.43
2017-12-01,159.71
2018-01-01,160.29
2018-02-01,160.93
2018-03-01,161.31
2018-04-01,161.55
2018-05-01,162.14
