Date,U33ITI
1992-01-01,4328000000.00
1992-02-01,4274000000.00
1992-03-01,4288000000.00
1992-04-01,4325000000.00
1992-05-01,4321000000.00
1992-06-01,4221000000.00
1992-07-01,4374000000.00
1992-08-01,4440000000.00
1992-09-01,4431000000.00
1992-10-01,4416000000.00
1992-11-01,4223000000.00
1992-12-01,4019000000.00
1993-01-01,4016000000.00
1993-02-01,4159000000.00
1993-03-01,4016000000.00
1993-04-01,4247000000.00
1993-05-01,4227000000.00
1993-06-01,4260000000.00
1993-07-01,4298000000.00
1993-08-01,4392000000.00
1993-09-01,4319000000.00
1993-10-01,4377000000.00
1993-11-01,4322000000.00
1993-12-01,4175000000.00
1994-01-01,4325000000.00
1994-02-01,4411000000.00
1994-03-01,4344000000.00
1994-04-01,4553000000.00
1994-05-01,4552000000.00
1994-06-01,4559000000.00
1994-07-01,4736000000.00
1994-08-01,4911000000.00
1994-09-01,4719000000.00
1994-10-01,4822000000.00
1994-11-01,4831000000.00
1994-12-01,4658000000.00
1995-01-01,4913000000.00
1995-02-01,4992000000.00
1995-03-01,4990000000.00
1995-04-01,5069000000.00
1995-05-01,5138000000.00
1995-06-01,5097000000.00
1995-07-01,5367000000.00
1995-08-01,5466000000.00
1995-09-01,5458000000.00
1995-10-01,5498000000.00
1995-11-01,5553000000.00
1995-12-01,5297000000.00
1996-01-01,5644000000.00
1996-02-01,5763000000.00
1996-03-01,5664000000.00
1996-04-01,5746000000.00
1996-05-01,5890000000.00
1996-06-01,5809000000.00
1996-07-01,5939000000.00
1996-08-01,6076000000.00
1996-09-01,5956000000.00
1996-10-01,5937000000.00
1996-11-01,5887000000.00
1996-12-01,5447000000.00
1997-01-01,5673000000.00
1997-02-01,5920000000.00
1997-03-01,5948000000.00
1997-04-01,6149000000.00
1997-05-01,6152000000.00
1997-06-01,5894000000.00
1997-07-01,6012000000.00
1997-08-01,6113000000.00
1997-09-01,5806000000.00
1997-10-01,5898000000.00
1997-11-01,5894000000.00
1997-12-01,5487000000.00
1998-01-01,5456000000.00
1998-02-01,5722000000.00
1998-03-01,5607000000.00
1998-04-01,5751000000.00
1998-05-01,5848000000.00
1998-06-01,5697000000.00
1998-07-01,5953000000.00
1998-08-01,6120000000.00
1998-09-01,5920000000.00
1998-10-01,5918000000.00
1998-11-01,5846000000.00
1998-12-01,5575000000.00
1999-01-01,5846000000.00
1999-02-01,5939000000.00
1999-03-01,5888000000.00
1999-04-01,6123000000.00
1999-05-01,6150000000.00
1999-06-01,6047000000.00
1999-07-01,6058000000.00
1999-08-01,6107000000.00
1999-09-01,6008000000.00
1999-10-01,6012000000.00
1999-11-01,5829000000.00
1999-12-01,5464000000.00
2000-01-01,5483000000.00
2000-02-01,5606000000.00
2000-03-01,5539000000.00
2000-04-01,5687000000.00
2000-05-01,5805000000.00
2000-06-01,5869000000.00
2000-07-01,6064000000.00
2000-08-01,6200000000.00
2000-09-01,5975000000.00
2000-10-01,6123000000.00
2000-11-01,6013000000.00
2000-12-01,5514000000.00
2001-01-01,5960000000.00
2001-02-01,5978000000.00
2001-03-01,6085000000.00
2001-04-01,6074000000.00
2001-05-01,6065000000.00
2001-06-01,5764000000.00
2001-07-01,5847000000.00
2001-08-01,5801000000.00
2001-09-01,5484000000.00
2001-10-01,5296000000.00
2001-11-01,4980000000.00
2001-12-01,4606000000.00
2002-01-01,4734000000.00
2002-02-01,4752000000.00
2002-03-01,4622000000.00
2002-04-01,4591000000.00
2002-05-01,4612000000.00
2002-06-01,4454000000.00
2002-07-01,4562000000.00
2002-08-01,4716000000.00
2002-09-01,4663000000.00
2002-10-01,4684000000.00
2002-11-01,4513000000.00
2002-12-01,4351000000.00
2003-01-01,4481000000.00
2003-02-01,4558000000.00
2003-03-01,4131000000.00
2003-04-01,4209000000.00
2003-05-01,4211000000.00
2003-06-01,4163000000.00
2003-07-01,4185000000.00
2003-08-01,4004000000.00
2003-09-01,3948000000.00
2003-10-01,4051000000.00
2003-11-01,3979000000.00
2003-12-01,3822000000.00
2004-01-01,3901000000.00
2004-02-01,3959000000.00
2004-03-01,4024000000.00
2004-04-01,4051000000.00
2004-05-01,4088000000.00
2004-06-01,4058000000.00
2004-07-01,4180000000.00
2004-08-01,4223000000.00
2004-09-01,4223000000.00
2004-10-01,4333000000.00
2004-11-01,4292000000.00
2004-12-01,4171000000.00
2005-01-01,4348000000.00
2005-02-01,4328000000.00
2005-03-01,4329000000.00
2005-04-01,4367000000.00
2005-05-01,4471000000.00
2005-06-01,4382000000.00
2005-07-01,4639000000.00
2005-08-01,4706000000.00
2005-09-01,4690000000.00
2005-10-01,4619000000.00
2005-11-01,4687000000.00
2005-12-01,4497000000.00
2006-01-01,4710000000.00
2006-02-01,4791000000.00
2006-03-01,4796000000.00
2006-04-01,4826000000.00
2006-05-01,4824000000.00
2006-06-01,4779000000.00
2006-07-01,4934000000.00
2006-08-01,5048000000.00
2006-09-01,5214000000.00
2006-10-01,5113000000.00
2006-11-01,4804000000.00
2006-12-01,4804000000.00
2007-01-01,4779000000.00
2007-02-01,4811000000.00
2007-03-01,4652000000.00
2007-04-01,4714000000.00
2007-05-01,4712000000.00
2007-06-01,4565000000.00
2007-07-01,4721000000.00
2007-08-01,4767000000.00
2007-09-01,4790000000.00
2007-10-01,4770000000.00
2007-11-01,4828000000.00
2007-12-01,4680000000.00
2008-01-01,4601000000.00
2008-02-01,4702000000.00
2008-03-01,4792000000.00
2008-04-01,4767000000.00
2008-05-01,4783000000.00
2008-06-01,4765000000.00
2008-07-01,4878000000.00
2008-08-01,4940000000.00
2008-09-01,4861000000.00
2008-10-01,4890000000.00
2008-11-01,4834000000.00
2008-12-01,4638000000.00
2009-01-01,4772000000.00
2009-02-01,4754000000.00
2009-03-01,4667000000.00
2009-04-01,4587000000.00
2009-05-01,4454000000.00
2009-06-01,4335000000.00
2009-07-01,4285000000.00
2009-08-01,4278000000.00
2009-09-01,4181000000.00
2009-10-01,4166000000.00
2009-11-01,4095000000.00
2009-12-01,3988000000.00
2010-01-01,3944000000.00
2010-02-01,3988000000.00
2010-03-01,3983000000.00
2010-04-01,4058000000.00
2010-05-01,4072000000.00
2010-06-01,3995000000.00
2010-07-01,4069000000.00
2010-08-01,4100000000.00
2010-09-01,4124000000.00
2010-10-01,4095000000.00
2010-11-01,4095000000.00
2010-12-01,3959000000.00
2011-01-01,4020000000.00
2011-02-01,4083000000.00
2011-03-01,4129000000.00
2011-04-01,4301000000.00
2011-05-01,4387000000.00
2011-06-01,4415000000.00
2011-07-01,4542000000.00
2011-08-01,4642000000.00
2011-09-01,4777000000.00
2011-10-01,4819000000.00
