Date,U12ATI
1992-01-01,4923000000.00
1992-02-01,4910000000.00
1992-03-01,4992000000.00
1992-04-01,5001000000.00
1992-05-01,5043000000.00
1992-06-01,5062000000.00
1992-07-01,5049000000.00
1992-08-01,5043000000.00
1992-09-01,5169000000.00
1992-10-01,5194000000.00
1992-11-01,5159000000.00
1992-12-01,5066000000.00
1993-01-01,4979000000.00
1993-02-01,4976000000.00
1993-03-01,5003000000.00
1993-04-01,5112000000.00
1993-05-01,5084000000.00
1993-06-01,5053000000.00
1993-07-01,4998000000.00
1993-08-01,4972000000.00
1993-09-01,5056000000.00
1993-10-01,5080000000.00
1993-11-01,5116000000.00
1993-12-01,5012000000.00
1994-01-01,5066000000.00
1994-02-01,5060000000.00
1994-03-01,5087000000.00
1994-04-01,5163000000.00
1994-05-01,5168000000.00
1994-06-01,5178000000.00
1994-07-01,5173000000.00
1994-08-01,5162000000.00
1994-09-01,5292000000.00
1994-10-01,5374000000.00
1994-11-01,5363000000.00
1994-12-01,5185000000.00
1995-01-01,5341000000.00
1995-02-01,5393000000.00
1995-03-01,5467000000.00
1995-04-01,5496000000.00
1995-05-01,5508000000.00
1995-06-01,5464000000.00
1995-07-01,5465000000.00
1995-08-01,5323000000.00
1995-09-01,5708000000.00
1995-10-01,5796000000.00
1995-11-01,5787000000.00
1995-12-01,5649000000.00
1996-01-01,5724000000.00
1996-02-01,5845000000.00
1996-03-01,6031000000.00
1996-04-01,6024000000.00
1996-05-01,6041000000.00
1996-06-01,6088000000.00
1996-07-01,6095000000.00
1996-08-01,6218000000.00
1996-09-01,6547000000.00
1996-10-01,6673000000.00
1996-11-01,6584000000.00
1996-12-01,6474000000.00
1997-01-01,6666000000.00
1997-02-01,6634000000.00
1997-03-01,6621000000.00
1997-04-01,6775000000.00
1997-05-01,6815000000.00
1997-06-01,6763000000.00
1997-07-01,6817000000.00
1997-08-01,7016000000.00
1997-09-01,7572000000.00
1997-10-01,7786000000.00
1997-11-01,7786000000.00
1997-12-01,7622000000.00
1998-01-01,7743000000.00
1998-02-01,7728000000.00
1998-03-01,7821000000.00
1998-04-01,7783000000.00
1998-05-01,7710000000.00
1998-06-01,7606000000.00
1998-07-01,7589000000.00
1998-08-01,7579000000.00
1998-09-01,7847000000.00
1998-10-01,8002000000.00
1998-11-01,8059000000.00
1998-12-01,7796000000.00
1999-01-01,7883000000.00
1999-02-01,8097000000.00
1999-03-01,7991000000.00
1999-04-01,8093000000.00
1999-05-01,8118000000.00
1999-06-01,7989000000.00
1999-07-01,7743000000.00
1999-08-01,7774000000.00
1999-09-01,7890000000.00
1999-10-01,8048000000.00
1999-11-01,7985000000.00
1999-12-01,8006000000.00
2000-01-01,8063000000.00
2000-02-01,8059000000.00
2000-03-01,8112000000.00
2000-04-01,8143000000.00
2000-05-01,8176000000.00
2000-06-01,8179000000.00
2000-07-01,8119000000.00
2000-08-01,8224000000.00
2000-09-01,8645000000.00
2000-10-01,8849000000.00
2000-11-01,8773000000.00
2000-12-01,8671000000.00
2001-01-01,8709000000.00
2001-02-01,8780000000.00
2001-03-01,9070000000.00
2001-04-01,9036000000.00
2001-05-01,9039000000.00
2001-06-01,8873000000.00
2001-07-01,8887000000.00
2001-08-01,8943000000.00
2001-09-01,9491000000.00
2001-10-01,9595000000.00
2001-11-01,9387000000.00
2001-12-01,9412000000.00
2002-01-01,9562000000.00
2002-02-01,9410000000.00
2002-03-01,9494000000.00
2002-04-01,9422000000.00
2002-05-01,9414000000.00
2002-06-01,9445000000.00
2002-07-01,9108000000.00
2002-08-01,9196000000.00
2002-09-01,9965000000.00
2002-10-01,10017000000.00
2002-11-01,9728000000.00
2002-12-01,9719000000.00
2003-01-01,9645000000.00
2003-02-01,9597000000.00
2003-03-01,9511000000.00
2003-04-01,9777000000.00
2003-05-01,9630000000.00
2003-06-01,9519000000.00
2003-07-01,9460000000.00
2003-08-01,9499000000.00
2003-09-01,10019000000.00
2003-10-01,10253000000.00
2003-11-01,10141000000.00
2003-12-01,9670000000.00
2004-01-01,9857000000.00
2004-02-01,10077000000.00
2004-03-01,10174000000.00
2004-04-01,10109000000.00
2004-05-01,9955000000.00
2004-06-01,10121000000.00
2004-07-01,10000000000.00
2004-08-01,10557000000.00
2004-09-01,11064000000.00
2004-10-01,11160000000.00
2004-11-01,10945000000.00
2004-12-01,10563000000.00
2005-01-01,10788000000.00
2005-02-01,10591000000.00
2005-03-01,10571000000.00
2005-04-01,10279000000.00
2005-05-01,10057000000.00
2005-06-01,9796000000.00
2005-07-01,9778000000.00
2005-08-01,9700000000.00
2005-09-01,9943000000.00
2005-10-01,10542000000.00
2005-11-01,10310000000.00
2005-12-01,9817000000.00
2006-01-01,10069000000.00
2006-02-01,10141000000.00
2006-03-01,10100000000.00
2006-04-01,10151000000.00
2006-05-01,9989000000.00
2006-06-01,9802000000.00
2006-07-01,9934000000.00
2006-08-01,10210000000.00
2006-09-01,10657000000.00
2006-10-01,11255000000.00
2006-11-01,11137000000.00
2006-12-01,10896000000.00
2007-01-01,11268000000.00
2007-02-01,11302000000.00
2007-03-01,11385000000.00
2007-04-01,11497000000.00
2007-05-01,11482000000.00
2007-06-01,11331000000.00
2007-07-01,11417000000.00
2007-08-01,11572000000.00
2007-09-01,11885000000.00
2007-10-01,12315000000.00
2007-11-01,11953000000.00
2007-12-01,11530000000.00
2008-01-01,11964000000.00
2008-02-01,12061000000.00
2008-03-01,12088000000.00
2008-04-01,12088000000.00
2008-05-01,11925000000.00
2008-06-01,11727000000.00
2008-07-01,11658000000.00
2008-08-01,11875000000.00
2008-09-01,12347000000.00
2008-10-01,12737000000.00
2008-11-01,12548000000.00
2008-12-01,12173000000.00
2009-01-01,12411000000.00
2009-02-01,12730000000.00
2009-03-01,12889000000.00
2009-04-01,12906000000.00
2009-05-01,12726000000.00
2009-06-01,12572000000.00
2009-07-01,12591000000.00
2009-08-01,12816000000.00
2009-09-01,13329000000.00
2009-10-01,13989000000.00
2009-11-01,13579000000.00
2009-12-01,13234000000.00
2010-01-01,13325000000.00
2010-02-01,13508000000.00
2010-03-01,13394000000.00
2010-04-01,13351000000.00
2010-05-01,13323000000.00
2010-06-01,13158000000.00
2010-07-01,13095000000.00
2010-08-01,13133000000.00
2010-09-01,13468000000.00
2010-10-01,14124000000.00
2010-11-01,13828000000.00
2010-12-01,13573000000.00
2011-01-01,13903000000.00
2011-02-01,13928000000.00
2011-03-01,13885000000.00
2011-04-01,13862000000.00
2011-05-01,13626000000.00
2011-06-01,13310000000.00
2011-07-01,13370000000.00
2011-08-01,13306000000.00
2011-09-01,13768000000.00
2011-10-01,14334000000.00
2011-11-01,14055000000.00
2011-12-01,13776000000.00
2012-01-01,13994000000.00
2012-02-01,14003000000.00
2012-03-01,14315000000.00
2012-04-01,14414000000.00
2012-05-01,14181000000.00
2012-06-01,14026000000.00
2012-07-01,14021000000.00
2012-08-01,13904000000.00
2012-09-01,14552000000.00
2012-10-01,15439000000.00
2012-11-01,15024000000.00
2012-12-01,14740000000.00
2013-01-01,14947000000.00
2013-02-01,15231000000.00
2013-03-01,15263000000.00
2013-04-01,15444000000.00
2013-05-01,15388000000.00
2013-06-01,15197000000.00
2013-07-01,15180000000.00
2013-08-01,15341000000.00
2013-09-01,15856000000.00
2013-10-01,16628000000.00
2013-11-01,16469000000.00
2013-12-01,16073000000.00
2014-01-01,16375000000.00
2014-02-01,16543000000.00
2014-03-01,16578000000.00
2014-04-01,16897000000.00
2014-05-01,16625000000.00
2014-06-01,16429000000.00
2014-07-01,16346000000.00
2014-08-01,16775000000.00
2014-09-01,17423000000.00
2014-10-01,18118000000.00
2014-11-01,17727000000.00
2014-12-01,17341000000.00
2015-01-01,17607000000.00
2015-02-01,17760000000.00
2015-03-01,17776000000.00
2015-04-01,17818000000.00
2015-05-01,17880000000.00
2015-06-01,17669000000.00
2015-07-01,17771000000.00
2015-08-01,18028000000.00
2015-09-01,18615000000.00
2015-10-01,18979000000.00
2015-11-01,18804000000.00
2015-12-01,18500000000.00
2016-01-01,18603000000.00
2016-02-01,18537000000.00
2016-03-01,18812000000.00
2016-04-01,19107000000.00
2016-05-01,19143000000.00
2016-06-01,18463000000.00
2016-07-01,18496000000.00
2016-08-01,18825000000.00
2016-09-01,19312000000.00
2016-10-01,19764000000.00
2016-11-01,19474000000.00
2016-12-01,19181000000.00
2017-01-01,19711000000.00
2017-02-01,19627000000.00
2017-03-01,19593000000.00
2017-04-01,19622000000.00
2017-05-01,19384000000.00
2017-06-01,19149000000.00
2017-07-01,19062000000.00
2017-08-01,18961000000.00
2017-09-01,19281000000.00
2017-10-01,19706000000.00
2017-11-01,19480000000.00
2017-12-01,19363000000.00
2018-01-01,19800000000.00
2018-02-01,19974000000.00
2018-03-01,19968000000.00
2018-04-01,20220000000.00
