Date,UDXTUO
2008-08-01,395804000000.00
2008-09-01,389934000000.00
2008-10-01,379540000000.00
2008-11-01,371280000000.00
2008-12-01,361998000000.00
2009-01-01,353023000000.00
2009-02-01,345241000000.00
2009-03-01,337392000000.00
2009-04-01,329890000000.00
2009-05-01,323835000000.00
2009-06-01,317603000000.00
2009-07-01,314287000000.00
2009-08-01,308848000000.00
2009-09-01,308361000000.00
2009-10-01,306158000000.00
2009-11-01,302651000000.00
2009-12-01,302182000000.00
2010-01-01,306246000000.00
2010-02-01,310952000000.00
2010-03-01,318150000000.00
2010-04-01,318707000000.00
2010-05-01,321740000000.00
2010-06-01,323909000000.00
2010-07-01,326519000000.00
2010-08-01,328563000000.00
2010-09-01,333316000000.00
2010-10-01,332199000000.00
2010-11-01,336815000000.00
2010-12-01,344577000000.00
2011-01-01,352400000000.00
2011-02-01,359629000000.00
2011-03-01,365169000000.00
2011-04-01,368496000000.00
2011-05-01,371666000000.00
2011-06-01,371426000000.00
2011-07-01,374654000000.00
2011-08-01,372627000000.00
2011-09-01,374244000000.00
2011-10-01,378210000000.00
2011-11-01,379641000000.00
2011-12-01,383679000000.00
2012-01-01,390469000000.00
2012-02-01,399053000000.00
2012-03-01,403009000000.00
2012-04-01,406178000000.00
2012-05-01,404982000000.00
2012-06-01,399021000000.00
2012-07-01,395584000000.00
2012-08-01,388054000000.00
2012-09-01,384110000000.00
2012-10-01,383156000000.00
2012-11-01,379404000000.00
2012-12-01,376243000000.00
2013-01-01,380779000000.00
2013-02-01,382811000000.00
2013-03-01,380218000000.00
2013-04-01,380016000000.00
2013-05-01,378379000000.00
2013-06-01,374741000000.00
2013-07-01,372029000000.00
2013-08-01,365619000000.00
2013-09-01,362014000000.00
2013-10-01,359158000000.00
2013-11-01,354586000000.00
2013-12-01,350801000000.00
2014-01-01,356611000000.00
2014-02-01,361004000000.00
2014-03-01,363765000000.00
2014-04-01,365126000000.00
2014-05-01,363350000000.00
2014-06-01,363827000000.00
2014-07-01,362217000000.00
2014-08-01,357549000000.00
2014-09-01,356206000000.00
2014-10-01,354225000000.00
2014-11-01,350442000000.00
2014-12-01,346405000000.00
2015-01-01,348934000000.00
2015-02-01,350986000000.00
2015-03-01,350717000000.00
2015-04-01,350820000000.00
2015-05-01,347953000000.00
2015-06-01,345055000000.00
2015-07-01,342084000000.00
2015-08-01,337651000000.00
2015-09-01,334662000000.00
2015-10-01,332406000000.00
2015-11-01,330456000000.00
2015-12-01,327688000000.00
2016-01-01,332752000000.00
2016-02-01,336732000000.00
2016-03-01,338892000000.00
2016-04-01,340152000000.00
2016-05-01,339421000000.00
2016-06-01,336844000000.00
2016-07-01,336414000000.00
2016-08-01,333793000000.00
2016-09-01,331643000000.00
2016-10-01,331508000000.00
2016-11-01,331349000000.00
2016-12-01,329684000000.00
2017-01-01,335185000000.00
2017-02-01,339763000000.00
2017-03-01,343555000000.00
2017-04-01,346919000000.00
2017-05-01,347395000000.00
2017-06-01,346002000000.00
2017-07-01,347476000000.00
2017-08-01,345319000000.00
2017-09-01,346161000000.00
2017-10-01,347388000000.00
2017-11-01,346884000000.00
2017-12-01,346573000000.00
2018-01-01,351256000000.00
2018-02-01,356054000000.00
2018-03-01,360270000000.00
2018-04-01,364288000000.00
2018-05-01,365601000000.00
