Date,W875RX1
1974-07-01,3995300000000.00
1974-08-01,3976600000000.00
1974-09-01,3969400000000.00
1974-10-01,3983900000000.00
1974-11-01,3953600000000.00
1974-12-01,3938100000000.00
1975-01-01,3926400000000.00
1975-02-01,3907600000000.00
1975-03-01,3907000000000.00
1975-04-01,3904600000000.00
1975-05-01,3924100000000.00
1975-06-01,3930500000000.00
1975-07-01,3930600000000.00
1975-08-01,3963100000000.00
1975-09-01,3975700000000.00
1975-10-01,3992100000000.00
1975-11-01,4001000000000.00
1975-12-01,4000700000000.00
1976-01-01,4022600000000.00
1976-02-01,4048800000000.00
1976-03-01,4065200000000.00
1976-04-01,4085600000000.00
1976-05-01,4098300000000.00
1976-06-01,4099400000000.00
1976-07-01,4113800000000.00
1976-08-01,4128400000000.00
1976-09-01,4134600000000.00
1976-10-01,4139800000000.00
1976-11-01,4173200000000.00
1976-12-01,4181100000000.00
1977-01-01,4156900000000.00
1977-02-01,4173500000000.00
1977-03-01,4196200000000.00
1977-04-01,4224300000000.00
1977-05-01,4250300000000.00
1977-06-01,4265600000000.00
1977-07-01,4284700000000.00
1977-08-01,4297600000000.00
1977-09-01,4331900000000.00
1977-10-01,4382300000000.00
1977-11-01,4410300000000.00
1977-12-01,4432100000000.00
1978-01-01,4413500000000.00
1978-02-01,4436100000000.00
1978-03-01,4463100000000.00
1978-04-01,4497400000000.00
1978-05-01,4498000000000.00
1978-06-01,4523700000000.00
1978-07-01,4532800000000.00
1978-08-01,4552400000000.00
1978-09-01,4563800000000.00
1978-10-01,4588800000000.00
1978-11-01,4596000000000.00
1978-12-01,4628100000000.00
1979-01-01,4630500000000.00
1979-02-01,4656900000000.00
1979-03-01,4672000000000.00
1979-04-01,4627700000000.00
1979-05-01,4614000000000.00
1979-06-01,4621600000000.00
1979-07-01,4627400000000.00
1979-08-01,4634200000000.00
1979-09-01,4639200000000.00
1979-10-01,4645700000000.00
1979-11-01,4662700000000.00
1979-12-01,4677000000000.00
1980-01-01,4670400000000.00
1980-02-01,4651100000000.00
1980-03-01,4627400000000.00
1980-04-01,4596000000000.00
1980-05-01,4580000000000.00
1980-06-01,4584300000000.00
1980-07-01,4570500000000.00
1980-08-01,4590500000000.00
1980-09-01,4611700000000.00
1980-10-01,4684800000000.00
1980-11-01,4712100000000.00
1980-12-01,4731700000000.00
1981-01-01,4715200000000.00
1981-02-01,4698600000000.00
1981-03-01,4710100000000.00
1981-04-01,4705100000000.00
1981-05-01,4718800000000.00
1981-06-01,4746600000000.00
1981-07-01,4794600000000.00
1981-08-01,4816200000000.00
1981-09-01,4815200000000.00
1981-10-01,4802900000000.00
1981-11-01,4804900000000.00
1981-12-01,4801900000000.00
1982-01-01,4787800000000.00
1982-02-01,4804800000000.00
1982-03-01,4800100000000.00
1982-04-01,4827100000000.00
1982-05-01,4828100000000.00
1982-06-01,4806900000000.00
1982-07-01,4793500000000.00
1982-08-01,4799200000000.00
1982-09-01,4790500000000.00
1982-10-01,4786000000000.00
1982-11-01,4789900000000.00
1982-12-01,4818800000000.00
1983-01-01,4817500000000.00
1983-02-01,4817400000000.00
1983-03-01,4836100000000.00
1983-04-01,4842000000000.00
1983-05-01,4871300000000.00
1983-06-01,4877600000000.00
1983-07-01,4907400000000.00
1983-08-01,4908700000000.00
1983-09-01,4944300000000.00
1983-10-01,5001500000000.00
1983-11-01,5033700000000.00
1983-12-01,5081100000000.00
1984-01-01,5104000000000.00
1984-02-01,5142600000000.00
1984-03-01,5176200000000.00
1984-04-01,5212500000000.00
1984-05-01,5227500000000.00
1984-06-01,5271800000000.00
1984-07-01,5288400000000.00
1984-08-01,5326200000000.00
1984-09-01,5375600000000.00
1984-10-01,5352600000000.00
1984-11-01,5381700000000.00
1984-12-01,5407600000000.00
1985-01-01,5402600000000.00
1985-02-01,5407300000000.00
1985-03-01,5431700000000.00
1985-04-01,5422600000000.00
1985-05-01,5431100000000.00
1985-06-01,5452200000000.00
1985-07-01,5451300000000.00
1985-08-01,5460600000000.00
1985-09-01,5486400000000.00
1985-10-01,5515900000000.00
1985-11-01,5528400000000.00
1985-12-01,5566500000000.00
1986-01-01,5543300000000.00
1986-02-01,5572100000000.00
1986-03-01,5624700000000.00
1986-04-01,5644400000000.00
1986-05-01,5650600000000.00
1986-06-01,5654400000000.00
1986-07-01,5676100000000.00
1986-08-01,5700900000000.00
1986-09-01,5709300000000.00
1986-10-01,5712800000000.00
1986-11-01,5728100000000.00
1986-12-01,5753000000000.00
1987-01-01,5740800000000.00
1987-02-01,5761900000000.00
1987-03-01,5779200000000.00
1987-04-01,5776900000000.00
1987-05-01,5807900000000.00
1987-06-01,5812000000000.00
1987-07-01,5834800000000.00
1987-08-01,5873000000000.00
1987-09-01,5879900000000.00
1987-10-01,5920000000000.00
1987-11-01,5951800000000.00
1987-12-01,6023500000000.00
1988-01-01,5994200000000.00
1988-02-01,6021500000000.00
1988-03-01,6025100000000.00
1988-04-01,6050300000000.00
1988-05-01,6056400000000.00
1988-06-01,6079900000000.00
1988-07-01,6110700000000.00
1988-08-01,6126400000000.00
1988-09-01,6137500000000.00
1988-10-01,6176000000000.00
1988-11-01,6176400000000.00
1988-12-01,6215100000000.00
1989-01-01,6260300000000.00
1989-02-01,6280500000000.00
1989-03-01,6306300000000.00
1989-04-01,6287900000000.00
1989-05-01,6258700000000.00
1989-06-01,6274300000000.00
1989-07-01,6297800000000.00
1989-08-01,6308200000000.00
1989-09-01,6322100000000.00
1989-10-01,6350300000000.00
1989-11-01,6353000000000.00
1989-12-01,6362700000000.00
1990-01-01,6364600000000.00
1990-02-01,6388200000000.00
1990-03-01,6390000000000.00
1990-04-01,6427100000000.00
1990-05-01,6411600000000.00
1990-06-01,6423600000000.00
1990-07-01,6448200000000.00
1990-08-01,6407500000000.00
1990-09-01,6398900000000.00
1990-10-01,6335900000000.00
1990-11-01,6332500000000.00
1990-12-01,6357300000000.00
1991-01-01,6290500000000.00
1991-02-01,6290400000000.00
1991-03-01,6293700000000.00
1991-04-01,6305800000000.00
1991-05-01,6302200000000.00
1991-06-01,6337400000000.00
1991-07-01,6321800000000.00
1991-08-01,6328200000000.00
1991-09-01,6345700000000.00
1991-10-01,6333200000000.00
1991-11-01,6351300000000.00
1991-12-01,6395500000000.00
1992-01-01,6418000000000.00
1992-02-01,6457700000000.00
1992-03-01,6464300000000.00
1992-04-01,6483200000000.00
1992-05-01,6519100000000.00
1992-06-01,6548700000000.00
1992-07-01,6538900000000.00
1992-08-01,6563400000000.00
1992-09-01,6528000000000.00
1992-10-01,6490600000000.00
1992-11-01,6512200000000.00
1992-12-01,6778000000000.00
1993-01-01,6564200000000.00
1993-02-01,6593300000000.00
1993-03-01,6567000000000.00
1993-04-01,6624600000000.00
1993-05-01,6625600000000.00
1993-06-01,6606400000000.00
1993-07-01,6624400000000.00
1993-08-01,6635600000000.00
1993-09-01,6618400000000.00
1993-10-01,6589000000000.00
1993-11-01,6608900000000.00
1993-12-01,6866000000000.00
1994-01-01,6701300000000.00
1994-02-01,6711900000000.00
1994-03-01,6733800000000.00
1994-04-01,6804400000000.00
1994-05-01,6828300000000.00
1994-06-01,6815700000000.00
1994-07-01,6833800000000.00
1994-08-01,6842600000000.00
1994-09-01,6874200000000.00
1994-10-01,6927700000000.00
1994-11-01,6922800000000.00
1994-12-01,6951400000000.00
1995-01-01,6978000000000.00
1995-02-01,6993800000000.00
1995-03-01,7009400000000.00
1995-04-01,7018000000000.00
1995-05-01,7017000000000.00
1995-06-01,7048700000000.00
1995-07-01,7071100000000.00
1995-08-01,7084500000000.00
1995-09-01,7117800000000.00
1995-10-01,7139900000000.00
1995-11-01,7171200000000.00
1995-12-01,7178000000000.00
1996-01-01,7186900000000.00
1996-02-01,7249200000000.00
1996-03-01,7271300000000.00
1996-04-01,7286100000000.00
1996-05-01,7324500000000.00
1996-06-01,7378700000000.00
1996-07-01,7370700000000.00
1996-08-01,7401400000000.00
1996-09-01,7430400000000.00
1996-10-01,7436400000000.00
1996-11-01,7462800000000.00
1996-12-01,7496100000000.00
1997-01-01,7531400000000.00
1997-02-01,7568300000000.00
1997-03-01,7603800000000.00
1997-04-01,7614800000000.00
1997-05-01,7654800000000.00
1997-06-01,7684000000000.00
1997-07-01,7724900000000.00
1997-08-01,7773700000000.00
1997-09-01,7801000000000.00
1997-10-01,7846800000000.00
1997-11-01,7907500000000.00
1997-12-01,7954900000000.00
