Date,CPIECOMEDU
2002-06-01,101.30
2002-07-01,102.50
2002-08-01,103.50
2002-09-01,103.20
2002-10-01,103.00
2002-11-01,102.80
2002-12-01,102.80
2003-01-01,103.20
2003-02-01,103.10
2003-03-01,102.60
2003-04-01,101.90
2003-05-01,101.30
2003-06-01,100.80
2003-07-01,101.20
2003-08-01,101.50
2003-09-01,101.50
2003-10-01,101.30
2003-11-01,101.20
2003-12-01,101.20
2004-01-01,101.20
2004-02-01,101.20
2004-03-01,100.90
2004-04-01,100.70
2004-05-01,100.30
2004-06-01,100.30
2004-07-01,100.20
2004-08-01,100.20
2004-09-01,101.10
2004-10-01,100.60
2004-11-01,100.90
2004-12-01,100.70
2005-01-01,100.70
2005-02-01,100.90
2005-03-01,100.80
2005-04-01,100.90
2005-05-01,100.50
2005-06-01,100.40
2005-07-01,100.40
2005-08-01,100.50
2005-09-01,101.80
2005-10-01,101.50
2005-11-01,101.80
2005-12-01,101.80
2006-01-01,102.20
2006-02-01,102.20
2006-03-01,102.20
2006-04-01,102.30
2006-05-01,102.10
2006-06-01,102.30
2006-07-01,102.50
2006-08-01,103.10
2006-09-01,103.40
2006-10-01,103.70
2006-11-01,103.00
2006-12-01,103.00
2007-01-01,102.80
2007-02-01,102.93
2007-03-01,103.23
2007-04-01,103.37
2007-05-01,104.23
2007-06-01,104.21
2007-07-01,104.36
2007-08-01,105.12
2007-09-01,105.48
2007-10-01,105.72
2007-11-01,106.49
2007-12-01,105.57
2008-01-01,105.74
2008-02-01,105.73
2008-03-01,105.85
2008-04-01,106.20
2008-05-01,106.68
2008-06-01,107.41
2008-07-01,108.16
2008-08-01,108.62
2008-09-01,108.78
2008-10-01,108.88
2008-11-01,108.96
2008-12-01,109.10
2009-01-01,109.39
2009-02-01,109.40
2009-03-01,109.44
2009-04-01,109.52
2009-05-01,109.79
2009-06-01,109.79
2009-07-01,110.18
2009-08-01,110.72
2009-09-01,111.19
2009-10-01,111.19
2009-11-01,111.06
2009-12-01,111.16
2010-01-01,111.54
2010-02-01,111.60
2010-03-01,111.64
2010-04-01,111.68
2010-05-01,111.60
2010-06-01,111.56
2010-07-01,111.78
2010-08-01,112.22
2010-09-01,112.49
2010-10-01,112.31
2010-11-01,112.27
2010-12-01,111.92
2011-01-01,112.20
2011-02-01,112.21
2011-03-01,112.21
2011-04-01,112.18
2011-05-01,112.04
2011-06-01,112.02
2011-07-01,112.25
2011-08-01,112.84
2011-09-01,113.15
2011-10-01,113.09
2011-11-01,113.10
2011-12-01,113.10
2012-01-01,113.56
2012-02-01,113.82
2012-03-01,113.86
2012-04-01,113.95
2012-05-01,114.10
2012-06-01,114.10
2012-07-01,113.83
2012-08-01,113.79
2012-09-01,113.88
2012-10-01,114.00
2012-11-01,114.01
2012-12-01,114.01
2013-01-01,114.53
2013-02-01,115.13
2013-03-01,115.24
2013-04-01,114.85
2013-05-01,114.79
2013-06-01,114.61
2013-07-01,114.75
2013-08-01,114.98
2013-09-01,115.36
2013-10-01,115.45
2013-11-01,115.37
2013-12-01,115.41
2014-01-01,115.95
2014-02-01,115.94
2014-03-01,115.96
2014-04-01,116.08
2014-05-01,116.04
2014-06-01,115.98
2014-07-01,116.08
2014-08-01,116.30
2014-09-01,116.38
2014-10-01,115.86
2014-11-01,115.54
2014-12-01,115.34
2015-01-01,115.55
2015-02-01,115.60
2015-03-01,115.57
2015-04-01,115.61
2015-05-01,115.33
2015-06-01,115.28
2015-07-01,115.29
2015-08-01,115.53
2015-09-01,115.98
2015-10-01,116.18
2015-11-01,116.26
2015-12-01,116.16
2016-01-01,116.34
2016-02-01,116.27
2016-03-01,116.25
2016-04-01,116.15
2016-05-01,115.79
2016-06-01,115.58
2016-07-01,115.43
2016-08-01,115.76
2016-09-01,115.33
2016-10-01,114.95
2016-11-01,115.12
2016-12-01,115.12
2017-01-01,115.23
2017-02-01,115.19
2017-03-01,112.91
2017-04-01,112.55
2017-05-01,112.32
2017-06-01,112.18
2017-07-01,112.02
2017-08-01,112.16
2017-09-01,112.37
2017-10-01,112.53
2017-11-01,112.80
2017-12-01,112.91
2018-01-01,112.92
2018-02-01,112.56
2018-03-01,112.32
2018-04-01,112.23
2018-05-01,112.57
