Date,MHHNGSP
1997-01-01,3450000.00
1997-02-01,2150000.00
1997-03-01,1890000.00
1997-04-01,2030000.00
1997-05-01,2250000.00
1997-06-01,2200000.00
1997-07-01,2190000.00
1997-08-01,2490000.00
1997-09-01,2880000.00
1997-10-01,3070000.00
1997-11-01,3010000.00
1997-12-01,2350000.00
1998-01-01,2090000.00
1998-02-01,2230000.00
1998-03-01,2240000.00
1998-04-01,2430000.00
1998-05-01,2140000.00
1998-06-01,2170000.00
1998-07-01,2170000.00
1998-08-01,1850000.00
1998-09-01,2020000.00
1998-10-01,1910000.00
1998-11-01,2120000.00
1998-12-01,1720000.00
1999-01-01,1850000.00
1999-02-01,1770000.00
1999-03-01,1790000.00
1999-04-01,2150000.00
1999-05-01,2260000.00
1999-06-01,2300000.00
1999-07-01,2310000.00
1999-08-01,2800000.00
1999-09-01,2550000.00
1999-10-01,2730000.00
1999-11-01,2370000.00
1999-12-01,2360000.00
2000-01-01,2420000.00
2000-02-01,2660000.00
2000-03-01,2790000.00
2000-04-01,3040000.00
2000-05-01,3590000.00
2000-06-01,4290000.00
2000-07-01,3990000.00
2000-08-01,4430000.00
2000-09-01,5060000.00
2000-10-01,5020000.00
2000-11-01,5520000.00
2000-12-01,8900000.00
2001-01-01,8170000.00
2001-02-01,5610000.00
2001-03-01,5230000.00
2001-04-01,5190000.00
2001-05-01,4190000.00
2001-06-01,3720000.00
2001-07-01,3110000.00
2001-08-01,2970000.00
2001-09-01,2190000.00
2001-10-01,2460000.00
2001-11-01,2340000.00
2001-12-01,2300000.00
2002-01-01,2320000.00
2002-02-01,2320000.00
2002-03-01,3030000.00
2002-04-01,3430000.00
2002-05-01,3500000.00
2002-06-01,3260000.00
2002-07-01,2990000.00
2002-08-01,3090000.00
2002-09-01,3550000.00
2002-10-01,4130000.00
2002-11-01,4040000.00
2002-12-01,4740000.00
2003-01-01,5430000.00
2003-02-01,7710000.00
2003-03-01,5930000.00
2003-04-01,5260000.00
2003-05-01,5810000.00
2003-06-01,5820000.00
2003-07-01,5030000.00
2003-08-01,4990000.00
2003-09-01,4620000.00
2003-10-01,4630000.00
2003-11-01,4470000.00
2003-12-01,6130000.00
2004-01-01,6140000.00
2004-02-01,5370000.00
2004-03-01,5390000.00
2004-04-01,5710000.00
2004-05-01,6330000.00
2004-06-01,6270000.00
2004-07-01,5930000.00
2004-08-01,5410000.00
2004-09-01,5150000.00
2004-10-01,6350000.00
2004-11-01,6170000.00
2004-12-01,6580000.00
2005-01-01,6150000.00
2005-02-01,6140000.00
2005-03-01,6960000.00
2005-04-01,7160000.00
2005-05-01,6470000.00
2005-06-01,7180000.00
2005-07-01,7630000.00
2005-08-01,9530000.00
2005-09-01,11750000.00
2005-10-01,13420000.00
2005-11-01,10300000.00
2005-12-01,13050000.00
2006-01-01,8690000.00
2006-02-01,7540000.00
2006-03-01,6890000.00
2006-04-01,7160000.00
2006-05-01,6250000.00
2006-06-01,6210000.00
2006-07-01,6170000.00
2006-08-01,7140000.00
2006-09-01,4900000.00
2006-10-01,5850000.00
2006-11-01,7410000.00
2006-12-01,6730000.00
2007-01-01,6550000.00
2007-02-01,8000000.00
2007-03-01,7110000.00
2007-04-01,7600000.00
2007-05-01,7640000.00
2007-06-01,7350000.00
2007-07-01,6220000.00
2007-08-01,6220000.00
2007-09-01,6080000.00
2007-10-01,6740000.00
2007-11-01,7100000.00
2007-12-01,7110000.00
2008-01-01,7990000.00
2008-02-01,8540000.00
2008-03-01,9410000.00
2008-04-01,10180000.00
2008-05-01,11270000.00
2008-06-01,12690000.00
2008-07-01,11090000.00
2008-08-01,8260000.00
2008-09-01,7670000.00
2008-10-01,6740000.00
2008-11-01,6680000.00
2008-12-01,5820000.00
2009-01-01,5240000.00
2009-02-01,4520000.00
2009-03-01,3960000.00
2009-04-01,3500000.00
2009-05-01,3830000.00
2009-06-01,3800000.00
2009-07-01,3380000.00
2009-08-01,3140000.00
2009-09-01,2990000.00
2009-10-01,4010000.00
2009-11-01,3660000.00
2009-12-01,5350000.00
2010-01-01,5830000.00
2010-02-01,5320000.00
2010-03-01,4290000.00
2010-04-01,4030000.00
2010-05-01,4140000.00
2010-06-01,4800000.00
2010-07-01,4630000.00
2010-08-01,4320000.00
2010-09-01,3890000.00
2010-10-01,3430000.00
2010-11-01,3710000.00
2010-12-01,4250000.00
2011-01-01,4490000.00
2011-02-01,4090000.00
2011-03-01,3970000.00
2011-04-01,4240000.00
2011-05-01,4310000.00
2011-06-01,4540000.00
2011-07-01,4420000.00
2011-08-01,4060000.00
2011-09-01,3900000.00
2011-10-01,3570000.00
2011-11-01,3240000.00
2011-12-01,3170000.00
2012-01-01,2670000.00
2012-02-01,2510000.00
2012-03-01,2170000.00
2012-04-01,1950000.00
2012-05-01,2430000.00
2012-06-01,2460000.00
2012-07-01,2950000.00
2012-08-01,2840000.00
2012-09-01,2850000.00
2012-10-01,3320000.00
2012-11-01,3540000.00
2012-12-01,3340000.00
2013-01-01,3330000.00
2013-02-01,3330000.00
2013-03-01,3810000.00
2013-04-01,4170000.00
2013-05-01,4040000.00
2013-06-01,3830000.00
2013-07-01,3620000.00
2013-08-01,3430000.00
2013-09-01,3620000.00
2013-10-01,3680000.00
2013-11-01,3640000.00
2013-12-01,4240000.00
2014-01-01,4710000.00
2014-02-01,6000000.00
2014-03-01,4900000.00
2014-04-01,4660000.00
2014-05-01,4580000.00
2014-06-01,4590000.00
2014-07-01,4050000.00
2014-08-01,3910000.00
2014-09-01,3920000.00
2014-10-01,3780000.00
2014-11-01,4120000.00
2014-12-01,3480000.00
2015-01-01,2990000.00
2015-02-01,2870000.00
2015-03-01,2830000.00
2015-04-01,2610000.00
2015-05-01,2850000.00
2015-06-01,2780000.00
2015-07-01,2840000.00
2015-08-01,2770000.00
2015-09-01,2660000.00
2015-10-01,2340000.00
2015-11-01,2090000.00
2015-12-01,1930000.00
2016-01-01,2280000.00
2016-02-01,1990000.00
2016-03-01,1730000.00
2016-04-01,1920000.00
2016-05-01,1920000.00
2016-06-01,2590000.00
2016-07-01,2820000.00
2016-08-01,2820000.00
2016-09-01,2990000.00
2016-10-01,2980000.00
2016-11-01,2550000.00
2016-12-01,3590000.00
2017-01-01,3300000.00
2017-02-01,2850000.00
2017-03-01,2880000.00
2017-04-01,3100000.00
2017-05-01,3150000.00
2017-06-01,2980000.00
2017-07-01,2980000.00
2017-08-01,2900000.00
2017-09-01,2980000.00
2017-10-01,2880000.00
2017-11-01,3010000.00
2017-12-01,2820000.00
2018-01-01,3870000.00
2018-02-01,2670000.00
2018-03-01,2690000.00
2018-04-01,2800000.00
2018-05-01,2800000.00
