Date,U34KVS
1992-01-01,3243000000.00
1992-02-01,3360000000.00
1992-03-01,4145000000.00
1992-04-01,3379000000.00
1992-05-01,3394000000.00
1992-06-01,4014000000.00
1992-07-01,3116000000.00
1992-08-01,3432000000.00
1992-09-01,3927000000.00
1992-10-01,3448000000.00
1992-11-01,3476000000.00
1992-12-01,4045000000.00
1993-01-01,3042000000.00
1993-02-01,3494000000.00
1993-03-01,4008000000.00
1993-04-01,3285000000.00
1993-05-01,3526000000.00
1993-06-01,3960000000.00
1993-07-01,3135000000.00
1993-08-01,3567000000.00
1993-09-01,4140000000.00
1993-10-01,3739000000.00
1993-11-01,3762000000.00
1993-12-01,4251000000.00
1994-01-01,3454000000.00
1994-02-01,3714000000.00
1994-03-01,4280000000.00
1994-04-01,3704000000.00
1994-05-01,3835000000.00
1994-06-01,4313000000.00
1994-07-01,3424000000.00
1994-08-01,3968000000.00
1994-09-01,4417000000.00
1994-10-01,3804000000.00
1994-11-01,4019000000.00
1994-12-01,4531000000.00
1995-01-01,3808000000.00
1995-02-01,4089000000.00
1995-03-01,4770000000.00
1995-04-01,3866000000.00
1995-05-01,4216000000.00
1995-06-01,4710000000.00
1995-07-01,3561000000.00
1995-08-01,4282000000.00
1995-09-01,4971000000.00
1995-10-01,4213000000.00
1995-11-01,4424000000.00
1995-12-01,5368000000.00
1996-01-01,4020000000.00
1996-02-01,4554000000.00
1996-03-01,5281000000.00
1996-04-01,4294000000.00
1996-05-01,4658000000.00
1996-06-01,5243000000.00
1996-07-01,4001000000.00
1996-08-01,4709000000.00
1996-09-01,5216000000.00
1996-10-01,4545000000.00
1996-11-01,4746000000.00
1996-12-01,5291000000.00
1997-01-01,3917000000.00
1997-02-01,4592000000.00
1997-03-01,5083000000.00
1997-04-01,4370000000.00
1997-05-01,4386000000.00
1997-06-01,5301000000.00
1997-07-01,4151000000.00
1997-08-01,4579000000.00
1997-09-01,5552000000.00
1997-10-01,4656000000.00
1997-11-01,4708000000.00
1997-12-01,5509000000.00
1998-01-01,4204000000.00
1998-02-01,4737000000.00
1998-03-01,5285000000.00
1998-04-01,4503000000.00
1998-05-01,4737000000.00
1998-06-01,5463000000.00
1998-07-01,4182000000.00
1998-08-01,4403000000.00
1998-09-01,5530000000.00
1998-10-01,4507000000.00
1998-11-01,4778000000.00
1998-12-01,5489000000.00
1999-01-01,3989000000.00
1999-02-01,4711000000.00
1999-03-01,5528000000.00
1999-04-01,4445000000.00
1999-05-01,4822000000.00
1999-06-01,5631000000.00
1999-07-01,4147000000.00
1999-08-01,4728000000.00
1999-09-01,5732000000.00
1999-10-01,4631000000.00
1999-11-01,4933000000.00
1999-12-01,5772000000.00
2000-01-01,4261000000.00
2000-02-01,4979000000.00
2000-03-01,5819000000.00
2000-04-01,4646000000.00
2000-05-01,4970000000.00
2000-06-01,6186000000.00
2000-07-01,4443000000.00
2000-08-01,5272000000.00
2000-09-01,6473000000.00
2000-10-01,5370000000.00
2000-11-01,5353000000.00
2000-12-01,6260000000.00
2001-01-01,4573000000.00
2001-02-01,5233000000.00
2001-03-01,6305000000.00
2001-04-01,4806000000.00
2001-05-01,4989000000.00
2001-06-01,6252000000.00
2001-07-01,4272000000.00
2001-08-01,4648000000.00
2001-09-01,5754000000.00
2001-10-01,4432000000.00
2001-11-01,4675000000.00
2001-12-01,5885000000.00
2002-01-01,4216000000.00
2002-02-01,4486000000.00
