Date,U34XTI
1992-01-01,5753000000.00
1992-02-01,5709000000.00
1992-03-01,5672000000.00
1992-04-01,5756000000.00
1992-05-01,5949000000.00
1992-06-01,5899000000.00
1992-07-01,6052000000.00
1992-08-01,6256000000.00
1992-09-01,6367000000.00
1992-10-01,6276000000.00
1992-11-01,6390000000.00
1992-12-01,6298000000.00
1993-01-01,6430000000.00
1993-02-01,6509000000.00
1993-03-01,6447000000.00
1993-04-01,6622000000.00
1993-05-01,6815000000.00
1993-06-01,6637000000.00
1993-07-01,6737000000.00
1993-08-01,6843000000.00
1993-09-01,6656000000.00
1993-10-01,6884000000.00
1993-11-01,7056000000.00
1993-12-01,6654000000.00
1994-01-01,6886000000.00
1994-02-01,7312000000.00
1994-03-01,7390000000.00
1994-04-01,7670000000.00
1994-05-01,7748000000.00
1994-06-01,7621000000.00
1994-07-01,7843000000.00
1994-08-01,8020000000.00
1994-09-01,7794000000.00
1994-10-01,7970000000.00
1994-11-01,8070000000.00
1994-12-01,7911000000.00
1995-01-01,8351000000.00
1995-02-01,8807000000.00
1995-03-01,8659000000.00
1995-04-01,8942000000.00
1995-05-01,9119000000.00
1995-06-01,8742000000.00
1995-07-01,9025000000.00
1995-08-01,9103000000.00
1995-09-01,9301000000.00
1995-10-01,9614000000.00
1995-11-01,9237000000.00
1995-12-01,8878000000.00
1996-01-01,9294000000.00
1996-02-01,9183000000.00
1996-03-01,9060000000.00
1996-04-01,9559000000.00
1996-05-01,9622000000.00
1996-06-01,9316000000.00
1996-07-01,9295000000.00
1996-08-01,9644000000.00
1996-09-01,9479000000.00
1996-10-01,9601000000.00
1996-11-01,9542000000.00
1996-12-01,8943000000.00
1997-01-01,9487000000.00
1997-02-01,9723000000.00
1997-03-01,9754000000.00
1997-04-01,10274000000.00
1997-05-01,10736000000.00
1997-06-01,10570000000.00
1997-07-01,11303000000.00
1997-08-01,11538000000.00
1997-09-01,11476000000.00
1997-10-01,11664000000.00
1997-11-01,11987000000.00
1997-12-01,11752000000.00
1998-01-01,12276000000.00
1998-02-01,12503000000.00
1998-03-01,12117000000.00
1998-04-01,12549000000.00
1998-05-01,12736000000.00
1998-06-01,12156000000.00
1998-07-01,12471000000.00
1998-08-01,12633000000.00
1998-09-01,12355000000.00
1998-10-01,12590000000.00
1998-11-01,12395000000.00
1998-12-01,11491000000.00
1999-01-01,11288000000.00
1999-02-01,11549000000.00
1999-03-01,12288000000.00
1999-04-01,12509000000.00
1999-05-01,12656000000.00
1999-06-01,12031000000.00
1999-07-01,12205000000.00
1999-08-01,12222000000.00
1999-09-01,11932000000.00
1999-10-01,12007000000.00
1999-11-01,12410000000.00
1999-12-01,12202000000.00
2000-01-01,12262000000.00
2000-02-01,12960000000.00
2000-03-01,12969000000.00
2000-04-01,13633000000.00
2000-05-01,14510000000.00
2000-06-01,14439000000.00
2000-07-01,15191000000.00
2000-08-01,16193000000.00
2000-09-01,15058000000.00
2000-10-01,15963000000.00
2000-11-01,17368000000.00
2000-12-01,16869000000.00
2001-01-01,17815000000.00
2001-02-01,18322000000.00
2001-03-01,16960000000.00
2001-04-01,16685000000.00
2001-05-01,17067000000.00
2001-06-01,16822000000.00
2001-07-01,16884000000.00
2001-08-01,16786000000.00
2001-09-01,15151000000.00
2001-10-01,14824000000.00
2001-11-01,15492000000.00
2001-12-01,13316000000.00
2002-01-01,13918000000.00
2002-02-01,13722000000.00
2002-03-01,13003000000.00
2002-04-01,13374000000.00
2002-05-01,13281000000.00
2002-06-01,12634000000.00
2002-07-01,13161000000.00
2002-08-01,13095000000.00
2002-09-01,12027000000.00
2002-10-01,12048000000.00
2002-11-01,12488000000.00
2002-12-01,11329000000.00
2003-01-01,11554000000.00
2003-02-01,11392000000.00
2003-03-01,10889000000.00
2003-04-01,10918000000.00
2003-05-01,11004000000.00
2003-06-01,10350000000.00
2003-07-01,10593000000.00
2003-08-01,10404000000.00
2003-09-01,10293000000.00
2003-10-01,10420000000.00
2003-11-01,10705000000.00
2003-12-01,9914000000.00
2004-01-01,9444000000.00
2004-02-01,9291000000.00
2004-03-01,8733000000.00
2004-04-01,8954000000.00
2004-05-01,8801000000.00
2004-06-01,8137000000.00
2004-07-01,8275000000.00
2004-08-01,8204000000.00
2004-09-01,7763000000.00
2004-10-01,7847000000.00
2004-11-01,7776000000.00
2004-12-01,7173000000.00
2005-01-01,7671000000.00
2005-02-01,7817000000.00
2005-03-01,7701000000.00
2005-04-01,7771000000.00
2005-05-01,8199000000.00
2005-06-01,7994000000.00
2005-07-01,8785000000.00
2005-08-01,9231000000.00
2005-09-01,9198000000.00
2005-10-01,10057000000.00
2005-11-01,11120000000.00
2005-12-01,10540000000.00
2006-01-01,11105000000.00
2006-02-01,11165000000.00
2006-03-01,10272000000.00
2006-04-01,10942000000.00
2006-05-01,10548000000.00
2006-06-01,9658000000.00
2006-07-01,10037000000.00
2006-08-01,10016000000.00
2006-09-01,9812000000.00
2006-10-01,10183000000.00
2006-11-01,10313000000.00
2006-12-01,9034000000.00
2007-01-01,9671000000.00
2007-02-01,9471000000.00
2007-03-01,8554000000.00
2007-04-01,8678000000.00
2007-05-01,8802000000.00
2007-06-01,7856000000.00
2007-07-01,8238000000.00
2007-08-01,8426000000.00
2007-09-01,8393000000.00
2007-10-01,8435000000.00
2007-11-01,8598000000.00
2007-12-01,8087000000.00
2008-01-01,8348000000.00
2008-02-01,8341000000.00
2008-03-01,8191000000.00
2008-04-01,8511000000.00
2008-05-01,8505000000.00
2008-06-01,7868000000.00
2008-07-01,8042000000.00
2008-08-01,8429000000.00
2008-09-01,7913000000.00
2008-10-01,8239000000.00
2008-11-01,8465000000.00
2008-12-01,8285000000.00
2009-01-01,8524000000.00
2009-02-01,8621000000.00
2009-03-01,8228000000.00
2009-04-01,8469000000.00
2009-05-01,8679000000.00
2009-06-01,7532000000.00
2009-07-01,7589000000.00
2009-08-01,7636000000.00
2009-09-01,7524000000.00
2009-10-01,7584000000.00
2009-11-01,7714000000.00
2009-12-01,7694000000.00
2010-01-01,7779000000.00
2010-02-01,7911000000.00
2010-03-01,7008000000.00
2010-04-01,7132000000.00
2010-05-01,7178000000.00
2010-06-01,7122000000.00
2010-07-01,7362000000.00
2010-08-01,7399000000.00
2010-09-01,7260000000.00
2010-10-01,7509000000.00
2010-11-01,7655000000.00
2010-12-01,7295000000.00
2011-01-01,7120000000.00
2011-02-01,7347000000.00
2011-03-01,7372000000.00
2011-04-01,7518000000.00
2011-05-01,7648000000.00
2011-06-01,7605000000.00
2011-07-01,7760000000.00
2011-08-01,7956000000.00
2011-09-01,7559000000.00
2011-10-01,7756000000.00
2011-11-01,7774000000.00
2011-12-01,7128000000.00
2012-01-01,7401000000.00
2012-02-01,7438000000.00
2012-03-01,7179000000.00
2012-04-01,7157000000.00
2012-05-01,6956000000.00
2012-06-01,7006000000.00
2012-07-01,7167000000.00
2012-08-01,7202000000.00
2012-09-01,7053000000.00
2012-10-01,7047000000.00
2012-11-01,7011000000.00
2012-12-01,6601000000.00
2013-01-01,6757000000.00
2013-02-01,6705000000.00
2013-03-01,6442000000.00
2013-04-01,6171000000.00
2013-05-01,6087000000.00
2013-06-01,5936000000.00
2013-07-01,5862000000.00
2013-08-01,5875000000.00
2013-09-01,5749000000.00
2013-10-01,5676000000.00
2013-11-01,5775000000.00
