Date,B069RC1
1975-08-01,23900000000.00
1975-09-01,24000000000.00
1975-10-01,24100000000.00
1975-11-01,24100000000.00
1975-12-01,24000000000.00
1976-01-01,23600000000.00
1976-02-01,23500000000.00
1976-03-01,23500000000.00
1976-04-01,23600000000.00
1976-05-01,23700000000.00
1976-06-01,23800000000.00
1976-07-01,23900000000.00
1976-08-01,24000000000.00
1976-09-01,24100000000.00
1976-10-01,24200000000.00
1976-11-01,24400000000.00
1976-12-01,24700000000.00
1977-01-01,25300000000.00
1977-02-01,25600000000.00
1977-03-01,26000000000.00
1977-04-01,26200000000.00
1977-05-01,26500000000.00
1977-06-01,26800000000.00
1977-07-01,27100000000.00
1977-08-01,27400000000.00
1977-09-01,27800000000.00
1977-10-01,28100000000.00
1977-11-01,28500000000.00
1977-12-01,28900000000.00
1978-01-01,29500000000.00
1978-02-01,30000000000.00
1978-03-01,30400000000.00
1978-04-01,30800000000.00
1978-05-01,31300000000.00
1978-06-01,31700000000.00
1978-07-01,32300000000.00
1978-08-01,32700000000.00
1978-09-01,33100000000.00
1978-10-01,33400000000.00
1978-11-01,33700000000.00
1978-12-01,34000000000.00
1979-01-01,34200000000.00
1979-02-01,34500000000.00
1979-03-01,34800000000.00
1979-04-01,35200000000.00
1979-05-01,35500000000.00
1979-06-01,35900000000.00
1979-07-01,36300000000.00
1979-08-01,36700000000.00
1979-09-01,37100000000.00
1979-10-01,37000000000.00
1979-11-01,37900000000.00
1979-12-01,39200000000.00
1980-01-01,42300000000.00
1980-02-01,43400000000.00
1980-03-01,43900000000.00
1980-04-01,43100000000.00
1980-05-01,43000000000.00
1980-06-01,42800000000.00
1980-07-01,42000000000.00
1980-08-01,42100000000.00
1980-09-01,42500000000.00
1980-10-01,43900000000.00
1980-11-01,44600000000.00
1980-12-01,45100000000.00
1981-01-01,45200000000.00
1981-02-01,45700000000.00
1981-03-01,46300000000.00
1981-04-01,47000000000.00
1981-05-01,47800000000.00
1981-06-01,48600000000.00
1981-07-01,49700000000.00
1981-08-01,50600000000.00
1981-09-01,51400000000.00
1981-10-01,52000000000.00
1981-11-01,52800000000.00
1981-12-01,53600000000.00
1982-01-01,54600000000.00
1982-02-01,55600000000.00
1982-03-01,56500000000.00
1982-04-01,57500000000.00
1982-05-01,58400000000.00
1982-06-01,59100000000.00
1982-07-01,59800000000.00
1982-08-01,60500000000.00
1982-09-01,61300000000.00
1982-10-01,62000000000.00
1982-11-01,62900000000.00
1982-12-01,63800000000.00
1983-01-01,64800000000.00
1983-02-01,65700000000.00
1983-03-01,66400000000.00
1983-04-01,66900000000.00
