Date,JTU1000HIL
2000-12-01,3828000.00
2001-01-01,5540000.00
2001-02-01,4215000.00
2001-03-01,5019000.00
2001-04-01,5696000.00
2001-05-01,5462000.00
2001-06-01,5296000.00
2001-07-01,5359000.00
2001-08-01,4867000.00
2001-09-01,4761000.00
2001-10-01,5099000.00
2001-11-01,3998000.00
2001-12-01,3304000.00
2002-01-01,4619000.00
2002-02-01,3759000.00
2002-03-01,4110000.00
2002-04-01,5227000.00
2002-05-01,4978000.00
2002-06-01,5067000.00
2002-07-01,5200000.00
2002-08-01,4696000.00
2002-09-01,4645000.00
2002-10-01,4846000.00
2002-11-01,3998000.00
2002-12-01,3447000.00
2003-01-01,4688000.00
2003-02-01,3630000.00
2003-03-01,3940000.00
2003-04-01,5001000.00
2003-05-01,4710000.00
2003-06-01,5037000.00
2003-07-01,4867000.00
2003-08-01,4621000.00
2003-09-01,4697000.00
2003-10-01,4918000.00
2003-11-01,3914000.00
2003-12-01,3506000.00
2004-01-01,4525000.00
2004-02-01,3606000.00
2004-03-01,4671000.00
2004-04-01,5419000.00
2004-05-01,5068000.00
2004-06-01,5295000.00
2004-07-01,5053000.00
2004-08-01,5057000.00
2004-09-01,4753000.00
2004-10-01,5110000.00
2004-11-01,4326000.00
2004-12-01,3684000.00
2005-01-01,4816000.00
2005-02-01,4103000.00
2005-03-01,4696000.00
2005-04-01,5591000.00
2005-05-01,5406000.00
2005-06-01,5734000.00
2005-07-01,5414000.00
2005-08-01,5394000.00
2005-09-01,5195000.00
2005-10-01,5004000.00
2005-11-01,4423000.00
2005-12-01,3522000.00
2006-01-01,4776000.00
2006-02-01,4116000.00
2006-03-01,4789000.00
2006-04-01,5352000.00
2006-05-01,5546000.00
2006-06-01,5614000.00
2006-07-01,5513000.00
2006-08-01,5142000.00
2006-09-01,4902000.00
2006-10-01,5223000.00
2006-11-01,4654000.00
2006-12-01,3579000.00
2007-01-01,4751000.00
2007-02-01,3991000.00
2007-03-01,4770000.00
2007-04-01,5356000.00
2007-05-01,5353000.00
2007-06-01,5532000.00
2007-07-01,5218000.00
2007-08-01,5011000.00
2007-09-01,4849000.00
2007-10-01,5265000.00
2007-11-01,4368000.00
2007-12-01,3352000.00
2008-01-01,4425000.00
2008-02-01,3814000.00
2008-03-01,4215000.00
2008-04-01,5118000.00
2008-05-01,4730000.00
2008-06-01,5108000.00
2008-07-01,4627000.00
2008-08-01,4504000.00
2008-09-01,4128000.00
2008-10-01,4448000.00
2008-11-01,3301000.00
2008-12-01,2842000.00
2009-01-01,3707000.00
2009-02-01,3101000.00
2009-03-01,3309000.00
2009-04-01,3917000.00
2009-05-01,3908000.00
2009-06-01,3950000.00
2009-07-01,4011000.00
2009-08-01,3702000.00
2009-09-01,3711000.00
2009-10-01,3681000.00
2009-11-01,3338000.00
2009-12-01,2547000.00
2010-01-01,3470000.00
2010-02-01,2889000.00
2010-03-01,3657000.00
2010-04-01,4243000.00
2010-05-01,4060000.00
2010-06-01,4363000.00
2010-07-01,4236000.00
2010-08-01,3888000.00
2010-09-01,3826000.00
2010-10-01,3992000.00
2010-11-01,3436000.00
2010-12-01,2771000.00
2011-01-01,3520000.00
2011-02-01,3157000.00
2011-03-01,3866000.00
2011-04-01,4439000.00
2011-05-01,4347000.00
2011-06-01,4626000.00
2011-07-01,4283000.00
2011-08-01,4189000.00
2011-09-01,4126000.00
2011-10-01,4183000.00
2011-11-01,3613000.00
2011-12-01,2817000.00
2012-01-01,3885000.00
2012-02-01,3417000.00
2012-03-01,3971000.00
2012-04-01,4479000.00
2012-05-01,4665000.00
2012-06-01,4745000.00
2012-07-01,4344000.00
2012-08-01,4390000.00
2012-09-01,4045000.00
2012-10-01,4270000.00
2012-11-01,3769000.00
2012-12-01,2918000.00
2013-01-01,4023000.00
2013-02-01,3458000.00
2013-03-01,3818000.00
2013-04-01,4713000.00
2013-05-01,4833000.00
2013-06-01,4727000.00
2013-07-01,4601000.00
2013-08-01,4719000.00
2013-09-01,4446000.00
2013-10-01,4434000.00
2013-11-01,3991000.00
2013-12-01,3103000.00
2014-01-01,4203000.00
2014-02-01,3610000.00
2014-03-01,4200000.00
2014-04-01,4992000.00
2014-05-01,5075000.00
2014-06-01,5102000.00
2014-07-01,5064000.00
2014-08-01,4803000.00
2014-09-01,4822000.00
2014-10-01,5149000.00
2014-11-01,4426000.00
2014-12-01,3539000.00
2015-01-01,4542000.00
2015-02-01,3905000.00
2015-03-01,4523000.00
2015-04-01,5272000.00
2015-05-01,5392000.00
2015-06-01,5437000.00
2015-07-01,5110000.00
2015-08-01,5056000.00
2015-09-01,4865000.00
2015-10-01,5314000.00
2015-11-01,4642000.00
2015-12-01,3841000.00
2016-01-01,4611000.00
2016-02-01,4269000.00
2016-03-01,4684000.00
2016-04-01,5361000.00
2016-05-01,5437000.00
2016-06-01,5570000.00
2016-07-01,5286000.00
2016-08-01,5259000.00
2016-09-01,4908000.00
2016-10-01,5265000.00
2016-11-01,4589000.00
2016-12-01,3697000.00
2017-01-01,4939000.00
2017-02-01,4090000.00
2017-03-01,4729000.00
2017-04-01,5372000.00
2017-05-01,5737000.00
2017-06-01,5841000.00
2017-07-01,5546000.00
2017-08-01,5504000.00
2017-09-01,5033000.00
2017-10-01,5650000.00
2017-11-01,4782000.00
2017-12-01,3899000.00
2018-01-01,5058000.00
2018-02-01,4364000.00
2018-03-01,4885000.00
2018-04-01,5711000.00
