Date,JTU1000TSL
2000-12-01,4597000.00
2001-01-01,6889000.00
2001-02-01,4134000.00
2001-03-01,4513000.00
2001-04-01,5383000.00
2001-05-01,4657000.00
2001-06-01,4734000.00
2001-07-01,5592000.00
2001-08-01,5510000.00
2001-09-01,5189000.00
2001-10-01,5722000.00
2001-11-01,4379000.00
2001-12-01,4251000.00
2002-01-01,5857000.00
2002-02-01,3790000.00
2002-03-01,3701000.00
2002-04-01,4766000.00
2002-05-01,4276000.00
2002-06-01,4271000.00
2002-07-01,5346000.00
2002-08-01,5201000.00
2002-09-01,4758000.00
2002-10-01,4912000.00
2002-11-01,4054000.00
2002-12-01,4406000.00
2003-01-01,5617000.00
2003-02-01,3672000.00
2003-03-01,3669000.00
2003-04-01,4486000.00
2003-05-01,3949000.00
2003-06-01,4318000.00
2003-07-01,4925000.00
2003-08-01,5029000.00
2003-09-01,4674000.00
2003-10-01,4913000.00
2003-11-01,3914000.00
2003-12-01,4268000.00
2004-01-01,5293000.00
2004-02-01,3518000.00
2004-03-01,3939000.00
2004-04-01,4634000.00
2004-05-01,4001000.00
2004-06-01,4402000.00
2004-07-01,5044000.00
2004-08-01,5445000.00
2004-09-01,4750000.00
2004-10-01,4880000.00
2004-11-01,4278000.00
2004-12-01,4514000.00
2005-01-01,5659000.00
2005-02-01,3841000.00
2005-03-01,4138000.00
2005-04-01,4671000.00
2005-05-01,4458000.00
2005-06-01,4599000.00
2005-07-01,5136000.00
2005-08-01,5728000.00
2005-09-01,5221000.00
2005-10-01,5000000.00
2005-11-01,4160000.00
2005-12-01,4403000.00
2006-01-01,5353000.00
2006-02-01,3849000.00
2006-03-01,4129000.00
2006-04-01,4644000.00
2006-05-01,4735000.00
2006-06-01,4673000.00
2006-07-01,5340000.00
2006-08-01,5469000.00
2006-09-01,4863000.00
2006-10-01,5221000.00
2006-11-01,4491000.00
2006-12-01,4492000.00
2007-01-01,5424000.00
2007-02-01,3925000.00
2007-03-01,4228000.00
2007-04-01,4750000.00
2007-05-01,4456000.00
2007-06-01,4592000.00
2007-07-01,5184000.00
2007-08-01,5583000.00
2007-09-01,4860000.00
2007-10-01,5193000.00
2007-11-01,4295000.00
2007-12-01,4381000.00
2008-01-01,5295000.00
2008-02-01,3905000.00
2008-03-01,3946000.00
2008-04-01,4784000.00
2008-05-01,4214000.00
2008-06-01,4499000.00
2008-07-01,4861000.00
2008-08-01,5226000.00
2008-09-01,4607000.00
2008-10-01,4931000.00
2008-11-01,4053000.00
2008-12-01,4532000.00
2009-01-01,5430000.00
2009-02-01,3676000.00
2009-03-01,3731000.00
2009-04-01,4257000.00
2009-05-01,3605000.00
2009-06-01,3751000.00
2009-07-01,4259000.00
2009-08-01,4327000.00
2009-09-01,3856000.00
2009-10-01,3965000.00
2009-11-01,3370000.00
2009-12-01,3731000.00
2010-01-01,4162000.00
2010-02-01,2921000.00
2010-03-01,3200000.00
2010-04-01,3539000.00
2010-05-01,3376000.00
2010-06-01,3617000.00
2010-07-01,4060000.00
2010-08-01,4179000.00
2010-09-01,3764000.00
2010-10-01,3750000.00
2010-11-01,3286000.00
2010-12-01,3686000.00
2011-01-01,4159000.00
2011-02-01,2931000.00
2011-03-01,3250000.00
2011-04-01,3570000.00
2011-05-01,3606000.00
2011-06-01,3780000.00
2011-07-01,4020000.00
2011-08-01,4445000.00
2011-09-01,4030000.00
2011-10-01,3955000.00
2011-11-01,3418000.00
2011-12-01,3596000.00
2012-01-01,4159000.00
2012-02-01,3164000.00
2012-03-01,3384000.00
2012-04-01,3910000.00
2012-05-01,3921000.00
2012-06-01,4083000.00
2012-07-01,4064000.00
2012-08-01,4705000.00
2012-09-01,3999000.00
2012-10-01,4050000.00
2012-11-01,3547000.00
2012-12-01,3638000.00
2013-01-01,4444000.00
2013-02-01,3164000.00
2013-03-01,3329000.00
2013-04-01,4054000.00
2013-05-01,3961000.00
2013-06-01,4003000.00
2013-07-01,4356000.00
2013-08-01,4974000.00
2013-09-01,4511000.00
2013-10-01,4135000.00
2013-11-01,3591000.00
2013-12-01,3904000.00
2014-01-01,4652000.00
2014-02-01,3390000.00
2014-03-01,3660000.00
2014-04-01,4227000.00
2014-05-01,4169000.00
2014-06-01,4284000.00
2014-07-01,4752000.00
2014-08-01,5086000.00
2014-09-01,4849000.00
2014-10-01,4762000.00
2014-11-01,3901000.00
2014-12-01,4334000.00
2015-01-01,5039000.00
2015-02-01,3621000.00
2015-03-01,4119000.00
2015-04-01,4532000.00
2015-05-01,4391000.00
2015-06-01,4690000.00
2015-07-01,4832000.00
2015-08-01,5497000.00
2015-09-01,5028000.00
2015-10-01,4801000.00
2015-11-01,4141000.00
2015-12-01,4657000.00
2016-01-01,5208000.00
2016-02-01,4014000.00
2016-03-01,4179000.00
2016-04-01,4698000.00
2016-05-01,4702000.00
2016-06-01,4716000.00
2016-07-01,5052000.00
2016-08-01,5654000.00
2016-09-01,4935000.00
2016-10-01,4895000.00
2016-11-01,4186000.00
2016-12-01,4550000.00
2017-01-01,5400000.00
2017-02-01,3869000.00
2017-03-01,4322000.00
2017-04-01,4675000.00
2017-05-01,4857000.00
2017-06-01,5004000.00
2017-07-01,5365000.00
2017-08-01,5863000.00
2017-09-01,5359000.00
2017-10-01,5107000.00
2017-11-01,4380000.00
2017-12-01,4748000.00
2018-01-01,5552000.00
2018-02-01,3973000.00
2018-03-01,4486000.00
2018-04-01,4991000.00
