Date,SFTPINDM114SFRBSF
1971-04-01,0.96
1971-05-01,0.97
1971-06-01,0.98
1971-07-01,0.99
1971-08-01,0.99
1971-09-01,1.00
1971-10-01,1.00
1971-11-01,1.02
1971-12-01,1.06
1972-01-01,1.09
1972-02-01,1.12
1972-03-01,1.12
1972-04-01,1.12
1972-05-01,1.12
1972-06-01,1.12
1972-07-01,1.13
1972-08-01,1.15
1972-09-01,1.16
1972-10-01,1.18
1972-11-01,1.21
1972-12-01,1.24
1973-01-01,1.27
1973-02-01,1.30
1973-03-01,1.32
1973-04-01,1.35
1973-05-01,1.38
1973-06-01,1.40
1973-07-01,1.42
1973-08-01,1.44
1973-09-01,1.47
1973-10-01,1.51
1973-11-01,1.55
1973-12-01,1.58
1974-01-01,1.60
1974-02-01,1.61
1974-03-01,1.62
1974-04-01,1.63
1974-05-01,1.67
1974-06-01,1.72
1974-07-01,1.76
1974-08-01,1.80
1974-09-01,1.85
1974-10-01,1.90
1974-11-01,1.91
1974-12-01,1.89
1975-01-01,1.86
1975-02-01,1.83
1975-03-01,1.81
1975-04-01,1.78
1975-05-01,1.75
1975-06-01,1.72
1975-07-01,1.71
1975-08-01,1.71
1975-09-01,1.71
1975-10-01,1.72
1975-11-01,1.72
1975-12-01,1.75
1976-01-01,1.79
1976-02-01,1.84
1976-03-01,1.90
1976-04-01,1.98
1976-05-01,2.06
1976-06-01,2.13
1976-07-01,2.21
1976-08-01,2.29
1976-09-01,2.38
1976-10-01,2.48
1976-11-01,2.57
1976-12-01,2.66
1977-01-01,2.72
1977-02-01,2.80
1977-03-01,2.88
1977-04-01,2.96
1977-05-01,3.03
1977-06-01,3.09
1977-07-01,3.15
1977-08-01,3.23
1977-09-01,3.33
1977-10-01,3.42
1977-11-01,3.49
1977-12-01,3.54
1978-01-01,3.58
1978-02-01,3.69
1978-03-01,3.85
1978-04-01,4.02
1978-05-01,4.16
1978-06-01,4.28
1978-07-01,4.40
1978-08-01,4.52
1978-09-01,4.65
1978-10-01,4.77
1978-11-01,4.90
1978-12-01,5.04
1979-01-01,5.19
1979-02-01,5.33
1979-03-01,5.42
1979-04-01,5.50
1979-05-01,5.63
1979-06-01,5.82
1979-07-01,6.00
1979-08-01,6.15
1979-09-01,6.29
1979-10-01,6.47
1979-11-01,6.68
1979-12-01,6.88
1980-01-01,7.05
1980-02-01,7.19
1980-03-01,7.32
1980-04-01,7.46
1980-05-01,7.62
1980-06-01,7.81
1980-07-01,8.00
1980-08-01,8.17
1980-09-01,8.32
1980-10-01,8.46
1980-11-01,8.61
1980-12-01,8.79
1981-01-01,8.98
1981-02-01,9.17
1981-03-01,9.37
1981-04-01,9.59
1981-05-01,9.80
1981-06-01,9.99
1981-07-01,10.17
1981-08-01,10.40
1981-09-01,10.63
1981-10-01,10.79
1981-11-01,10.90
1981-12-01,11.11
1982-01-01,11.48
1982-02-01,11.80
1982-03-01,11.82
1982-04-01,11.65
1982-05-01,11.52
1982-06-01,11.54
1982-07-01,11.56
1982-08-01,11.52
1982-09-01,11.44
1982-10-01,11.39
1982-11-01,11.43
1982-12-01,11.59
1983-01-01,11.83
1983-02-01,12.07
1983-03-01,12.34
1983-04-01,12.63
1983-05-01,12.93
1983-06-01,13.22
1983-07-01,13.44
1983-08-01,13.64
1983-09-01,14.02
1983-10-01,14.52
1983-11-01,15.00
1983-12-01,15.36
1984-01-01,15.65
1984-02-01,15.99
1984-03-01,16.44
1984-04-01,16.96
1984-05-01,17.48
1984-06-01,17.94
1984-07-01,18.36
1984-08-01,18.78
1984-09-01,19.19
1984-10-01,19.63
1984-11-01,20.00
1984-12-01,20.22
1985-01-01,20.27
1985-02-01,20.22
1985-03-01,20.15
1985-04-01,20.12
1985-05-01,20.14
1985-06-01,20.10
1985-07-01,19.96
1985-08-01,19.89
1985-09-01,19.98
1985-10-01,20.15
1985-11-01,20.27
