Date,RTWVDIA684NMFRBDAL
1988-01-01,100.00
1988-02-01,100.10
1988-03-01,98.54
1988-04-01,97.41
1988-05-01,97.47
1988-06-01,98.21
1988-07-01,99.98
1988-08-01,101.07
1988-09-01,101.43
1988-10-01,99.00
1988-11-01,97.16
1988-12-01,96.41
1989-01-01,97.86
1989-02-01,98.18
1989-03-01,99.81
1989-04-01,100.09
1989-05-01,102.19
1989-06-01,103.94
1989-07-01,101.80
1989-08-01,101.88
1989-09-01,102.78
1989-10-01,101.16
1989-11-01,101.15
1989-12-01,100.03
1990-01-01,100.06
1990-02-01,100.58
1990-03-01,101.88
1990-04-01,101.41
1990-05-01,100.37
1990-06-01,100.88
1990-07-01,99.14
1990-08-01,97.79
1990-09-01,97.14
1990-10-01,94.90
1990-11-01,94.39
1990-12-01,95.36
1991-01-01,94.78
1991-02-01,93.73
1991-03-01,96.98
1991-04-01,98.19
1991-05-01,98.46
1991-06-01,99.73
1991-07-01,99.49
1991-08-01,98.46
1991-09-01,97.27
1991-10-01,96.23
1991-11-01,95.21
1991-12-01,94.50
1992-01-01,94.32
1992-02-01,95.80
1992-03-01,97.59
1992-04-01,97.00
1992-05-01,96.34
1992-06-01,95.29
1992-07-01,94.03
1992-08-01,93.65
1992-09-01,94.34
1992-10-01,96.16
1992-11-01,98.78
1992-12-01,98.80
1993-01-01,99.75
1993-02-01,99.17
1993-03-01,98.27
1993-04-01,96.92
1993-05-01,96.74
1993-06-01,97.08
1993-07-01,97.57
1993-08-01,97.47
1993-09-01,97.33
1993-10-01,98.04
1993-11-01,98.44
1993-12-01,98.77
1994-01-01,98.99
1994-02-01,99.13
1994-03-01,99.73
1994-04-01,100.14
1994-05-01,99.64
1994-06-01,99.32
1994-07-01,98.28
1994-08-01,98.32
1994-09-01,97.22
1994-10-01,96.65
1994-11-01,96.98
1994-12-01,98.95
1995-01-01,100.57
1995-02-01,99.80
1995-03-01,98.35
1995-04-01,94.94
1995-05-01,94.60
1995-06-01,94.87
1995-07-01,94.52
1995-08-01,96.53
1995-09-01,97.56
1995-10-01,97.47
1995-11-01,98.32
1995-12-01,98.78
1996-01-01,99.74
1996-02-01,99.84
1996-03-01,99.89
1996-04-01,100.04
1996-05-01,100.27
1996-06-01,100.62
1996-07-01,100.60
1996-08-01,100.19
1996-09-01,100.73
1996-10-01,101.06
1996-11-01,100.49
1996-12-01,101.56
1997-01-01,102.41
1997-02-01,104.27
1997-03-01,105.22
1997-04-01,106.09
1997-05-01,104.74
1997-06-01,104.82
1997-07-01,105.75
1997-08-01,107.44
1997-09-01,107.36
1997-10-01,107.57
1997-11-01,109.04
1997-12-01,112.05
1998-01-01,113.34
1998-02-01,112.66
1998-03-01,112.43
1998-04-01,112.88
1998-05-01,113.39
1998-06-01,115.34
1998-07-01,116.26
1998-08-01,118.75
1998-09-01,117.28
1998-10-01,115.57
1998-11-01,115.63
1998-12-01,115.21
1999-01-01,114.67
1999-02-01,115.51
1999-03-01,117.16
1999-04-01,116.36
1999-05-01,115.51
1999-06-01,116.37
1999-07-01,117.04
1999-08-01,115.89
1999-09-01,115.01
1999-10-01,114.54
1999-11-01,114.98
1999-12-01,114.99
2000-01-01,114.67
2000-02-01,116.49
2000-03-01,117.39
2000-04-01,118.16
2000-05-01,120.93
2000-06-01,119.23
2000-07-01,119.55
2000-08-01,120.42
2000-09-01,122.00
2000-10-01,124.08
2000-11-01,125.10
2000-12-01,123.14
2001-01-01,123.57
2001-02-01,124.75
2001-03-01,127.27
2001-04-01,127.88
2001-05-01,127.29
2001-06-01,127.75
2001-07-01,128.14
2001-08-01,126.40
2001-09-01,127.35
2001-10-01,127.98
2001-11-01,129.13
2001-12-01,128.64
2002-01-01,130.35
2002-02-01,130.83
2002-03-01,130.07
2002-04-01,129.54
2002-05-01,127.06
2002-06-01,125.14
2002-07-01,123.69
2002-08-01,125.32
2002-09-01,126.14
2002-10-01,126.97
2002-11-01,125.41
2002-12-01,124.29
2003-01-01,122.56
2003-02-01,122.38
2003-03-01,121.46
2003-04-01,120.04
2003-05-01,114.87
2003-06-01,114.07
2003-07-01,115.58
2003-08-01,117.19
2003-09-01,115.61
2003-10-01,112.66
2003-11-01,111.64
2003-12-01,110.17
2004-01-01,108.43
2004-02-01,109.78
2004-03-01,111.03
2004-04-01,112.17
2004-05-01,115.07
2004-06-01,113.88
2004-07-01,112.13
2004-08-01,111.97
2004-09-01,111.15
2004-10-01,109.06
2004-11-01,105.48
2004-12-01,104.63
2005-01-01,105.51
2005-02-01,106.15
2005-03-01,105.48
2005-04-01,107.08
2005-05-01,107.63
2005-06-01,108.03
2005-07-01,108.22
2005-08-01,106.99
2005-09-01,107.13
2005-10-01,108.41
2005-11-01,108.33
2005-12-01,106.71
2006-01-01,105.96
2006-02-01,105.99
