Date,CPIEMEDCARE
1982-12-01,100.00
1983-01-01,101.00
1983-02-01,102.10
1983-03-01,102.40
1983-04-01,102.70
1983-05-01,102.90
1983-06-01,103.20
1983-07-01,103.80
1983-08-01,104.50
1983-09-01,104.80
1983-10-01,105.30
1983-11-01,105.80
1983-12-01,106.20
1984-01-01,107.20
1984-02-01,108.30
1984-03-01,108.70
1984-04-01,109.00
1984-05-01,109.30
1984-06-01,109.60
1984-07-01,110.30
1984-08-01,110.80
1984-09-01,111.10
1984-10-01,111.70
1984-11-01,112.30
1984-12-01,112.70
1985-01-01,113.50
1985-02-01,114.30
1985-03-01,115.00
1985-04-01,115.50
1985-05-01,116.00
1985-06-01,116.60
1985-07-01,117.30
1985-08-01,118.10
1985-09-01,118.60
1985-10-01,119.20
1985-11-01,120.00
1985-12-01,120.50
1986-01-01,121.60
1986-02-01,122.90
1986-03-01,123.90
1986-04-01,124.60
1986-05-01,125.10
1986-06-01,125.80
1986-07-01,126.70
1986-08-01,127.50
1986-09-01,128.10
1986-10-01,128.90
1986-11-01,129.60
1986-12-01,130.30
1987-01-01,131.00
1987-02-01,131.80
1987-03-01,132.50
1987-04-01,133.00
1987-05-01,133.40
1987-06-01,134.00
1987-07-01,134.80
1987-08-01,135.30
1987-09-01,135.80
1987-10-01,136.40
1987-11-01,136.90
1987-12-01,137.20
1988-01-01,138.50
1988-02-01,139.50
1988-03-01,140.40
1988-04-01,141.00
1988-05-01,141.80
1988-06-01,142.30
1988-07-01,143.70
1988-08-01,144.40
1988-09-01,145.20
1988-10-01,146.20
1988-11-01,146.90
1988-12-01,147.50
1989-01-01,149.10
1989-02-01,150.60
1989-03-01,151.70
1989-04-01,152.50
1989-05-01,153.30
1989-06-01,154.40
1989-07-01,155.80
1989-08-01,156.90
1989-09-01,157.50
1989-10-01,158.70
1989-11-01,160.10
1989-12-01,160.80
1990-01-01,162.60
1990-02-01,164.40
1990-03-01,166.10
1990-04-01,167.30
1990-05-01,168.70
1990-06-01,170.00
1990-07-01,172.00
1990-08-01,173.70
1990-09-01,174.70
1990-10-01,176.30
1990-11-01,177.80
1990-12-01,178.90
1991-01-01,180.90
1991-02-01,182.90
1991-03-01,184.40
1991-04-01,185.20
1991-05-01,186.10
1991-06-01,187.20
1991-07-01,188.70
1991-08-01,190.10
1991-09-01,191.10
1991-10-01,192.10
1991-11-01,193.20
1991-12-01,194.10
1992-01-01,195.90
1992-02-01,197.90
1992-03-01,199.20
1992-04-01,199.90
1992-05-01,200.60
1992-06-01,201.30
1992-07-01,202.60
1992-08-01,203.40
1992-09-01,204.10
1992-10-01,205.30
1992-11-01,206.30
1992-12-01,206.90
1993-01-01,208.80
1993-02-01,210.50
1993-03-01,211.20
1993-04-01,212.00
1993-05-01,213.30
1993-06-01,214.00
1993-07-01,215.20
1993-08-01,216.00
1993-09-01,216.60
1993-10-01,217.70
1993-11-01,218.30
1993-12-01,218.70
1994-01-01,220.20
1994-02-01,221.70
1994-03-01,222.40
1994-04-01,223.40
1994-05-01,224.10
1994-06-01,224.80
1994-07-01,226.20
1994-08-01,227.10
1994-09-01,227.80
1994-10-01,229.10
1994-11-01,229.80
1994-12-01,230.60
1995-01-01,232.10
1995-02-01,233.50
1995-03-01,234.10
1995-04-01,234.50
1995-05-01,234.90
1995-06-01,235.30
1995-07-01,236.20
1995-08-01,237.00
1995-09-01,237.50
1995-10-01,238.40
1995-11-01,239.00
1995-12-01,239.40
1996-01-01,240.90
1996-02-01,242.00
1996-03-01,242.40
1996-04-01,242.70
1996-05-01,243.10
1996-06-01,243.40
1996-07-01,244.30
1996-08-01,244.80
1996-09-01,244.90
1996-10-01,245.60
1996-11-01,246.00
1996-12-01,245.90
1997-01-01,247.20
1997-02-01,248.00
1997-03-01,248.60
1997-04-01,249.00
1997-05-01,249.50
1997-06-01,249.80
1997-07-01,250.20
1997-08-01,250.60
1997-09-01,250.70
1997-10-01,251.20
1997-11-01,251.70
1997-12-01,252.50
1998-01-01,253.60
1998-02-01,254.90
1998-03-01,255.50
1998-04-01,256.40
1998-05-01,257.20
1998-06-01,257.80
1998-07-01,258.60
1998-08-01,259.50
1998-09-01,260.00
1998-10-01,260.50
1998-11-01,260.90
1998-12-01,261.50
1999-01-01,263.10
