Date,IPG22111N
1972-01-01,33.69
1972-02-01,34.23
1972-03-01,32.61
1972-04-01,31.39
1972-05-01,31.23
1972-06-01,35.14
1972-07-01,37.53
1972-08-01,39.65
1972-09-01,37.19
1972-10-01,35.07
1972-11-01,36.03
1972-12-01,37.13
1973-01-01,38.39
1973-02-01,38.33
1973-03-01,35.58
1973-04-01,34.44
1973-05-01,35.09
1973-06-01,40.78
1973-07-01,43.12
1973-08-01,44.78
1973-09-01,41.80
1973-10-01,39.33
1973-11-01,38.89
1973-12-01,37.59
1974-01-01,37.80
1974-02-01,38.43
1974-03-01,36.76
1974-04-01,35.01
1974-05-01,36.63
1974-06-01,39.11
1974-07-01,44.96
1974-08-01,45.26
1974-09-01,40.95
1974-10-01,39.80
1974-11-01,40.33
1974-12-01,42.06
1975-01-01,43.06
1975-02-01,42.39
1975-03-01,40.36
1975-04-01,38.90
1975-05-01,39.42
1975-06-01,43.06
1975-07-01,46.75
1975-08-01,48.35
1975-09-01,43.15
1975-10-01,41.29
1975-11-01,41.52
1975-12-01,45.08
1976-01-01,47.36
1976-02-01,44.18
1976-03-01,42.84
1976-04-01,40.91
1976-05-01,40.69
1976-06-01,47.57
1976-07-01,49.99
1976-08-01,50.62
1976-09-01,46.70
1976-10-01,44.69
1976-11-01,47.77
1976-12-01,51.18
1977-01-01,54.77
1977-02-01,50.93
1977-03-01,46.98
1977-04-01,45.03
1977-05-01,47.25
1977-06-01,52.65
1977-07-01,56.33
1977-08-01,55.62
1977-09-01,51.25
1977-10-01,46.50
1977-11-01,47.57
1977-12-01,50.93
1978-01-01,54.57
1978-02-01,52.84
1978-03-01,47.15
1978-04-01,44.02
1978-05-01,46.62
1978-06-01,53.20
1978-07-01,56.15
1978-08-01,57.85
1978-09-01,53.36
1978-10-01,49.31
1978-11-01,51.22
1978-12-01,53.68
1979-01-01,58.49
1979-02-01,58.00
1979-03-01,50.15
1979-04-01,47.14
1979-05-01,46.53
1979-06-01,51.64
1979-07-01,55.71
1979-08-01,57.44
1979-09-01,52.43
1979-10-01,50.01
1979-11-01,50.19
1979-12-01,51.86
1980-01-01,54.21
1980-02-01,55.36
1980-03-01,51.08
1980-04-01,46.96
1980-05-01,46.61
1980-06-01,52.14
1980-07-01,59.07
1980-08-01,60.40
1980-09-01,56.00
1980-10-01,51.15
1980-11-01,51.57
1980-12-01,54.22
1981-01-01,57.56
1981-02-01,55.41
1981-03-01,51.83
1981-04-01,49.58
1981-05-01,48.57
1981-06-01,57.04
1981-07-01,60.63
1981-08-01,60.58
1981-09-01,55.08
1981-10-01,50.76
1981-11-01,51.33
1981-12-01,55.03
1982-01-01,58.11
1982-02-01,54.12
1982-03-01,50.98
1982-04-01,48.61
1982-05-01,48.22
1982-06-01,54.16
1982-07-01,58.37
1982-08-01,57.56
1982-09-01,53.47
1982-10-01,49.12
1982-11-01,50.20
1982-12-01,51.13
1983-01-01,53.96
1983-02-01,52.29
1983-03-01,49.97
1983-04-01,47.92
1983-05-01,47.13
1983-06-01,54.00
1983-07-01,60.79
1983-08-01,63.94
1983-09-01,57.27
1983-10-01,52.50
1983-11-01,53.32
1983-12-01,58.15
1984-01-01,60.95
1984-02-01,57.78
1984-03-01,55.94
1984-04-01,51.75
