Date,TLBSHNO
1945-10-01,30584000000.00
1946-10-01,37441000000.00
1947-10-01,46468000000.00
1948-10-01,55109000000.00
1949-10-01,63061000000.00
1950-10-01,76803000000.00
1951-10-01,85567000000.00
1952-01-01,86224000000.00
1952-04-01,90411000000.00
1952-07-01,93441000000.00
1952-10-01,97890000000.00
1953-01-01,100207000000.00
1953-04-01,104699000000.00
1953-07-01,107229000000.00
1953-10-01,110624000000.00
1954-01-01,110496000000.00
1954-04-01,114312000000.00
1954-07-01,117763000000.00
1954-10-01,123092000000.00
1955-01-01,126315000000.00
1955-04-01,133426000000.00
1955-07-01,138787000000.00
1955-10-01,144426000000.00
1956-01-01,146185000000.00
1956-04-01,151446000000.00
1956-07-01,154833000000.00
1956-10-01,159600000000.00
1957-01-01,160761000000.00
1957-04-01,165828000000.00
1957-07-01,168971000000.00
1957-10-01,172076000000.00
1958-01-01,171212000000.00
1958-04-01,174783000000.00
1958-07-01,178359000000.00
1958-10-01,184149000000.00
1959-01-01,186644000000.00
1959-04-01,193679000000.00
1959-07-01,199894000000.00
1959-10-01,206702000000.00
1960-01-01,207626000000.00
1960-04-01,214485000000.00
1960-07-01,219067000000.00
1960-10-01,224550000000.00
1961-01-01,225311000000.00
1961-04-01,231512000000.00
1961-07-01,235787000000.00
1961-10-01,242913000000.00
1962-01-01,244240000000.00
1962-04-01,251339000000.00
1962-07-01,257554000000.00
1962-10-01,265049000000.00
1963-01-01,267959000000.00
1963-04-01,277476000000.00
1963-07-01,284993000000.00
1963-10-01,294004000000.00
1964-01-01,297969000000.00
1964-04-01,307566000000.00
1964-07-01,314378000000.00
1964-10-01,323369000000.00
1965-01-01,326864000000.00
1965-04-01,336469000000.00
1965-07-01,343385000000.00
1965-10-01,352786000000.00
1966-01-01,355964000000.00
1966-04-01,365660000000.00
1966-07-01,369551000000.00
1966-10-01,376022000000.00
1967-01-01,375812000000.00
1967-04-01,383147000000.00
1967-07-01,389209000000.00
1967-10-01,410869000000.00
1968-01-01,402468000000.00
1968-04-01,415182000000.00
1968-07-01,422781000000.00
1968-10-01,436144000000.00
1969-01-01,434920000000.00
1969-04-01,446332000000.00
1969-07-01,452181000000.00
1969-10-01,463780000000.00
1970-01-01,456241000000.00
1970-04-01,462800000000.00
1970-07-01,469739000000.00
1970-10-01,478741000000.00
1971-01-01,481495000000.00
1971-04-01,495146000000.00
1971-07-01,507891000000.00
1971-10-01,524086000000.00
1972-01-01,531333000000.00
1972-04-01,551272000000.00
1972-07-01,566724000000.00
1972-10-01,585423000000.00
1973-01-01,597546000000.00
1973-04-01,616455000000.00
1973-07-01,635549000000.00
1973-10-01,651963000000.00
1974-01-01,656214000000.00
1974-04-01,677007000000.00
1974-07-01,695427000000.00
1974-10-01,708618000000.00
1975-01-01,707942000000.00
1975-04-01,721972000000.00
1975-07-01,742057000000.00
1975-10-01,765776000000.00
1976-01-01,775307000000.00
1976-04-01,802059000000.00
1976-07-01,827219000000.00
1976-10-01,855353000000.00
1977-01-01,872133000000.00
1977-04-01,910866000000.00
1977-07-01,949050000000.00
1977-10-01,986885000000.00
1978-01-01,1009796000000.00
1978-04-01,1060157000000.00
1978-07-01,1107727000000.00
1978-10-01,1150252000000.00
1979-01-01,1177797000000.00
1979-04-01,1225353000000.00
1979-07-01,1275760000000.00
1979-10-01,1321228000000.00
1980-01-01,1350243000000.00
1980-04-01,1368494000000.00
1980-07-01,1404495000000.00
1980-10-01,1446947000000.00
1981-01-01,1456193000000.00
1981-04-01,1493595000000.00
1981-07-01,1524585000000.00
1981-10-01,1556065000000.00
1982-01-01,1560136000000.00
1982-04-01,1584350000000.00
1982-07-01,1594325000000.00
1982-10-01,1629030000000.00
1983-01-01,1622222000000.00
1983-04-01,1673327000000.00
1983-07-01,1731147000000.00
1983-10-01,1793755000000.00
1984-01-01,1826137000000.00
1984-04-01,1891150000000.00
1984-07-01,1946892000000.00
1984-10-01,2013977000000.00
1985-01-01,2088221000000.00
1985-04-01,2163818000000.00
1985-07-01,2255833000000.00
1985-10-01,2369310000000.00
1986-01-01,2393408000000.00
1986-04-01,2459114000000.00
1986-07-01,2545610000000.00
1986-10-01,2632766000000.00
1987-01-01,2638258000000.00
1987-04-01,2731548000000.00
1987-07-01,2809325000000.00
1987-10-01,2860335000000.00
1988-01-01,2905022000000.00
1988-04-01,2990525000000.00
1988-07-01,3071282000000.00
1988-10-01,3145547000000.00
1989-01-01,3189654000000.00
1989-04-01,3277555000000.00
1989-07-01,3361375000000.00
1989-10-01,3444337000000.00
1990-01-01,3512018000000.00
1990-04-01,3584610000000.00
1990-07-01,3647762000000.00
1990-10-01,3713922000000.00
1991-01-01,3739594000000.00
1991-04-01,3804767000000.00
1991-07-01,3846747000000.00
1991-10-01,3930379000000.00
1992-01-01,3950281000000.00
1992-04-01,3993978000000.00
1992-07-01,4061407000000.00
1992-10-01,4134205000000.00
1993-01-01,4141816000000.00
1993-04-01,4209680000000.00
1993-07-01,4296128000000.00
1993-10-01,4389773000000.00
1994-01-01,4421626000000.00
1994-04-01,4506562000000.00
1994-07-01,4595186000000.00
1994-10-01,4715083000000.00
1995-01-01,4744869000000.00
1995-04-01,4836532000000.00
1995-07-01,4949834000000.00
1995-10-01,5044226000000.00
1996-01-01,5115083000000.00
1996-04-01,5215464000000.00
1996-07-01,5313856000000.00
1996-10-01,5413386000000.00
1997-01-01,5455201000000.00
1997-04-01,5551467000000.00
1997-07-01,5672299000000.00
1997-10-01,5768555000000.00
1998-01-01,5825377000000.00
1998-04-01,5965544000000.00
1998-07-01,6082280000000.00
1998-10-01,6227941000000.00
1999-01-01,6315330000000.00
1999-04-01,6470420000000.00
1999-07-01,6630895000000.00
1999-10-01,6802267000000.00
2000-01-01,6930112000000.00
2000-04-01,7079512000000.00
2000-07-01,7261031000000.00
2000-10-01,7404151000000.00
2001-01-01,7450104000000.00
2001-04-01,7645246000000.00
2001-07-01,7899783000000.00
2001-10-01,8025247000000.00
2002-01-01,8157148000000.00
2002-04-01,8345678000000.00
2002-07-01,8561213000000.00
2002-10-01,8808805000000.00
2003-01-01,8995398000000.00
2003-04-01,9386418000000.00
2003-07-01,9646036000000.00
2003-10-01,9899757000000.00
2004-01-01,10103401000000.00
2004-04-01,10419563000000.00
2004-07-01,10694967000000.00
2004-10-01,11067107000000.00
2005-01-01,11279861000000.00
2005-04-01,11611860000000.00
2005-07-01,11960930000000.00
2005-10-01,12254440000000.00
2006-01-01,12616842000000.00
2006-04-01,12957402000000.00
2006-07-01,13287417000000.00
2006-10-01,13555961000000.00
2007-01-01,13741323000000.00
2007-04-01,14044772000000.00
2007-07-01,14301506000000.00
2007-10-01,14515465000000.00
2008-01-01,14644613000000.00
2008-04-01,14585184000000.00
2008-07-01,14735594000000.00
2008-10-01,14429513000000.00
2009-01-01,14328031000000.00
2009-04-01,14306355000000.00
2009-07-01,14310467000000.00
2009-10-01,14303441000000.00
2010-01-01,14168698000000.00
2010-04-01,14106779000000.00
2010-07-01,14044766000000.00
2010-10-01,14027805000000.00
2011-01-01,13990532000000.00
2011-04-01,13942179000000.00
2011-07-01,13888418000000.00
2011-10-01,13898351000000.00
2012-01-01,13855070000000.00
2012-04-01,13823287000000.00
2012-07-01,13865309000000.00
2012-10-01,13913322000000.00
2013-01-01,13872056000000.00
2013-04-01,13881661000000.00
2013-07-01,13960997000000.00
2013-10-01,14044330000000.00
2014-01-01,14008598000000.00
2014-04-01,14142825000000.00
2014-07-01,14252537000000.00
2014-10-01,14327322000000.00
2015-01-01,14301338000000.00
2015-04-01,14438890000000.00
2015-07-01,14502385000000.00
2015-10-01,14526243000000.00
2016-01-01,14528970000000.00
2016-04-01,14677093000000.00
2016-07-01,14867936000000.00
2016-10-01,14978890000000.00
2017-01-01,15035996000000.00
2017-04-01,15202168000000.00
2017-07-01,15345635000000.00
2017-10-01,15530656000000.00
2018-01-01,15574178000000.00
