Date,UCDGUO
1992-01-01,4502000000.00
1992-02-01,4801000000.00
1992-03-01,4718000000.00
1992-04-01,5310000000.00
1992-05-01,5292000000.00
1992-06-01,5036000000.00
1992-07-01,5323000000.00
1992-08-01,5036000000.00
1992-09-01,4711000000.00
1992-10-01,4482000000.00
1992-11-01,4118000000.00
1992-12-01,3725000000.00
1993-01-01,4865000000.00
1993-02-01,5093000000.00
1993-03-01,5197000000.00
1993-04-01,5878000000.00
1993-05-01,5958000000.00
1993-06-01,5763000000.00
1993-07-01,6148000000.00
1993-08-01,6111000000.00
1993-09-01,5723000000.00
1993-10-01,5388000000.00
1993-11-01,4802000000.00
1993-12-01,4543000000.00
1994-01-01,5332000000.00
1994-02-01,5459000000.00
1994-03-01,5516000000.00
1994-04-01,5801000000.00
1994-05-01,6330000000.00
1994-06-01,6191000000.00
1994-07-01,6519000000.00
1994-08-01,6539000000.00
1994-09-01,6336000000.00
1994-10-01,6035000000.00
1994-11-01,5560000000.00
1994-12-01,5029000000.00
1995-01-01,5801000000.00
1995-02-01,5810000000.00
1995-03-01,5993000000.00
1995-04-01,6097000000.00
1995-05-01,6647000000.00
1995-06-01,6488000000.00
1995-07-01,7152000000.00
1995-08-01,7106000000.00
1995-09-01,6511000000.00
1995-10-01,6214000000.00
1995-11-01,5737000000.00
1995-12-01,5139000000.00
1996-01-01,6215000000.00
1996-02-01,6324000000.00
1996-03-01,6709000000.00
1996-04-01,7170000000.00
1996-05-01,7405000000.00
1996-06-01,6912000000.00
1996-07-01,6995000000.00
1996-08-01,6887000000.00
1996-09-01,6540000000.00
1996-10-01,6755000000.00
1996-11-01,6221000000.00
1996-12-01,5721000000.00
1997-01-01,6189000000.00
1997-02-01,6450000000.00
1997-03-01,6255000000.00
1997-04-01,6557000000.00
1997-05-01,7105000000.00
1997-06-01,6911000000.00
1997-07-01,7503000000.00
1997-08-01,7206000000.00
1997-09-01,7191000000.00
1997-10-01,7668000000.00
1997-11-01,7531000000.00
1997-12-01,7215000000.00
1998-01-01,7772000000.00
1998-02-01,7553000000.00
1998-03-01,6844000000.00
1998-04-01,6509000000.00
1998-05-01,6967000000.00
1998-06-01,7266000000.00
1998-07-01,7648000000.00
1998-08-01,7902000000.00
1998-09-01,7899000000.00
1998-10-01,8607000000.00
1998-11-01,8372000000.00
1998-12-01,8111000000.00
1999-01-01,8737000000.00
1999-02-01,9375000000.00
1999-03-01,9730000000.00
1999-04-01,9759000000.00
1999-05-01,9229000000.00
1999-06-01,8668000000.00
1999-07-01,9138000000.00
1999-08-01,8854000000.00
1999-09-01,8989000000.00
1999-10-01,10199000000.00
1999-11-01,9571000000.00
1999-12-01,8900000000.00
2000-01-01,9543000000.00
2000-02-01,10094000000.00
2000-03-01,9910000000.00
2000-04-01,9895000000.00
2000-05-01,10429000000.00
2000-06-01,8987000000.00
2000-07-01,9289000000.00
2000-08-01,9005000000.00
2000-09-01,9290000000.00
2000-10-01,9999000000.00
2000-11-01,10538000000.00
2000-12-01,10178000000.00
2001-01-01,10205000000.00
2001-02-01,9824000000.00
2001-03-01,8364000000.00
2001-04-01,7534000000.00
2001-05-01,6978000000.00
2001-06-01,6388000000.00
2001-07-01,6762000000.00
2001-08-01,6714000000.00
2001-09-01,6576000000.00
2001-10-01,6545000000.00
2001-11-01,6936000000.00
2001-12-01,6884000000.00
2002-01-01,7144000000.00
2002-02-01,7011000000.00
2002-03-01,6767000000.00
2002-04-01,6704000000.00
2002-05-01,6594000000.00
2002-06-01,6163000000.00
2002-07-01,6386000000.00
2002-08-01,6176000000.00
2002-09-01,6247000000.00
2002-10-01,6633000000.00
2002-11-01,6681000000.00
2002-12-01,6415000000.00
2003-01-01,6694000000.00
2003-02-01,7007000000.00
2003-03-01,6470000000.00
2003-04-01,6903000000.00
2003-05-01,6753000000.00
2003-06-01,6479000000.00
2003-07-01,6782000000.00
2003-08-01,6553000000.00
2003-09-01,6419000000.00
2003-10-01,6887000000.00
2003-11-01,7416000000.00
2003-12-01,7115000000.00
2004-01-01,7462000000.00
2004-02-01,7333000000.00
