Date,UCRPTI
1992-01-01,9365000000.00
1992-02-01,9410000000.00
1992-03-01,9055000000.00
1992-04-01,9283000000.00
1992-05-01,9357000000.00
1992-06-01,8681000000.00
1992-07-01,9089000000.00
1992-08-01,9586000000.00
1992-09-01,9437000000.00
1992-10-01,9763000000.00
1992-11-01,9958000000.00
1992-12-01,9224000000.00
1993-01-01,9405000000.00
1993-02-01,9673000000.00
1993-03-01,9039000000.00
1993-04-01,9409000000.00
1993-05-01,9896000000.00
1993-06-01,9395000000.00
1993-07-01,10052000000.00
1993-08-01,10100000000.00
1993-09-01,9712000000.00
1993-10-01,9839000000.00
1993-11-01,9879000000.00
1993-12-01,9265000000.00
1994-01-01,9618000000.00
1994-02-01,10001000000.00
1994-03-01,9689000000.00
1994-04-01,10169000000.00
1994-05-01,10509000000.00
1994-06-01,10113000000.00
1994-07-01,10644000000.00
1994-08-01,11013000000.00
1994-09-01,9976000000.00
1994-10-01,10387000000.00
1994-11-01,10370000000.00
1994-12-01,9360000000.00
1995-01-01,10249000000.00
1995-02-01,10412000000.00
1995-03-01,9279000000.00
1995-04-01,9964000000.00
1995-05-01,10604000000.00
1995-06-01,10073000000.00
1995-07-01,10818000000.00
1995-08-01,11309000000.00
1995-09-01,10867000000.00
1995-10-01,11821000000.00
1995-11-01,12335000000.00
1995-12-01,11272000000.00
1996-01-01,12175000000.00
1996-02-01,12367000000.00
1996-03-01,11017000000.00
1996-04-01,11688000000.00
1996-05-01,11849000000.00
1996-06-01,10607000000.00
1996-07-01,11247000000.00
1996-08-01,11282000000.00
1996-09-01,10214000000.00
1996-10-01,10261000000.00
1996-11-01,10329000000.00
1996-12-01,8841000000.00
1997-01-01,9556000000.00
1997-02-01,10211000000.00
1997-03-01,9533000000.00
1997-04-01,10325000000.00
1997-05-01,11093000000.00
1997-06-01,10349000000.00
1997-07-01,11244000000.00
1997-08-01,11744000000.00
1997-09-01,10938000000.00
1997-10-01,11231000000.00
1997-11-01,11519000000.00
1997-12-01,10289000000.00
1998-01-01,10636000000.00
1998-02-01,11143000000.00
1998-03-01,10184000000.00
1998-04-01,10876000000.00
1998-05-01,10950000000.00
1998-06-01,9973000000.00
1998-07-01,10090000000.00
1998-08-01,10062000000.00
1998-09-01,9086000000.00
1998-10-01,9037000000.00
1998-11-01,9107000000.00
1998-12-01,8017000000.00
1999-01-01,8399000000.00
1999-02-01,8942000000.00
1999-03-01,8461000000.00
1999-04-01,8906000000.00
1999-05-01,9274000000.00
1999-06-01,8706000000.00
1999-07-01,8719000000.00
1999-08-01,9372000000.00
1999-09-01,8832000000.00
1999-10-01,8423000000.00
1999-11-01,8923000000.00
1999-12-01,7963000000.00
2000-01-01,8256000000.00
2000-02-01,8658000000.00
2000-03-01,7878000000.00
2000-04-01,8386000000.00
2000-05-01,8950000000.00
2000-06-01,8295000000.00
2000-07-01,8817000000.00
2000-08-01,9427000000.00
2000-09-01,8569000000.00
2000-10-01,8857000000.00
2000-11-01,9371000000.00
2000-12-01,8350000000.00
