Date,U31CUO
2008-08-01,3854000000.00
2008-09-01,3831000000.00
2008-10-01,3635000000.00
2008-11-01,3766000000.00
2008-12-01,3564000000.00
2009-01-01,3483000000.00
2009-02-01,3122000000.00
2009-03-01,2938000000.00
2009-04-01,2768000000.00
2009-05-01,2641000000.00
2009-06-01,2598000000.00
2009-07-01,2536000000.00
2009-08-01,2520000000.00
2009-09-01,2484000000.00
2009-10-01,2384000000.00
2009-11-01,2374000000.00
2009-12-01,2476000000.00
2010-01-01,2638000000.00
2010-02-01,2779000000.00
2010-03-01,2866000000.00
2010-04-01,2996000000.00
2010-05-01,3113000000.00
2010-06-01,3157000000.00
2010-07-01,3216000000.00
2010-08-01,3364000000.00
2010-09-01,3395000000.00
2010-10-01,3583000000.00
2010-11-01,3720000000.00
2010-12-01,3842000000.00
2011-01-01,4019000000.00
2011-02-01,4157000000.00
2011-03-01,4248000000.00
2011-04-01,4303000000.00
2011-05-01,4331000000.00
2011-06-01,4240000000.00
2011-07-01,4262000000.00
2011-08-01,4348000000.00
2011-09-01,4217000000.00
2011-10-01,4317000000.00
2011-11-01,4359000000.00
2011-12-01,4461000000.00
2012-01-01,4670000000.00
2012-02-01,4841000000.00
2012-03-01,4777000000.00
2012-04-01,4827000000.00
2012-05-01,4858000000.00
2012-06-01,4680000000.00
2012-07-01,4754000000.00
2012-08-01,4651000000.00
2012-09-01,4456000000.00
2012-10-01,4453000000.00
2012-11-01,4373000000.00
2012-12-01,4376000000.00
2013-01-01,4450000000.00
2013-02-01,4371000000.00
2013-03-01,4249000000.00
2013-04-01,4076000000.00
2013-05-01,4093000000.00
2013-06-01,4024000000.00
2013-07-01,4075000000.00
2013-08-01,3973000000.00
2013-09-01,3785000000.00
2013-10-01,3716000000.00
2013-11-01,3718000000.00
2013-12-01,3755000000.00
2014-01-01,3872000000.00
2014-02-01,3866000000.00
2014-03-01,3890000000.00
2014-04-01,3820000000.00
2014-05-01,3819000000.00
2014-06-01,3685000000.00
2014-07-01,3745000000.00
2014-08-01,3715000000.00
2014-09-01,3646000000.00
2014-10-01,3707000000.00
2014-11-01,3680000000.00
2014-12-01,3680000000.00
2015-01-01,3908000000.00
2015-02-01,3926000000.00
2015-03-01,3660000000.00
2015-04-01,3640000000.00
2015-05-01,3556000000.00
2015-06-01,3535000000.00
2015-07-01,3575000000.00
2015-08-01,3474000000.00
2015-09-01,3401000000.00
2015-10-01,3346000000.00
2015-11-01,3222000000.00
2015-12-01,3303000000.00
2016-01-01,3369000000.00
2016-02-01,3409000000.00
2016-03-01,3426000000.00
2016-04-01,3419000000.00
2016-05-01,3405000000.00
2016-06-01,3197000000.00
2016-07-01,3089000000.00
2016-08-01,2918000000.00
2016-09-01,2859000000.00
2016-10-01,2840000000.00
2016-11-01,2848000000.00
2016-12-01,2864000000.00
2017-01-01,2936000000.00
2017-02-01,2987000000.00
2017-03-01,2988000000.00
2017-04-01,2980000000.00
2017-05-01,3017000000.00
2017-06-01,3020000000.00
2017-07-01,3083000000.00
2017-08-01,3095000000.00
2017-09-01,3069000000.00
2017-10-01,3090000000.00
2017-11-01,3142000000.00
2017-12-01,3154000000.00
2018-01-01,3222000000.00
2018-02-01,3238000000.00
2018-03-01,3230000000.00
2018-04-01,3233000000.00
