Date,GDPICONTRIBNOW
2014-04-01,1.36
2014-07-01,0.64
2014-10-01,0.95
2015-01-01,-0.11
2015-04-01,0.08
2015-07-01,-0.75
2015-10-01,-0.21
2016-01-01,-0.51
2016-04-01,-1.01
2016-07-01,0.17
2016-10-01,1.68
2017-01-01,0.02
2017-04-01,1.24
2017-07-01,1.24
2017-10-01,0.79
2018-01-01,1.41
2018-04-01,1.20
