Date,HOUSTNSA
1978-05-01,211000.00
1978-06-01,216000.00
1978-07-01,192200.00
1978-08-01,190900.00
1978-09-01,180500.00
1978-10-01,192100.00
1978-11-01,158600.00
1978-12-01,119500.00
1979-01-01,88200.00
1979-02-01,84500.00
1979-03-01,152900.00
1979-04-01,161000.00
1979-05-01,189100.00
1979-06-01,191800.00
1979-07-01,164200.00
1979-08-01,170300.00
1979-09-01,163700.00
1979-10-01,169000.00
1979-11-01,118700.00
1979-12-01,91600.00
1980-01-01,73100.00
1980-02-01,79900.00
1980-03-01,85100.00
1980-04-01,96200.00
1980-05-01,91700.00
1980-06-01,116400.00
1980-07-01,120100.00
1980-08-01,129900.00
1980-09-01,138300.00
1980-10-01,152700.00
1980-11-01,112900.00
1980-12-01,95900.00
1981-01-01,84500.00
1981-02-01,71900.00
1981-03-01,107800.00
1981-04-01,123000.00
1981-05-01,109900.00
1981-06-01,105800.00
1981-07-01,99900.00
1981-08-01,86300.00
1981-09-01,84100.00
1981-10-01,87200.00
1981-11-01,64600.00
1981-12-01,59100.00
1982-01-01,47200.00
1982-02-01,51300.00
1982-03-01,78200.00
1982-04-01,84100.00
1982-05-01,98800.00
1982-06-01,91100.00
1982-07-01,106800.00
1982-08-01,96000.00
1982-09-01,106400.00
1982-10-01,110500.00
1982-11-01,108900.00
1982-12-01,82900.00
1983-01-01,91300.00
1983-02-01,96300.00
1983-03-01,134600.00
1983-04-01,135800.00
1983-05-01,174900.00
1983-06-01,173200.00
1983-07-01,161600.00
1983-08-01,176800.00
1983-09-01,154900.00
1983-10-01,159300.00
1983-11-01,136000.00
1983-12-01,108300.00
1984-01-01,109100.00
1984-02-01,130000.00
1984-03-01,137500.00
1984-04-01,172700.00
1984-05-01,180700.00
1984-06-01,184000.00
1984-07-01,162100.00
1984-08-01,147400.00
1984-09-01,148500.00
1984-10-01,152300.00
1984-11-01,126200.00
1984-12-01,98900.00
1985-01-01,105400.00
1985-02-01,95400.00
1985-03-01,145000.00
1985-04-01,175800.00
1985-05-01,170200.00
1985-06-01,163200.00
1985-07-01,160700.00
1985-08-01,160700.00
1985-09-01,147700.00
1985-10-01,173000.00
1985-11-01,124100.00
1985-12-01,120500.00
1986-01-01,115600.00
1986-02-01,107200.00
1986-03-01,151000.00
1986-04-01,188200.00
1986-05-01,186600.00
1986-06-01,183600.00
1986-07-01,172000.00
1986-08-01,163800.00
1986-09-01,154000.00
1986-10-01,154800.00
1986-11-01,115600.00
1986-12-01,113000.00
1987-01-01,105100.00
1987-02-01,102800.00
