Date,RTWVDMO684NMFRBDAL
1988-01-01,100.00
1988-02-01,99.52
1988-03-01,97.70
1988-04-01,96.41
1988-05-01,96.33
1988-06-01,96.86
1988-07-01,98.21
1988-08-01,99.08
1988-09-01,99.46
1988-10-01,97.36
1988-11-01,95.57
1988-12-01,94.62
1989-01-01,95.66
1989-02-01,96.05
1989-03-01,97.55
1989-04-01,97.91
1989-05-01,100.23
1989-06-01,101.95
1989-07-01,99.24
1989-08-01,99.98
1989-09-01,100.67
1989-10-01,99.09
1989-11-01,98.77
1989-12-01,97.14
1990-01-01,96.66
1990-02-01,97.22
1990-03-01,97.47
1990-04-01,96.41
1990-05-01,95.79
1990-06-01,95.93
1990-07-01,94.09
1990-08-01,92.80
1990-09-01,93.38
1990-10-01,92.10
1990-11-01,91.52
1990-12-01,91.81
1991-01-01,90.83
1991-02-01,90.36
1991-03-01,92.40
1991-04-01,93.06
1991-05-01,93.10
1991-06-01,93.73
1991-07-01,93.82
1991-08-01,93.11
1991-09-01,92.37
1991-10-01,91.73
1991-11-01,90.70
1991-12-01,90.63
1992-01-01,90.70
1992-02-01,92.20
1992-03-01,93.45
1992-04-01,92.85
1992-05-01,92.74
1992-06-01,92.10
1992-07-01,91.09
1992-08-01,90.72
1992-09-01,92.09
1992-10-01,94.17
1992-11-01,96.45
1992-12-01,96.49
1993-01-01,97.08
1993-02-01,96.77
1993-03-01,96.28
1993-04-01,95.66
1993-05-01,95.85
1993-06-01,96.42
1993-07-01,96.79
1993-08-01,97.39
1993-09-01,97.28
1993-10-01,97.87
1993-11-01,97.97
1993-12-01,98.01
1994-01-01,98.06
1994-02-01,98.90
1994-03-01,99.98
1994-04-01,100.64
1994-05-01,99.88
1994-06-01,99.68
1994-07-01,98.98
1994-08-01,98.80
1994-09-01,97.71
1994-10-01,97.19
1994-11-01,97.67
1994-12-01,100.46
1995-01-01,103.89
1995-02-01,103.09
1995-03-01,103.21
1995-04-01,99.69
1995-05-01,98.48
1995-06-01,98.94
1995-07-01,97.99
1995-08-01,99.15
1995-09-01,99.62
1995-10-01,99.67
1995-11-01,100.95
1995-12-01,101.34
1996-01-01,101.81
1996-02-01,102.10
1996-03-01,102.07
1996-04-01,102.13
1996-05-01,102.45
1996-06-01,102.27
1996-07-01,102.11
1996-08-01,101.54
1996-09-01,101.97
1996-10-01,101.94
1996-11-01,101.37
1996-12-01,102.45
1997-01-01,102.60
1997-02-01,103.82
1997-03-01,104.94
1997-04-01,105.82
1997-05-01,104.70
1997-06-01,104.80
1997-07-01,105.21
1997-08-01,106.57
1997-09-01,106.58
1997-10-01,106.83
1997-11-01,108.55
1997-12-01,110.83
1998-01-01,112.42
1998-02-01,111.75
1998-03-01,111.30
1998-04-01,111.49
1998-05-01,112.16
1998-06-01,114.10
1998-07-01,114.97
1998-08-01,117.31
1998-09-01,116.35
1998-10-01,114.85
1998-11-01,114.57
1998-12-01,114.08
1999-01-01,113.80
1999-02-01,114.26
1999-03-01,115.50
1999-04-01,114.46
1999-05-01,113.27
1999-06-01,114.17
1999-07-01,114.91
1999-08-01,114.35
1999-09-01,113.78
1999-10-01,113.47
1999-11-01,113.74
1999-12-01,113.79
2000-01-01,113.11
2000-02-01,114.26
2000-03-01,115.23
2000-04-01,116.06
2000-05-01,118.53
2000-06-01,117.25
2000-07-01,117.22
2000-08-01,117.81
2000-09-01,119.34
2000-10-01,121.25
2000-11-01,122.35
2000-12-01,120.20
2001-01-01,120.23
2001-02-01,121.45
2001-03-01,123.50
2001-04-01,123.62
2001-05-01,123.02
2001-06-01,123.30
2001-07-01,123.53
2001-08-01,122.30
2001-09-01,123.63
2001-10-01,123.97
2001-11-01,125.04
2001-12-01,123.97
2002-01-01,125.25
2002-02-01,125.39
2002-03-01,124.77
2002-04-01,124.29
2002-05-01,122.29
2002-06-01,120.67
2002-07-01,119.76
2002-08-01,121.32
2002-09-01,122.04
2002-10-01,122.51
2002-11-01,121.28
2002-12-01,120.21
2003-01-01,118.53
2003-02-01,118.03
2003-03-01,117.06
2003-04-01,115.75
2003-05-01,110.78
2003-06-01,109.75
2003-07-01,111.35
2003-08-01,112.84
2003-09-01,111.38
2003-10-01,108.69
2003-11-01,107.68
2003-12-01,106.36
2004-01-01,104.80
2004-02-01,106.36
2004-03-01,107.41
2004-04-01,108.48
2004-05-01,110.98
2004-06-01,109.90
2004-07-01,108.03
2004-08-01,107.78
2004-09-01,106.87
2004-10-01,104.89
2004-11-01,101.48
2004-12-01,100.98
2005-01-01,101.67
2005-02-01,102.17
2005-03-01,101.45
2005-04-01,102.97
2005-05-01,103.57
2005-06-01,103.73
2005-07-01,103.67
2005-08-01,102.43
2005-09-01,102.44
2005-10-01,103.59
2005-11-01,103.35
2005-12-01,101.73
2006-01-01,100.74
2006-02-01,100.49
2006-03-01,101.26
2006-04-01,100.78
2006-05-01,98.77
2006-06-01,100.09
