Date,CAPUTLGMFNS
1967-01-01,88.63
1967-02-01,87.17
1967-03-01,86.47
1967-04-01,87.21
1967-05-01,85.08
1967-06-01,84.96
1967-07-01,84.11
1967-08-01,85.88
1967-09-01,85.97
1967-10-01,86.42
1967-11-01,86.71
1967-12-01,87.07
1968-01-01,86.30
1968-02-01,86.35
1968-03-01,86.69
1968-04-01,86.24
1968-05-01,86.71
1968-06-01,86.43
1968-07-01,86.01
1968-08-01,86.63
1968-09-01,86.70
1968-10-01,86.45
1968-11-01,87.13
1968-12-01,85.93
1969-01-01,86.18
1969-02-01,86.95
1969-03-01,87.35
1969-04-01,86.42
1969-05-01,86.41
1969-06-01,86.13
1969-07-01,86.85
1969-08-01,86.35
1969-09-01,85.57
1969-10-01,85.11
1969-11-01,84.96
1969-12-01,84.83
1970-01-01,84.04
1970-02-01,83.99
1970-03-01,83.03
1970-04-01,82.92
1970-05-01,82.38
1970-06-01,82.00
1970-07-01,82.42
1970-08-01,81.03
1970-09-01,81.21
1970-10-01,80.95
1970-11-01,80.38
1970-12-01,80.80
1971-01-01,81.15
1971-02-01,80.77
1971-03-01,80.44
1971-04-01,81.06
1971-05-01,80.78
1971-06-01,81.24
1971-07-01,81.86
1971-08-01,81.56
1971-09-01,82.17
1971-10-01,82.82
1971-11-01,83.04
1971-12-01,83.54
1972-01-01,84.54
1972-02-01,84.35
1972-03-01,84.63
1972-04-01,84.95
1972-05-01,84.90
1972-06-01,85.00
1972-07-01,84.57
1972-08-01,85.16
1972-09-01,85.19
1972-10-01,85.94
1972-11-01,86.18
1972-12-01,86.89
1973-01-01,86.54
1973-02-01,87.45
1973-03-01,87.24
1973-04-01,86.88
1973-05-01,87.11
1973-06-01,86.01
1973-07-01,85.97
1973-08-01,85.62
1973-09-01,85.74
1973-10-01,86.49
1973-11-01,86.99
1973-12-01,86.84
1974-01-01,86.90
1974-02-01,86.61
1974-03-01,86.43
1974-04-01,85.64
1974-05-01,85.86
1974-06-01,85.64
1974-07-01,85.30
1974-08-01,84.48
1974-09-01,83.73
1974-10-01,82.73
1974-11-01,80.20
1974-12-01,77.03
1975-01-01,75.69
1975-02-01,73.72
1975-03-01,72.42
1975-04-01,72.92
1975-05-01,73.48
1975-06-01,75.10
1975-07-01,76.43
1975-08-01,77.01
1975-09-01,78.03
1975-10-01,78.92
1975-11-01,79.40
1975-12-01,80.14
1976-01-01,80.47
1976-02-01,81.43
1976-03-01,81.20
1976-04-01,81.05
1976-05-01,80.72
1976-06-01,80.38
1976-07-01,80.72
1976-08-01,80.50
1976-09-01,81.61
1976-10-01,81.82
1976-11-01,81.84
1976-12-01,82.48
1977-01-01,82.59
1977-02-01,83.95
1977-03-01,84.17
1977-04-01,84.62
1977-05-01,84.79
1977-06-01,84.85
1977-07-01,84.45
1977-08-01,84.47
1977-09-01,84.34
1977-10-01,84.44
1977-11-01,84.77
1977-12-01,85.07
1978-01-01,84.50
1978-02-01,84.06
1978-03-01,84.63
1978-04-01,85.47
1978-05-01,85.82
1978-06-01,86.18
1978-07-01,85.30
1978-08-01,85.16
1978-09-01,85.32
1978-10-01,85.23
1978-11-01,85.68
1978-12-01,85.77
1979-01-01,84.73
1979-02-01,84.36
1979-03-01,84.81
1979-04-01,84.47
1979-05-01,84.38
1979-06-01,83.94
1979-07-01,84.38
1979-08-01,83.69
1979-09-01,82.59
1979-10-01,83.22
1979-11-01,82.95
1979-12-01,83.07
1980-01-01,83.33
1980-02-01,82.84
1980-03-01,82.01
1980-04-01,80.79
1980-05-01,78.95
1980-06-01,77.84
1980-07-01,76.77
1980-08-01,77.42
1980-09-01,78.23
1980-10-01,78.88
1980-11-01,79.41
1980-12-01,80.00
1981-01-01,79.87
1981-02-01,79.45
1981-03-01,79.28
1981-04-01,79.09
1981-05-01,79.49
1981-06-01,78.94
1981-07-01,79.24
1981-08-01,79.13
1981-09-01,78.86
1981-10-01,78.21
1981-11-01,77.73
1981-12-01,76.47
1982-01-01,75.39
1982-02-01,77.43
1982-03-01,76.84
1982-04-01,76.11
1982-05-01,76.09
1982-06-01,76.52
1982-07-01,76.38
1982-08-01,76.54
1982-09-01,76.85
1982-10-01,76.78
1982-11-01,76.32
1982-12-01,75.32
1983-01-01,77.13
1983-02-01,76.82
1983-03-01,77.20
1983-04-01,78.18
1983-05-01,78.88
1983-06-01,79.23
1983-07-01,79.90
1983-08-01,80.24
1983-09-01,81.27
1983-10-01,81.52
1983-11-01,81.62
1983-12-01,81.06
1984-01-01,81.99
1984-02-01,82.29
1984-03-01,82.55
1984-04-01,82.68
1984-05-01,82.73
1984-06-01,82.65
1984-07-01,82.37
1984-08-01,81.73
1984-09-01,81.54
1984-10-01,81.72
1984-11-01,81.43
1984-12-01,81.34
1985-01-01,80.78
