Date,RTWVDWY684NMFRBDAL
1988-01-01,100.00
1988-02-01,99.86
1988-03-01,98.40
1988-04-01,97.33
1988-05-01,97.11
1988-06-01,97.55
1988-07-01,98.83
1988-08-01,99.31
1988-09-01,99.66
1988-10-01,97.65
1988-11-01,95.92
1988-12-01,95.15
1989-01-01,95.74
1989-02-01,95.73
1989-03-01,96.75
1989-04-01,100.63
1989-05-01,102.27
1989-06-01,102.85
1989-07-01,101.33
1989-08-01,100.48
1989-09-01,100.78
1989-10-01,99.67
1989-11-01,99.70
1989-12-01,101.23
1990-01-01,100.12
1990-02-01,101.62
1990-03-01,101.42
1990-04-01,101.10
1990-05-01,99.83
1990-06-01,100.01
1990-07-01,98.52
1990-08-01,98.15
1990-09-01,96.64
1990-10-01,94.92
1990-11-01,94.77
1990-12-01,95.14
1991-01-01,95.61
1991-02-01,95.46
1991-03-01,96.90
1991-04-01,97.02
1991-05-01,97.06
1991-06-01,97.79
1991-07-01,97.31
1991-08-01,96.31
1991-09-01,95.62
1991-10-01,94.93
1991-11-01,94.10
1991-12-01,93.71
1992-01-01,93.30
1992-02-01,93.86
1992-03-01,95.07
1992-04-01,94.45
1992-05-01,93.61
1992-06-01,92.84
1992-07-01,91.55
1992-08-01,91.08
1992-09-01,91.18
1992-10-01,92.74
1992-11-01,95.07
1992-12-01,95.27
1993-01-01,95.58
1993-02-01,95.12
1993-03-01,95.42
1993-04-01,94.89
1993-05-01,94.85
1993-06-01,94.87
1993-07-01,95.51
1993-08-01,95.18
1993-09-01,95.00
1993-10-01,95.55
1993-11-01,95.73
1993-12-01,95.63
1994-01-01,96.66
1994-02-01,95.97
1994-03-01,96.00
1994-04-01,96.00
1994-05-01,95.92
1994-06-01,95.56
1994-07-01,94.73
1994-08-01,94.05
1994-09-01,93.19
1994-10-01,92.73
1994-11-01,92.55
1994-12-01,93.21
1995-01-01,93.38
1995-02-01,92.93
1995-03-01,91.87
1995-04-01,89.32
1995-05-01,88.69
1995-06-01,88.56
1995-07-01,88.46
1995-08-01,89.78
1995-09-01,90.46
1995-10-01,90.29
1995-11-01,90.46
1995-12-01,92.18
1996-01-01,92.60
1996-02-01,92.20
1996-03-01,92.44
1996-04-01,92.87
1996-05-01,93.34
1996-06-01,93.48
1996-07-01,93.38
1996-08-01,92.89
1996-09-01,93.04
1996-10-01,93.19
1996-11-01,92.94
1996-12-01,93.33
1997-01-01,93.57
1997-02-01,94.14
1997-03-01,94.71
1997-04-01,94.99
1997-05-01,93.95
1997-06-01,93.57
1997-07-01,94.96
1997-08-01,96.99
1997-09-01,98.95
1997-10-01,101.36
1997-11-01,103.67
1997-12-01,111.22
1998-01-01,117.74
1998-02-01,114.39
1998-03-01,113.24
1998-04-01,111.27
1998-05-01,112.84
1998-06-01,116.46
1998-07-01,116.57
1998-08-01,117.17
1998-09-01,116.24
1998-10-01,112.12
1998-11-01,110.32
1998-12-01,109.28
1999-01-01,110.78
1999-02-01,112.77
1999-03-01,113.88
1999-04-01,112.17
1999-05-01,111.10
1999-06-01,110.99
1999-07-01,111.10
1999-08-01,111.60
1999-09-01,112.29
1999-10-01,111.59
1999-11-01,110.76
1999-12-01,109.73
2000-01-01,109.21
2000-02-01,110.20
2000-03-01,110.59
2000-04-01,111.07
2000-05-01,113.47
2000-06-01,113.47
2000-07-01,113.89
2000-08-01,113.28
2000-09-01,114.48
2000-10-01,116.46
2000-11-01,117.70
2000-12-01,117.34
2001-01-01,118.32
2001-02-01,118.79
2001-03-01,121.17
2001-04-01,122.52
2001-05-01,122.10
2001-06-01,122.56
2001-07-01,123.19
2001-08-01,121.33
2001-09-01,122.70
2001-10-01,123.65
2001-11-01,123.72
2001-12-01,122.92
2002-01-01,125.33
2002-02-01,127.25
2002-03-01,127.50
2002-04-01,126.97
2002-05-01,125.98
2002-06-01,125.62
2002-07-01,124.95
2002-08-01,126.17
2002-09-01,127.40
2002-10-01,128.57
2002-11-01,126.54
2002-12-01,125.36
2003-01-01,124.49
2003-02-01,124.64
2003-03-01,123.83
2003-04-01,121.63
2003-05-01,117.32
2003-06-01,116.76
2003-07-01,117.51
2003-08-01,118.96
2003-09-01,117.47
2003-10-01,115.00
2003-11-01,113.99
2003-12-01,112.81
2004-01-01,111.03
2004-02-01,112.88
2004-03-01,113.95
2004-04-01,114.57
2004-05-01,117.70
2004-06-01,117.08
2004-07-01,115.17
2004-08-01,115.07
2004-09-01,114.06
2004-10-01,112.34
2004-11-01,109.16
2004-12-01,108.12
2005-01-01,108.15
2005-02-01,108.23
2005-03-01,108.27
2005-04-01,109.31
2005-05-01,108.85
2005-06-01,108.97
2005-07-01,109.08
2005-08-01,108.06
2005-09-01,108.34
2005-10-01,108.44
2005-11-01,107.65
2005-12-01,106.27
2006-01-01,105.38
2006-02-01,104.93
2006-03-01,105.36
2006-04-01,104.78
2006-05-01,103.59
2006-06-01,105.47
2006-07-01,105.28
2006-08-01,104.32
2006-09-01,104.15
2006-10-01,103.87
2006-11-01,102.96
2006-12-01,102.50
2007-01-01,103.69
2007-02-01,103.44
2007-03-01,103.57
2007-04-01,101.99
2007-05-01,100.52
2007-06-01,99.65
2007-07-01,98.13
2007-08-01,98.79
2007-09-01,97.13
2007-10-01,94.07
2007-11-01,93.31
2007-12-01,94.16
2008-01-01,94.00
2008-02-01,92.58
2008-03-01,91.92
2008-04-01,91.84
2008-05-01,91.75
2008-06-01,92.29
2008-07-01,91.67
2008-08-01,93.54
2008-09-01,96.01
2008-10-01,104.48
2008-11-01,106.29
2008-12-01,105.51
2009-01-01,105.56
2009-02-01,108.07
2009-03-01,108.81
2009-04-01,105.15
2009-05-01,101.03
2009-06-01,99.76
2009-07-01,99.07
2009-08-01,97.21
2009-09-01,96.21
2009-10-01,94.23
2009-11-01,93.46
2009-12-01,93.37
2010-01-01,93.80
2010-02-01,95.23
2010-03-01,93.64
2010-04-01,92.27
2010-05-01,94.70
2010-06-01,94.83
2010-07-01,93.53
2010-08-01,92.53
2010-09-01,91.37
2010-10-01,89.09
2010-11-01,88.97
2010-12-01,89.03
2011-01-01,89.90
2011-02-01,89.27
2011-03-01,88.91
2011-04-01,87.31
2011-05-01,87.47
2011-06-01,87.47
2011-07-01,86.23
2011-08-01,87.39
2011-09-01,89.97
2011-10-01,91.09
2011-11-01,91.12
2011-12-01,91.47
2012-01-01,90.56
2012-02-01,88.85
2012-03-01,89.97
2012-04-01,90.47
2012-05-01,92.20
2012-06-01,93.26
2012-07-01,91.84
2012-08-01,91.11
2012-09-01,90.47
2012-10-01,90.39
2012-11-01,90.46
2012-12-01,89.73
2013-01-01,89.40
2013-02-01,90.94
2013-03-01,92.09
2013-04-01,91.71
2013-05-01,92.34
2013-06-01,94.16
2013-07-01,94.80
2013-08-01,95.32
2013-09-01,94.63
2013-10-01,93.28
2013-11-01,94.21
2013-12-01,95.22
2014-01-01,96.89
2014-02-01,97.11
2014-03-01,96.82
2014-04-01,95.42
2014-05-01,94.74
2014-06-01,94.63
2014-07-01,93.89
2014-08-01,94.82
2014-09-01,95.91
2014-10-01,97.18
2014-11-01,98.12
2014-12-01,99.63
2015-01-01,100.47
2015-02-01,102.36
2015-03-01,105.37
2015-04-01,103.90
2015-05-01,103.17
