Date,U34HVS
1992-01-01,3278000000.00
1992-02-01,3559000000.00
1992-03-01,3711000000.00
1992-04-01,3480000000.00
1992-05-01,3444000000.00
1992-06-01,3714000000.00
1992-07-01,3541000000.00
1992-08-01,4003000000.00
1992-09-01,4089000000.00
1992-10-01,4219000000.00
1992-11-01,4366000000.00
1992-12-01,3834000000.00
1993-01-01,3687000000.00
1993-02-01,4083000000.00
1993-03-01,4120000000.00
1993-04-01,3924000000.00
1993-05-01,3934000000.00
1993-06-01,4249000000.00
1993-07-01,3938000000.00
1993-08-01,4298000000.00
1993-09-01,4671000000.00
1993-10-01,4673000000.00
1993-11-01,4465000000.00
1993-12-01,4019000000.00
1994-01-01,4022000000.00
1994-02-01,4315000000.00
1994-03-01,4292000000.00
1994-04-01,4117000000.00
1994-05-01,4299000000.00
1994-06-01,4510000000.00
1994-07-01,4227000000.00
1994-08-01,4772000000.00
1994-09-01,4751000000.00
1994-10-01,5225000000.00
1994-11-01,4879000000.00
1994-12-01,4389000000.00
1995-01-01,4172000000.00
1995-02-01,4531000000.00
1995-03-01,4611000000.00
1995-04-01,4301000000.00
1995-05-01,4522000000.00
1995-06-01,4887000000.00
1995-07-01,4647000000.00
1995-08-01,5123000000.00
1995-09-01,5564000000.00
1995-10-01,5646000000.00
1995-11-01,5681000000.00
1995-12-01,5004000000.00
1996-01-01,4508000000.00
1996-02-01,4933000000.00
1996-03-01,5230000000.00
1996-04-01,5038000000.00
1996-05-01,5019000000.00
1996-06-01,5509000000.00
1996-07-01,4767000000.00
1996-08-01,5254000000.00
1996-09-01,5910000000.00
1996-10-01,5708000000.00
1996-11-01,5644000000.00
1996-12-01,5241000000.00
1997-01-01,4250000000.00
1997-02-01,4862000000.00
1997-03-01,5588000000.00
1997-04-01,4792000000.00
1997-05-01,4846000000.00
1997-06-01,5529000000.00
1997-07-01,4553000000.00
1997-08-01,5054000000.00
1997-09-01,5659000000.00
1997-10-01,5278000000.00
1997-11-01,5170000000.00
1997-12-01,5023000000.00
1998-01-01,3910000000.00
1998-02-01,4617000000.00
1998-03-01,5365000000.00
1998-04-01,4568000000.00
1998-05-01,4593000000.00
1998-06-01,5159000000.00
1998-07-01,4293000000.00
1998-08-01,4702000000.00
1998-09-01,5561000000.00
1998-10-01,5068000000.00
1998-11-01,4893000000.00
1998-12-01,5416000000.00
1999-01-01,4169000000.00
1999-02-01,4630000000.00
1999-03-01,5299000000.00
1999-04-01,4550000000.00
1999-05-01,4808000000.00
1999-06-01,5697000000.00
1999-07-01,4811000000.00
1999-08-01,5356000000.00
1999-09-01,6440000000.00
1999-10-01,5728000000.00
1999-11-01,5826000000.00
1999-12-01,5949000000.00
2000-01-01,5315000000.00
2000-02-01,5898000000.00
2000-03-01,6449000000.00
2000-04-01,6273000000.00
2000-05-01,6321000000.00
2000-06-01,6391000000.00
2000-07-01,5708000000.00
2000-08-01,6440000000.00
2000-09-01,7238000000.00
2000-10-01,6438000000.00
2000-11-01,6717000000.00
2000-12-01,6603000000.00
2001-01-01,5896000000.00
2001-02-01,6496000000.00
2001-03-01,6133000000.00
2001-04-01,4581000000.00
2001-05-01,4903000000.00
2001-06-01,5551000000.00
2001-07-01,4021000000.00
2001-08-01,4699000000.00
2001-09-01,4867000000.00
2001-10-01,4633000000.00
2001-11-01,4794000000.00
2001-12-01,4468000000.00
2002-01-01,3851000000.00
2002-02-01,4099000000.00
2002-03-01,4372000000.00
2002-04-01,3892000000.00
2002-05-01,4176000000.00
2002-06-01,4317000000.00
2002-07-01,3813000000.00
2002-08-01,4182000000.00
2002-09-01,4107000000.00
2002-10-01,3929000000.00
2002-11-01,4061000000.00
2002-12-01,4001000000.00
2003-01-01,3246000000.00
2003-02-01,3625000000.00
2003-03-01,3944000000.00
2003-04-01,3496000000.00
2003-05-01,3808000000.00
2003-06-01,4150000000.00
2003-07-01,3502000000.00
2003-08-01,3845000000.00
2003-09-01,4325000000.00
2003-10-01,4031000000.00
2003-11-01,4246000000.00
2003-12-01,4372000000.00
2004-01-01,3436000000.00
2004-02-01,3736000000.00
2004-03-01,3748000000.00
2004-04-01,3353000000.00
2004-05-01,3579000000.00
2004-06-01,3938000000.00
