Date,U34HVS
2004-07-01,3267000000.00
2004-08-01,3504000000.00
2004-09-01,3798000000.00
2004-10-01,3348000000.00
2004-11-01,3920000000.00
2004-12-01,4204000000.00
2005-01-01,3296000000.00
2005-02-01,3555000000.00
2005-03-01,4274000000.00
2005-04-01,3335000000.00
2005-05-01,3589000000.00
2005-06-01,4059000000.00
2005-07-01,3088000000.00
2005-08-01,3745000000.00
2005-09-01,4152000000.00
2005-10-01,3659000000.00
2005-11-01,3852000000.00
2005-12-01,4177000000.00
2006-01-01,3205000000.00
2006-02-01,3587000000.00
2006-03-01,4191000000.00
2006-04-01,3349000000.00
2006-05-01,3778000000.00
2006-06-01,4392000000.00
2006-07-01,3636000000.00
2006-08-01,4036000000.00
2006-09-01,4496000000.00
2006-10-01,3968000000.00
2006-11-01,4160000000.00
2006-12-01,4677000000.00
2007-01-01,3645000000.00
2007-02-01,3886000000.00
2007-03-01,4661000000.00
2007-04-01,3764000000.00
2007-05-01,4102000000.00
2007-06-01,4735000000.00
2007-07-01,3763000000.00
2007-08-01,4163000000.00
2007-09-01,4693000000.00
2007-10-01,4039000000.00
2007-11-01,4161000000.00
2007-12-01,4707000000.00
2008-01-01,3786000000.00
2008-02-01,3951000000.00
2008-03-01,4697000000.00
2008-04-01,3866000000.00
2008-05-01,4149000000.00
2008-06-01,4806000000.00
2008-07-01,3743000000.00
2008-08-01,4041000000.00
2008-09-01,4745000000.00
2008-10-01,3710000000.00
2008-11-01,3511000000.00
2008-12-01,3954000000.00
2009-01-01,2922000000.00
2009-02-01,2959000000.00
2009-03-01,3526000000.00
2009-04-01,2805000000.00
2009-05-01,2860000000.00
2009-06-01,3455000000.00
2009-07-01,2872000000.00
2009-08-01,3040000000.00
2009-09-01,3455000000.00
2009-10-01,3066000000.00
2009-11-01,3002000000.00
2009-12-01,3580000000.00
2010-01-01,2947000000.00
2010-02-01,3073000000.00
2010-03-01,3657000000.00
2010-04-01,3189000000.00
2010-05-01,3323000000.00
2010-06-01,3749000000.00
2010-07-01,3379000000.00
2010-08-01,3698000000.00
2010-09-01,3878000000.00
2010-10-01,3492000000.00
2010-11-01,3512000000.00
2010-12-01,3876000000.00
2011-01-01,3234000000.00
2011-02-01,3300000000.00
2011-03-01,4018000000.00
2011-04-01,3353000000.00
2011-05-01,3683000000.00
2011-06-01,3952000000.00
2011-07-01,3239000000.00
2011-08-01,3836000000.00
2011-09-01,3824000000.00
2011-10-01,3499000000.00
2011-11-01,3531000000.00
2011-12-01,3918000000.00
2012-01-01,3131000000.00
2012-02-01,3425000000.00
2012-03-01,3866000000.00
2012-04-01,3226000000.00
2012-05-01,3629000000.00
2012-06-01,3798000000.00
2012-07-01,3174000000.00
2012-08-01,3613000000.00
2012-09-01,3602000000.00
2012-10-01,3360000000.00
2012-11-01,3294000000.00
2012-12-01,3711000000.00
2013-01-01,3238000000.00
2013-02-01,3082000000.00
2013-03-01,3555000000.00
2013-04-01,3349000000.00
2013-05-01,3576000000.00
2013-06-01,3822000000.00
2013-07-01,3531000000.00
2013-08-01,3598000000.00
2013-09-01,3618000000.00
2013-10-01,3554000000.00
2013-11-01,3427000000.00
2013-12-01,3674000000.00
2014-01-01,3168000000.00
2014-02-01,3150000000.00
2014-03-01,3615000000.00
2014-04-01,3291000000.00
2014-05-01,3506000000.00
2014-06-01,3982000000.00
2014-07-01,3665000000.00
2014-08-01,3709000000.00
2014-09-01,3770000000.00
2014-10-01,3343000000.00
2014-11-01,2879000000.00
2014-12-01,3323000000.00
2015-01-01,2989000000.00
2015-02-01,3031000000.00
2015-03-01,3823000000.00
2015-04-01,3629000000.00
2015-05-01,3670000000.00
2015-06-01,4273000000.00
2015-07-01,3883000000.00
2015-08-01,3863000000.00
2015-09-01,3802000000.00
2015-10-01,3494000000.00
2015-11-01,3225000000.00
2015-12-01,3431000000.00
2016-01-01,2926000000.00
2016-02-01,3026000000.00
2016-03-01,3548000000.00
2016-04-01,3228000000.00
2016-05-01,3461000000.00
2016-06-01,3783000000.00
2016-07-01,3358000000.00
2016-08-01,3657000000.00
2016-09-01,3554000000.00
2016-10-01,3295000000.00
2016-11-01,3068000000.00
2016-12-01,3329000000.00
2017-01-01,2863000000.00
2017-02-01,2970000000.00
2017-03-01,3602000000.00
2017-04-01,3170000000.00
2017-05-01,3443000000.00
2017-06-01,3816000000.00
2017-07-01,3408000000.00
2017-08-01,3811000000.00
2017-09-01,3694000000.00
2017-10-01,3533000000.00
2017-11-01,3368000000.00
2017-12-01,3562000000.00
2018-01-01,3201000000.00
2018-02-01,3184000000.00
2018-03-01,3692000000.00
2018-04-01,3367000000.00
