Date,U32SUO
1992-01-01,31297000000.00
1992-02-01,31332000000.00
1992-03-01,31047000000.00
1992-04-01,30295000000.00
1992-05-01,29961000000.00
1992-06-01,29895000000.00
1992-07-01,29639000000.00
1992-08-01,29037000000.00
1992-09-01,29134000000.00
1992-10-01,28926000000.00
1992-11-01,28536000000.00
1992-12-01,28985000000.00
1993-01-01,29328000000.00
1993-02-01,29455000000.00
1993-03-01,29386000000.00
1993-04-01,29144000000.00
1993-05-01,28556000000.00
1993-06-01,27986000000.00
1993-07-01,28188000000.00
1993-08-01,27961000000.00
1993-09-01,27715000000.00
1993-10-01,27224000000.00
1993-11-01,26259000000.00
1993-12-01,27008000000.00
1994-01-01,27788000000.00
1994-02-01,27997000000.00
1994-03-01,28647000000.00
1994-04-01,28472000000.00
1994-05-01,28626000000.00
1994-06-01,29059000000.00
1994-07-01,29464000000.00
1994-08-01,29508000000.00
1994-09-01,29067000000.00
1994-10-01,28885000000.00
1994-11-01,28915000000.00
1994-12-01,29462000000.00
1995-01-01,30690000000.00
1995-02-01,31340000000.00
1995-03-01,31706000000.00
1995-04-01,31699000000.00
1995-05-01,32330000000.00
1995-06-01,32252000000.00
1995-07-01,32464000000.00
1995-08-01,32281000000.00
1995-09-01,31882000000.00
1995-10-01,31632000000.00
1995-11-01,31587000000.00
1995-12-01,31506000000.00
1996-01-01,32260000000.00
1996-02-01,32538000000.00
1996-03-01,32800000000.00
1996-04-01,33526000000.00
1996-05-01,34035000000.00
1996-06-01,34494000000.00
1996-07-01,35277000000.00
1996-08-01,35488000000.00
1996-09-01,36065000000.00
1996-10-01,35921000000.00
1996-11-01,35819000000.00
1996-12-01,35958000000.00
1997-01-01,36819000000.00
1997-02-01,37685000000.00
1997-03-01,38249000000.00
1997-04-01,38878000000.00
1997-05-01,39232000000.00
1997-06-01,39966000000.00
1997-07-01,40545000000.00
1997-08-01,40405000000.00
1997-09-01,40974000000.00
1997-10-01,40919000000.00
1997-11-01,40760000000.00
1997-12-01,40985000000.00
1998-01-01,42144000000.00
1998-02-01,42882000000.00
1998-03-01,43219000000.00
1998-04-01,43995000000.00
1998-05-01,43946000000.00
1998-06-01,44142000000.00
1998-07-01,44345000000.00
1998-08-01,43574000000.00
1998-09-01,42861000000.00
1998-10-01,41592000000.00
1998-11-01,41622000000.00
1998-12-01,41112000000.00
1999-01-01,41690000000.00
1999-02-01,42140000000.00
1999-03-01,42547000000.00
1999-04-01,42196000000.00
1999-05-01,42324000000.00
1999-06-01,42336000000.00
1999-07-01,42709000000.00
1999-08-01,42615000000.00
1999-09-01,42513000000.00
1999-10-01,41655000000.00
1999-11-01,41439000000.00
1999-12-01,42157000000.00
2000-01-01,43065000000.00
2000-02-01,43347000000.00
2000-03-01,43926000000.00
2000-04-01,44416000000.00
2000-05-01,44675000000.00
2000-06-01,44471000000.00
2000-07-01,44604000000.00
2000-08-01,44651000000.00
2000-09-01,44153000000.00
2000-10-01,44018000000.00
2000-11-01,43830000000.00
2000-12-01,43965000000.00
2001-01-01,44650000000.00
2001-02-01,44603000000.00
2001-03-01,44986000000.00
2001-04-01,44866000000.00
2001-05-01,44813000000.00
2001-06-01,44873000000.00
2001-07-01,45442000000.00
2001-08-01,44914000000.00
2001-09-01,43587000000.00
2001-10-01,42424000000.00
2001-11-01,41552000000.00
2001-12-01,41561000000.00
2002-01-01,41828000000.00
2002-02-01,41995000000.00
2002-03-01,42506000000.00
2002-04-01,42422000000.00
2002-05-01,43128000000.00
2002-06-01,42236000000.00
2002-07-01,42753000000.00
2002-08-01,41397000000.00
2002-09-01,41039000000.00
2002-10-01,40626000000.00
2002-11-01,40182000000.00
2002-12-01,39106000000.00
2003-01-01,39207000000.00
2003-02-01,41142000000.00
2003-03-01,41588000000.00
2003-04-01,41070000000.00
2003-05-01,41375000000.00
2003-06-01,41209000000.00
2003-07-01,41555000000.00
2003-08-01,41270000000.00
2003-09-01,41380000000.00
2003-10-01,41971000000.00
2003-11-01,42629000000.00
2003-12-01,42872000000.00
2004-01-01,45090000000.00
2004-02-01,47036000000.00
2004-03-01,48996000000.00
2004-04-01,50746000000.00
2004-05-01,51455000000.00
2004-06-01,51316000000.00
2004-07-01,51160000000.00
2004-08-01,51533000000.00
2004-09-01,50378000000.00
2004-10-01,51192000000.00
2004-11-01,51308000000.00
2004-12-01,51258000000.00
2005-01-01,52387000000.00
2005-02-01,53987000000.00
2005-03-01,55254000000.00
2005-04-01,56017000000.00
2005-05-01,57687000000.00
2005-06-01,58245000000.00
2005-07-01,58655000000.00
2005-08-01,59271000000.00
2005-09-01,59900000000.00
2005-10-01,60309000000.00
2005-11-01,60389000000.00
2005-12-01,60576000000.00
2006-01-01,61907000000.00
2006-02-01,63259000000.00
2006-03-01,65036000000.00
2006-04-01,66359000000.00
2006-05-01,68332000000.00
2006-06-01,68961000000.00
2006-07-01,69400000000.00
2006-08-01,69196000000.00
2006-09-01,69421000000.00
2006-10-01,68595000000.00
2006-11-01,67792000000.00
2006-12-01,68139000000.00
2007-01-01,69919000000.00
2007-02-01,71075000000.00
2007-03-01,72520000000.00
2007-04-01,73441000000.00
2007-05-01,74603000000.00
2007-06-01,74130000000.00
2007-07-01,73907000000.00
2007-08-01,73415000000.00
2007-09-01,72774000000.00
2007-10-01,72957000000.00
2007-11-01,72573000000.00
2007-12-01,73796000000.00
2008-01-01,75217000000.00
2008-02-01,75928000000.00
2008-03-01,79334000000.00
2008-04-01,80130000000.00
2008-05-01,81441000000.00
2008-06-01,80915000000.00
2008-07-01,79892000000.00
2008-08-01,78779000000.00
2008-09-01,77403000000.00
2008-10-01,76065000000.00
2008-11-01,73651000000.00
2008-12-01,73044000000.00
2009-01-01,70528000000.00
2009-02-01,68472000000.00
2009-03-01,67179000000.00
2009-04-01,65969000000.00
2009-05-01,65189000000.00
2009-06-01,62151000000.00
2009-07-01,60643000000.00
2009-08-01,59009000000.00
2009-09-01,58756000000.00
2009-10-01,58819000000.00
2009-11-01,58140000000.00
2009-12-01,58101000000.00
2010-01-01,59061000000.00
2010-02-01,60917000000.00
2010-03-01,63528000000.00
2010-04-01,64979000000.00
2010-05-01,65519000000.00
2010-06-01,65309000000.00
2010-07-01,65901000000.00
2010-08-01,66347000000.00
2010-09-01,66724000000.00
2010-10-01,66017000000.00
2010-11-01,66561000000.00
2010-12-01,67435000000.00
2011-01-01,67721000000.00
2011-02-01,70142000000.00
2011-03-01,71887000000.00
2011-04-01,72481000000.00
2011-05-01,72866000000.00
