Date,WATERBORNE
2000-01-01,48400000.00
2000-02-01,42000000.00
2000-03-01,52500000.00
2000-04-01,52200000.00
2000-05-01,53500000.00
2000-06-01,50400000.00
2000-07-01,53300000.00
2000-08-01,50900000.00
2000-09-01,47300000.00
2000-10-01,50800000.00
2000-11-01,50000000.00
2000-12-01,41300000.00
2001-01-01,39300000.00
2001-02-01,40900000.00
2001-03-01,47100000.00
2001-04-01,49400000.00
2001-05-01,47700000.00
2001-06-01,50900000.00
2001-07-01,51200000.00
2001-08-01,51800000.00
2001-09-01,47500000.00
2001-10-01,49900000.00
2001-11-01,48500000.00
2001-12-01,46100000.00
2002-01-01,41300000.00
2002-02-01,40500000.00
2002-03-01,45900000.00
2002-04-01,47200000.00
2002-05-01,47400000.00
2002-06-01,48800000.00
2002-07-01,50900000.00
2002-08-01,48800000.00
2002-09-01,44900000.00
2002-10-01,50300000.00
2002-11-01,50700000.00
2002-12-01,46400000.00
2003-01-01,39700000.00
2003-02-01,36000000.00
2003-03-01,45700000.00
2003-04-01,47500000.00
2003-05-01,45500000.00
2003-06-01,46600000.00
2003-07-01,47900000.00
2003-08-01,47100000.00
2003-09-01,43700000.00
2003-10-01,49600000.00
2003-11-01,47900000.00
2003-12-01,50500000.00
2004-01-01,43600000.00
2004-02-01,40700000.00
2004-03-01,47500000.00
2004-04-01,49200000.00
2004-05-01,49400000.00
2004-06-01,48900000.00
2004-07-01,51100000.00
2004-08-01,50400000.00
2004-09-01,43500000.00
2004-10-01,53200000.00
2004-11-01,50300000.00
2004-12-01,48200000.00
2005-01-01,41000000.00
2005-02-01,41500000.00
2005-03-01,51000000.00
2005-04-01,51000000.00
2005-05-01,54700000.00
2005-06-01,49300000.00
2005-07-01,50500000.00
2005-08-01,47100000.00
2005-09-01,36700000.00
2005-10-01,44800000.00
2005-11-01,44900000.00
2005-12-01,43200000.00
2006-01-01,41100000.00
2006-02-01,39900000.00
2006-03-01,50000000.00
2006-04-01,47100000.00
2006-05-01,48900000.00
2006-06-01,48100000.00
2006-07-01,47700000.00
2006-08-01,45800000.00
2006-09-01,46600000.00
2006-10-01,46000000.00
2006-11-01,44900000.00
2006-12-01,44100000.00
2007-01-01,41700000.00
2007-02-01,36200000.00
2007-03-01,47900000.00
2007-04-01,48100000.00
2007-05-01,50000000.00
2007-06-01,48400000.00
2007-07-01,46100000.00
2007-08-01,42100000.00
2007-09-01,40500000.00
2007-10-01,47100000.00
2007-11-01,45100000.00
2007-12-01,43600000.00
2008-01-01,41400000.00
2008-02-01,36900000.00
2008-03-01,38000000.00
2008-04-01,41400000.00
2008-05-01,44800000.00
2008-06-01,39100000.00
2008-07-01,45100000.00
2008-08-01,45300000.00
2008-09-01,36600000.00
2008-10-01,44200000.00
2008-11-01,42800000.00
2008-12-01,36800000.00
2009-01-01,33500000.00
2009-02-01,34100000.00
2009-03-01,37200000.00
2009-04-01,37100000.00
2009-05-01,37400000.00
2009-06-01,41200000.00
2009-07-01,42200000.00
2009-08-01,42700000.00
2009-09-01,33300000.00
2009-10-01,36500000.00
2009-11-01,42100000.00
2009-12-01,37400000.00
2010-01-01,39800000.00
2010-02-01,41000000.00
2010-03-01,46800000.00
2010-04-01,47400000.00
2010-05-01,47600000.00
2010-06-01,48600000.00
2010-07-01,47400000.00
2010-08-01,49100000.00
2010-09-01,46900000.00
2010-10-01,51000000.00
2010-11-01,46700000.00
2010-12-01,44800000.00
2011-01-01,44900000.00
2011-02-01,43000000.00
2011-03-01,44900000.00
2011-04-01,45400000.00
