Date,U33HTI
1992-01-01,3571000000.00
1992-02-01,3684000000.00
1992-03-01,3709000000.00
1992-04-01,3773000000.00
1992-05-01,3819000000.00
1992-06-01,3840000000.00
1992-07-01,3858000000.00
1992-08-01,3840000000.00
1992-09-01,3839000000.00
1992-10-01,3770000000.00
1992-11-01,3734000000.00
1992-12-01,3507000000.00
1993-01-01,3525000000.00
1993-02-01,3607000000.00
1993-03-01,3601000000.00
1993-04-01,3702000000.00
1993-05-01,3680000000.00
1993-06-01,3637000000.00
1993-07-01,3551000000.00
1993-08-01,3537000000.00
1993-09-01,3449000000.00
1993-10-01,3537000000.00
1993-11-01,3546000000.00
1993-12-01,3486000000.00
1994-01-01,3733000000.00
1994-02-01,3857000000.00
1994-03-01,3879000000.00
1994-04-01,3940000000.00
1994-05-01,4015000000.00
1994-06-01,3938000000.00
1994-07-01,3878000000.00
1994-08-01,3958000000.00
1994-09-01,4069000000.00
1994-10-01,4133000000.00
1994-11-01,4134000000.00
1994-12-01,3969000000.00
1995-01-01,4152000000.00
1995-02-01,4389000000.00
1995-03-01,4441000000.00
1995-04-01,4604000000.00
1995-05-01,4653000000.00
1995-06-01,4547000000.00
1995-07-01,4471000000.00
1995-08-01,4394000000.00
1995-09-01,4343000000.00
1995-10-01,4291000000.00
1995-11-01,4355000000.00
1995-12-01,4245000000.00
1996-01-01,4359000000.00
1996-02-01,4504000000.00
1996-03-01,4449000000.00
1996-04-01,4467000000.00
1996-05-01,4386000000.00
1996-06-01,4268000000.00
1996-07-01,4255000000.00
1996-08-01,4342000000.00
1996-09-01,4302000000.00
1996-10-01,4230000000.00
1996-11-01,4336000000.00
1996-12-01,4152000000.00
1997-01-01,4243000000.00
1997-02-01,4285000000.00
1997-03-01,4240000000.00
1997-04-01,4308000000.00
1997-05-01,4286000000.00
1997-06-01,4239000000.00
1997-07-01,4133000000.00
1997-08-01,4061000000.00
1997-09-01,3988000000.00
1997-10-01,3888000000.00
1997-11-01,3808000000.00
1997-12-01,3625000000.00
1998-01-01,3771000000.00
1998-02-01,3852000000.00
1998-03-01,3783000000.00
1998-04-01,3821000000.00
1998-05-01,3856000000.00
1998-06-01,3727000000.00
1998-07-01,3791000000.00
1998-08-01,3825000000.00
1998-09-01,3902000000.00
1998-10-01,3935000000.00
1998-11-01,3942000000.00
1998-12-01,3756000000.00
1999-01-01,3902000000.00
1999-02-01,4014000000.00
1999-03-01,4028000000.00
1999-04-01,4037000000.00
1999-05-01,4121000000.00
1999-06-01,4010000000.00
1999-07-01,4103000000.00
1999-08-01,4121000000.00
1999-09-01,4159000000.00
1999-10-01,4276000000.00
1999-11-01,4296000000.00
1999-12-01,4018000000.00
2000-01-01,4259000000.00
2000-02-01,4360000000.00
2000-03-01,4433000000.00
2000-04-01,4538000000.00
2000-05-01,4441000000.00
2000-06-01,4409000000.00
2000-07-01,4361000000.00
2000-08-01,4463000000.00
2000-09-01,4282000000.00
2000-10-01,4266000000.00
2000-11-01,4318000000.00
2000-12-01,4162000000.00
2001-01-01,4420000000.00
2001-02-01,4552000000.00
2001-03-01,4524000000.00
2001-04-01,4686000000.00
2001-05-01,4609000000.00
2001-06-01,4338000000.00
2001-07-01,4355000000.00
2001-08-01,4268000000.00
2001-09-01,4078000000.00
2001-10-01,4051000000.00
2001-11-01,3927000000.00
2001-12-01,3575000000.00
2002-01-01,3713000000.00
2002-02-01,3803000000.00
2002-03-01,3746000000.00
2002-04-01,3771000000.00
2002-05-01,3732000000.00
2002-06-01,3530000000.00
2002-07-01,3528000000.00
2002-08-01,3500000000.00
2002-09-01,3375000000.00
2002-10-01,3488000000.00
2002-11-01,3502000000.00
2002-12-01,3310000000.00
2003-01-01,3415000000.00
2003-02-01,3552000000.00
2003-03-01,3505000000.00
2003-04-01,3567000000.00
2003-05-01,3498000000.00
2003-06-01,3371000000.00
2003-07-01,3401000000.00
2003-08-01,3417000000.00
2003-09-01,3320000000.00
2003-10-01,3401000000.00
2003-11-01,3341000000.00
2003-12-01,3163000000.00
2004-01-01,3298000000.00
2004-02-01,3466000000.00
2004-03-01,3505000000.00
2004-04-01,3561000000.00
2004-05-01,3536000000.00
2004-06-01,3402000000.00
2004-07-01,3561000000.00
2004-08-01,3715000000.00
2004-09-01,3668000000.00
2004-10-01,3754000000.00
2004-11-01,3798000000.00
2004-12-01,3562000000.00
2005-01-01,3744000000.00
2005-02-01,4017000000.00
2005-03-01,4047000000.00
2005-04-01,4189000000.00
2005-05-01,4236000000.00
2005-06-01,3854000000.00
2005-07-01,3906000000.00
2005-08-01,3949000000.00
2005-09-01,3822000000.00
2005-10-01,3953000000.00
2005-11-01,3954000000.00
2005-12-01,3709000000.00
2006-01-01,3986000000.00
2006-02-01,4164000000.00
2006-03-01,4243000000.00
2006-04-01,4378000000.00
2006-05-01,4475000000.00
2006-06-01,4312000000.00
2006-07-01,4491000000.00
2006-08-01,4622000000.00
2006-09-01,4576000000.00
2006-10-01,4754000000.00
2006-11-01,4769000000.00
2006-12-01,4426000000.00
2007-01-01,4703000000.00
2007-02-01,4861000000.00
2007-03-01,4866000000.00
2007-04-01,5073000000.00
2007-05-01,5081000000.00
2007-06-01,4752000000.00
2007-07-01,4810000000.00
2007-08-01,4798000000.00
2007-09-01,4713000000.00
2007-10-01,4760000000.00
2007-11-01,4664000000.00
2007-12-01,4303000000.00
2008-01-01,4614000000.00
2008-02-01,4827000000.00
2008-03-01,4861000000.00
2008-04-01,4935000000.00
2008-05-01,4960000000.00
2008-06-01,4646000000.00
2008-07-01,4687000000.00
2008-08-01,4711000000.00
2008-09-01,4647000000.00
2008-10-01,4741000000.00
2008-11-01,4687000000.00
2008-12-01,4360000000.00
2009-01-01,4552000000.00
2009-02-01,4545000000.00
2009-03-01,4385000000.00
2009-04-01,4441000000.00
2009-05-01,4324000000.00
2009-06-01,4095000000.00
2009-07-01,4087000000.00
2009-08-01,4027000000.00
2009-09-01,3881000000.00
2009-10-01,3932000000.00
2009-11-01,4013000000.00
2009-12-01,3751000000.00
2010-01-01,3960000000.00
2010-02-01,3925000000.00
2010-03-01,4020000000.00
2010-04-01,4237000000.00
2010-05-01,4230000000.00
2010-06-01,4153000000.00
