Date,UMTMUO
1992-01-01,477445000000.00
1992-02-01,475601000000.00
1992-03-01,473766000000.00
1992-04-01,473359000000.00
1992-05-01,470922000000.00
1992-06-01,465816000000.00
1992-07-01,460512000000.00
1992-08-01,452621000000.00
1992-09-01,446982000000.00
1992-10-01,448243000000.00
1992-11-01,444509000000.00
1992-12-01,447770000000.00
1993-01-01,451236000000.00
1993-02-01,452899000000.00
1993-03-01,451559000000.00
1993-04-01,448553000000.00
1993-05-01,441829000000.00
1993-06-01,438252000000.00
1993-07-01,437012000000.00
1993-08-01,434287000000.00
1993-09-01,428093000000.00
1993-10-01,425009000000.00
1993-11-01,421066000000.00
1993-12-01,422314000000.00
1994-01-01,431749000000.00
1994-02-01,432169000000.00
1994-03-01,432012000000.00
1994-04-01,430647000000.00
1994-05-01,428181000000.00
1994-06-01,428235000000.00
1994-07-01,427773000000.00
1994-08-01,425158000000.00
1994-09-01,423927000000.00
1994-10-01,425675000000.00
1994-11-01,426569000000.00
1994-12-01,430982000000.00
1995-01-01,438061000000.00
1995-02-01,441212000000.00
1995-03-01,444177000000.00
1995-04-01,441420000000.00
1995-05-01,440730000000.00
1995-06-01,436642000000.00
1995-07-01,434939000000.00
1995-08-01,433905000000.00
1995-09-01,435503000000.00
1995-10-01,434528000000.00
1995-11-01,436208000000.00
1995-12-01,443497000000.00
1996-01-01,457906000000.00
1996-02-01,461324000000.00
1996-03-01,472656000000.00
1996-04-01,471831000000.00
1996-05-01,473309000000.00
1996-06-01,472620000000.00
1996-07-01,475778000000.00
1996-08-01,469705000000.00
1996-09-01,470127000000.00
1996-10-01,474617000000.00
1996-11-01,480561000000.00
1996-12-01,484865000000.00
1997-01-01,494591000000.00
1997-02-01,499420000000.00
1997-03-01,499940000000.00
1997-04-01,499670000000.00
1997-05-01,496146000000.00
1997-06-01,494164000000.00
1997-07-01,494915000000.00
1997-08-01,494133000000.00
1997-09-01,494108000000.00
1997-10-01,496044000000.00
1997-11-01,507301000000.00
1997-12-01,508480000000.00
1998-01-01,519838000000.00
1998-02-01,521736000000.00
1998-03-01,517986000000.00
1998-04-01,518541000000.00
1998-05-01,515313000000.00
1998-06-01,510048000000.00
1998-07-01,506978000000.00
1998-08-01,504721000000.00
1998-09-01,502062000000.00
1998-10-01,495624000000.00
1998-11-01,491637000000.00
1998-12-01,491858000000.00
1999-01-01,503632000000.00
1999-02-01,504777000000.00
1999-03-01,506488000000.00
1999-04-01,503001000000.00
1999-05-01,498253000000.00
1999-06-01,491211000000.00
1999-07-01,492911000000.00
1999-08-01,489349000000.00
1999-09-01,488359000000.00
1999-10-01,490889000000.00
1999-11-01,488418000000.00
1999-12-01,500749000000.00
2000-01-01,515734000000.00
2000-02-01,517451000000.00
2000-03-01,520062000000.00
2000-04-01,519446000000.00
2000-05-01,514781000000.00
2000-06-01,538402000000.00
2000-07-01,537656000000.00
2000-08-01,535673000000.00
2000-09-01,538448000000.00
2000-10-01,534959000000.00
2000-11-01,537686000000.00
2000-12-01,544517000000.00
2001-01-01,549949000000.00
2001-02-01,548197000000.00
2001-03-01,549485000000.00
2001-04-01,545671000000.00
2001-05-01,540124000000.00
2001-06-01,533550000000.00
2001-07-01,527897000000.00
2001-08-01,519987000000.00
2001-09-01,511195000000.00
2001-10-01,511983000000.00
2001-11-01,504936000000.00
2001-12-01,506046000000.00
2002-01-01,506757000000.00
2002-02-01,511298000000.00
2002-03-01,512625000000.00
2002-04-01,509561000000.00
2002-05-01,505059000000.00
2002-06-01,493626000000.00
2002-07-01,493744000000.00
2002-08-01,492901000000.00
2002-09-01,483641000000.00
2002-10-01,477354000000.00
2002-11-01,473177000000.00
2002-12-01,475903000000.00
2003-01-01,481438000000.00
2003-02-01,486571000000.00
2003-03-01,489736000000.00
2003-04-01,490682000000.00
2003-05-01,488999000000.00
2003-06-01,487116000000.00
2003-07-01,484414000000.00
2003-08-01,484297000000.00
2003-09-01,482090000000.00
2003-10-01,487560000000.00
2003-11-01,491515000000.00
2003-12-01,502935000000.00
2004-01-01,512216000000.00
2004-02-01,520282000000.00
2004-03-01,531956000000.00
2004-04-01,535977000000.00
2004-05-01,537465000000.00
2004-06-01,537026000000.00
2004-07-01,542392000000.00
2004-08-01,540296000000.00
2004-09-01,539876000000.00
2004-10-01,538716000000.00
2004-11-01,545152000000.00
2004-12-01,555322000000.00
2005-01-01,562949000000.00
2005-02-01,570389000000.00
2005-03-01,571891000000.00
2005-04-01,570621000000.00
2005-05-01,580035000000.00
2005-06-01,591663000000.00
2005-07-01,594348000000.00
2005-08-01,600832000000.00
2005-09-01,602583000000.00
2005-10-01,609933000000.00
2005-11-01,628997000000.00
2005-12-01,651874000000.00
2006-01-01,661166000000.00
2006-02-01,676375000000.00
2006-03-01,699484000000.00
2006-04-01,709358000000.00
2006-05-01,711862000000.00
2006-06-01,719164000000.00
2006-07-01,725699000000.00
2006-08-01,723573000000.00
2006-09-01,747847000000.00
2006-10-01,755699000000.00
2006-11-01,770815000000.00
2006-12-01,796181000000.00
2007-01-01,811907000000.00
2007-02-01,824053000000.00
2007-03-01,842064000000.00
2007-04-01,855336000000.00
2007-05-01,858380000000.00
2007-06-01,864172000000.00
2007-07-01,878171000000.00
2007-08-01,886850000000.00
2007-09-01,890982000000.00
2007-10-01,897854000000.00
2007-11-01,907402000000.00
2007-12-01,946152000000.00
2008-01-01,965752000000.00
2008-02-01,981066000000.00
2008-03-01,1002169000000.00
2008-04-01,1007415000000.00
2008-05-01,1012135000000.00
2008-06-01,1015394000000.00
2008-07-01,1017342000000.00
2008-08-01,1015696000000.00
2008-09-01,1013616000000.00
2008-10-01,1001525000000.00
2008-11-01,990355000000.00
2008-12-01,994814000000.00
2009-01-01,980391000000.00
2009-02-01,958174000000.00
2009-03-01,939748000000.00
2009-04-01,918790000000.00
2009-05-01,905296000000.00
2009-06-01,887069000000.00
2009-07-01,878409000000.00
2009-08-01,866513000000.00
2009-09-01,853893000000.00
2009-10-01,843609000000.00
2009-11-01,829387000000.00
2009-12-01,825465000000.00
2010-01-01,833272000000.00
2010-02-01,839442000000.00
2010-03-01,843706000000.00
2010-04-01,843797000000.00
2010-05-01,843868000000.00
2010-06-01,841959000000.00
2010-07-01,842787000000.00
2010-08-01,841171000000.00
2010-09-01,851237000000.00
2010-10-01,852595000000.00
2010-11-01,856292000000.00
2010-12-01,870190000000.00
2011-01-01,883425000000.00
2011-02-01,890336000000.00
2011-03-01,901768000000.00
2011-04-01,903217000000.00
2011-05-01,908039000000.00
2011-06-01,906035000000.00
2011-07-01,910401000000.00
2011-08-01,913862000000.00
2011-09-01,918391000000.00
2011-10-01,917922000000.00
2011-11-01,925812000000.00
2011-12-01,953492000000.00
2012-01-01,968815000000.00
2012-02-01,988291000000.00
2012-03-01,995263000000.00
2012-04-01,995404000000.00
2012-05-01,991862000000.00
2012-06-01,991938000000.00
2012-07-01,1002016000000.00
2012-08-01,984092000000.00
2012-09-01,987306000000.00
2012-10-01,990149000000.00
2012-11-01,989040000000.00
2012-12-01,1015087000000.00
2013-01-01,1019309000000.00
2013-02-01,1035109000000.00
2013-03-01,1028308000000.00
2013-04-01,1026089000000.00
2013-05-01,1030114000000.00
2013-06-01,1048867000000.00
2013-07-01,1047686000000.00
2013-08-01,1038125000000.00
2013-09-01,1047696000000.00
2013-10-01,1047628000000.00
2013-11-01,1055356000000.00
2013-12-01,1077447000000.00
2014-01-01,1081726000000.00
2014-02-01,1091099000000.00
2014-03-01,1098773000000.00
2014-04-01,1104076000000.00
2014-05-01,1102039000000.00
2014-06-01,1110995000000.00
2014-07-01,1167962000000.00
2014-08-01,1161124000000.00
2014-09-01,1162419000000.00
2014-10-01,1158643000000.00
2014-11-01,1158485000000.00
