Date,UMTMUO
2014-12-01,1162323000000.00
2015-01-01,1164145000000.00
2015-02-01,1161625000000.00
2015-03-01,1162269000000.00
2015-04-01,1155687000000.00
2015-05-01,1142447000000.00
2015-06-01,1145071000000.00
2015-07-01,1145160000000.00
2015-08-01,1132494000000.00
2015-09-01,1122219000000.00
2015-10-01,1119421000000.00
2015-11-01,1120017000000.00
2015-12-01,1129607000000.00
2016-01-01,1134318000000.00
2016-02-01,1130324000000.00
2016-03-01,1131491000000.00
2016-04-01,1133448000000.00
2016-05-01,1129038000000.00
2016-06-01,1118929000000.00
2016-07-01,1115922000000.00
2016-08-01,1107351000000.00
2016-09-01,1101154000000.00
2016-10-01,1108745000000.00
2016-11-01,1109001000000.00
2016-12-01,1114667000000.00
2017-01-01,1115294000000.00
2017-02-01,1111895000000.00
2017-03-01,1118294000000.00
2017-04-01,1120003000000.00
2017-05-01,1112001000000.00
2017-06-01,1127693000000.00
2017-07-01,1124464000000.00
2017-08-01,1115298000000.00
2017-09-01,1121506000000.00
2017-10-01,1119195000000.00
2017-11-01,1121279000000.00
2017-12-01,1136412000000.00
2018-01-01,1135125000000.00
2018-02-01,1142373000000.00
2018-03-01,1157330000000.00
2018-04-01,1161135000000.00
