Date,LFWA64TTUSM647N
1960-01-01,101390000.00
1960-02-01,101478000.00
1960-03-01,101574000.00
1960-04-01,101654000.00
1960-05-01,101758000.00
1960-06-01,101863000.00
1960-07-01,101946000.00
1960-08-01,102065000.00
1960-09-01,102120000.00
1960-10-01,102203000.00
1960-11-01,102355000.00
1960-12-01,102493000.00
1961-01-01,102624000.00
1961-02-01,102702000.00
1961-03-01,102792000.00
1961-04-01,102901000.00
1961-05-01,103001000.00
1961-06-01,103105000.00
1961-07-01,103194000.00
1961-08-01,103274000.00
1961-09-01,103344000.00
1961-10-01,103400000.00
1961-11-01,103321000.00
1961-12-01,103353000.00
1962-01-01,103415000.00
1962-02-01,103457000.00
1962-03-01,103547000.00
1962-04-01,103027000.00
1962-05-01,103120000.00
1962-06-01,103227000.00
1962-07-01,103390000.00
1962-08-01,103561000.00
1962-09-01,103859000.00
1962-10-01,104031000.00
1962-11-01,104195000.00
1962-12-01,104356000.00
1963-01-01,104571000.00
1963-02-01,104729000.00
1963-03-01,104897000.00
1963-04-01,105054000.00
1963-05-01,105224000.00
1963-06-01,105393000.00
1963-07-01,105571000.00
1963-08-01,105725000.00
1963-09-01,105887000.00
1963-10-01,106047000.00
1963-11-01,106201000.00
1963-12-01,106346000.00
1964-01-01,106527000.00
1964-02-01,106662000.00
1964-03-01,106796000.00
1964-04-01,106944000.00
1964-05-01,107097000.00
1964-06-01,107255000.00
1964-07-01,107412000.00
1964-08-01,107548000.00
1964-09-01,107707000.00
1964-10-01,107864000.00
1964-11-01,108021000.00
1964-12-01,108172000.00
1965-01-01,108335000.00
1965-02-01,108481000.00
1965-03-01,108631000.00
1965-04-01,108790000.00
1965-05-01,108936000.00
1965-06-01,109093000.00
1965-07-01,109138000.00
1965-08-01,109297000.00
1965-09-01,109411000.00
1965-10-01,109516000.00
1965-11-01,109617000.00
1965-12-01,109714000.00
1966-01-01,109797000.00
1966-02-01,109900000.00
1966-03-01,109989000.00
1966-04-01,110093000.00
1966-05-01,110200000.00
1966-06-01,110286000.00
1966-07-01,110388000.00
1966-08-01,110498000.00
1966-09-01,110591000.00
1966-10-01,110691000.00
1966-11-01,110793000.00
1966-12-01,110870000.00
1967-01-01,111021000.00
1967-02-01,111129000.00
1967-03-01,111258000.00
1967-04-01,111389000.00
1967-05-01,111538000.00
1967-06-01,111718000.00
1967-07-01,111886000.00
1967-08-01,112123000.00
1967-09-01,112289000.00
1967-10-01,112441000.00
1967-11-01,112589000.00
1967-12-01,112742000.00
1968-01-01,112899000.00
1968-02-01,113046000.00
1968-03-01,113170000.00
1968-04-01,113303000.00
1968-05-01,113432000.00
1968-06-01,113561000.00
1968-07-01,113705000.00
1968-08-01,113870000.00
1968-09-01,114034000.00
1968-10-01,114182000.00
1968-11-01,114436000.00
1968-12-01,114620000.00
1969-01-01,114804000.00
1969-02-01,114953000.00
1969-03-01,115092000.00
1969-04-01,115247000.00
1969-05-01,115411000.00
1969-06-01,115573000.00
1969-07-01,115743000.00
1969-08-01,115898000.00
1969-09-01,116048000.00
1969-10-01,116241000.00
1969-11-01,116441000.00
1969-12-01,116664000.00
1970-01-01,116875000.00
1970-02-01,117089000.00
1970-03-01,117283000.00
1970-04-01,117499000.00
1970-05-01,117740000.00
1970-06-01,117951000.00
1970-07-01,118178000.00
1970-08-01,118402000.00
1970-09-01,118628000.00
1970-10-01,118859000.00
1970-11-01,119099000.00
1970-12-01,119327000.00
1971-01-01,119567000.00
1971-02-01,119772000.00
1971-03-01,119995000.00
1971-04-01,120242000.00
1971-05-01,120473000.00
1971-06-01,120710000.00
1971-07-01,120930000.00
1971-08-01,121150000.00
1971-09-01,121379000.00
1971-10-01,121612000.00
1971-11-01,121826000.00
1971-12-01,122061000.00
1972-01-01,122879000.00
1972-02-01,123129000.00
1972-03-01,123353000.00
1972-04-01,123572000.00
1972-05-01,123816000.00
1972-06-01,124046000.00
1972-07-01,124260000.00
1972-08-01,124453000.00
1972-09-01,124648000.00
1972-10-01,124835000.00
1972-11-01,125018000.00
1972-12-01,125217000.00
1973-01-01,125453000.00
1973-02-01,125656000.00
1973-03-01,125982000.00
1973-04-01,126180000.00
1973-05-01,126404000.00
1973-06-01,126630000.00
1973-07-01,126842000.00
1973-08-01,127039000.00
1973-09-01,127255000.00
1973-10-01,127456000.00
1973-11-01,127657000.00
1973-12-01,127943000.00
1974-01-01,128049000.00
1974-02-01,128244000.00
1974-03-01,128448000.00
1974-04-01,128651000.00
1974-05-01,128877000.00
1974-06-01,129103000.00
1974-07-01,129296000.00
1974-08-01,129487000.00
1974-09-01,129695000.00
1974-10-01,129892000.00
1974-11-01,130087000.00
1974-12-01,130280000.00
1975-01-01,130493000.00
1975-02-01,130683000.00
1975-03-01,130868000.00
1975-04-01,131053000.00
1975-05-01,131270000.00
1975-06-01,131484000.00
1975-07-01,131756000.00
1975-08-01,131973000.00
1975-09-01,132194000.00
1975-10-01,132378000.00
1975-11-01,132587000.00
1975-12-01,132786000.00
1976-01-01,133004000.00
1976-02-01,133186000.00
1976-03-01,133376000.00
1976-04-01,133564000.00
1976-05-01,133765000.00
1976-06-01,133979000.00
1976-07-01,134179000.00
1976-08-01,134378000.00
1976-09-01,134578000.00
1976-10-01,134731000.00
1976-11-01,134927000.00
1976-12-01,135129000.00
1977-01-01,135345000.00
1977-02-01,135535000.00
1977-03-01,135719000.00
1977-04-01,135917000.00
1977-05-01,136141000.00
1977-06-01,136361000.00
1977-07-01,136566000.00
1977-08-01,136758000.00
1977-09-01,136950000.00
1977-10-01,137134000.00
1977-11-01,137305000.00
1977-12-01,137503000.00
1978-01-01,137702000.00
1978-02-01,137880000.00
1978-03-01,138051000.00
1978-04-01,138236000.00
1978-05-01,138441000.00
1978-06-01,138665000.00
1978-07-01,138849000.00
1978-08-01,139031000.00
1978-09-01,139212000.00
1978-10-01,139428000.00
1978-11-01,139616000.00
1978-12-01,139822000.00
1979-01-01,140029000.00
1979-02-01,140206000.00
1979-03-01,140436000.00
1979-04-01,140541000.00
1979-05-01,140776000.00
1979-06-01,140989000.00
1979-07-01,141185000.00
1979-08-01,141358000.00
1979-09-01,141537000.00
1979-10-01,141847000.00
1979-11-01,142032000.00
1979-12-01,142233000.00
1980-01-01,142437000.00
1980-02-01,142615000.00
1980-03-01,142790000.00
1980-04-01,142964000.00
1980-05-01,143137000.00
1980-06-01,143325000.00
1980-07-01,143558000.00
1980-08-01,143683000.00
1980-09-01,143829000.00
1980-10-01,143984000.00
1980-11-01,144135000.00
1980-12-01,144286000.00
1981-01-01,144479000.00
1981-02-01,144629000.00
1981-03-01,144767000.00
1981-04-01,144918000.00
1981-05-01,145067000.00
1981-06-01,145226000.00
1981-07-01,145380000.00
1981-08-01,145487000.00
1981-09-01,145630000.00
1981-10-01,145788000.00
1981-11-01,145931000.00
1981-12-01,146057000.00
1982-01-01,146189000.00
1982-02-01,146308000.00
1982-03-01,146435000.00
1982-04-01,146565000.00
1982-05-01,146701000.00
1982-06-01,146832000.00
1982-07-01,146961000.00
1982-08-01,147059000.00
1982-09-01,147187000.00
1982-10-01,147328000.00
1982-11-01,147460000.00
1982-12-01,147580000.00
1983-01-01,147691000.00
1983-02-01,147808000.00
1983-03-01,147918000.00
1983-04-01,148023000.00
1983-05-01,148145000.00
1983-06-01,148271000.00
1983-07-01,148402000.00
1983-08-01,148488000.00
1983-09-01,148601000.00
1983-10-01,148722000.00
1983-11-01,148847000.00
1983-12-01,148961000.00
1984-01-01,149342000.00
1984-02-01,149450000.00
1984-03-01,149555000.00
1984-04-01,149659000.00
1984-05-01,149775000.00
1984-06-01,149890000.00
1984-07-01,149999000.00
1984-08-01,150094000.00
1984-09-01,150212000.00
1984-10-01,150350000.00
1984-11-01,150477000.00
1984-12-01,150594000.00
1985-01-01,150626000.00
1985-02-01,150719000.00
1985-03-01,150849000.00
1985-04-01,150922000.00
1985-05-01,151028000.00
