Date,SUUR0000SAM
1999-12-01,100.00
2000-01-01,100.50
2000-02-01,101.10
2000-03-01,101.50
2000-04-01,101.70
2000-05-01,102.00
2000-06-01,102.40
2000-07-01,102.80
2000-08-01,103.10
2000-09-01,103.30
2000-10-01,103.50
2000-11-01,103.60
2000-12-01,104.00
2001-01-01,104.90
2001-02-01,105.60
2001-03-01,106.00
2001-04-01,106.30
2001-05-01,106.60
2001-06-01,106.90
2001-07-01,107.10
2001-08-01,107.70
2001-09-01,107.90
2001-10-01,108.30
2001-11-01,108.60
2001-12-01,108.90
2002-01-01,109.70
2002-02-01,110.20
2002-03-01,110.60
2002-04-01,111.10
2002-05-01,111.40
2002-06-01,111.60
2002-07-01,112.30
2002-08-01,112.60
2002-09-01,112.90
2002-10-01,113.50
2002-11-01,114.00
2002-12-01,114.30
2003-01-01,114.70
2003-02-01,115.10
2003-03-01,115.30
2003-04-01,115.50
2003-05-01,115.80
2003-06-01,116.00
2003-07-01,116.50
2003-08-01,116.80
2003-09-01,117.20
2003-10-01,117.40
2003-11-01,117.80
2003-12-01,118.30
2004-01-01,119.00
2004-02-01,119.90
2004-03-01,120.40
2004-04-01,120.60
2004-05-01,120.90
2004-06-01,121.30
2004-07-01,121.70
2004-08-01,121.90
2004-09-01,122.20
2004-10-01,122.60
2004-11-01,122.80
2004-12-01,123.20
2005-01-01,124.00
2005-02-01,124.90
2005-03-01,125.30
2005-04-01,125.70
2005-05-01,125.90
2005-06-01,126.30
2005-07-01,126.60
2005-08-01,126.70
2005-09-01,127.10
2005-10-01,127.60
2005-11-01,128.20
2005-12-01,128.40
2006-01-01,128.90
2006-02-01,129.80
2006-03-01,130.40
2006-04-01,130.80
2006-05-01,131.10
2006-06-01,131.30
2006-07-01,131.70
2006-08-01,132.00
2006-09-01,132.30
2006-10-01,132.50
2006-11-01,132.70
2006-12-01,133.00
2007-01-01,134.17
2007-02-01,135.12
2007-03-01,135.40
2007-04-01,135.86
2007-05-01,136.16
2007-06-01,136.42
2007-07-01,137.09
2007-08-01,137.56
2007-09-01,137.85
2007-10-01,138.46
2007-11-01,138.91
2007-12-01,139.27
2008-01-01,140.25
2008-02-01,140.96
2008-03-01,141.08
2008-04-01,141.20
2008-05-01,141.28
2008-06-01,141.37
2008-07-01,141.55
2008-08-01,141.73
2008-09-01,141.83
2008-10-01,142.24
2008-11-01,142.51
2008-12-01,142.79
2009-01-01,143.76
2009-02-01,144.68
2009-03-01,144.90
2009-04-01,145.22
2009-05-01,145.51
2009-06-01,145.55
2009-07-01,145.77
2009-08-01,145.98
2009-09-01,146.42
2009-10-01,146.80
2009-11-01,147.03
2009-12-01,147.23
2010-01-01,148.37
2010-02-01,149.39
2010-03-01,149.78
2010-04-01,150.00
2010-05-01,149.97
2010-06-01,149.99
2010-07-01,149.97
2010-08-01,150.34
2010-09-01,150.98
2010-10-01,151.17
2010-11-01,151.28
2010-12-01,151.48
2011-01-01,152.26
2011-02-01,153.30
2011-03-01,153.55
2011-04-01,153.92
2011-05-01,154.11
2011-06-01,154.24
2011-07-01,154.51
2011-08-01,154.83
2011-09-01,155.17
2011-10-01,155.82
2011-11-01,156.32
2011-12-01,156.85
2012-01-01,157.69
2012-02-01,158.60
2012-03-01,159.07
2012-04-01,159.50
2012-05-01,160.07
2012-06-01,160.67
2012-07-01,161.27
2012-08-01,161.29
2012-09-01,161.62
2012-10-01,161.86
2012-11-01,161.94
2012-12-01,162.07
2013-01-01,162.81
2013-02-01,163.84
2013-03-01,164.21
2013-04-01,164.03
2013-05-01,163.69
2013-06-01,164.26
2013-07-01,164.47
2013-08-01,165.31
2013-09-01,165.78
2013-10-01,165.79
2013-11-01,165.62
2013-12-01,165.34
2014-01-01,166.35
2014-02-01,167.60
2014-03-01,167.76
2014-04-01,168.03
2014-05-01,168.33
2014-06-01,168.45
2014-07-01,168.64
2014-08-01,168.51
2014-09-01,168.83
2014-10-01,169.01
2014-11-01,169.51
2014-12-01,169.99
2015-01-01,170.61
2015-02-01,171.04
2015-03-01,171.72
2015-04-01,172.84
2015-05-01,172.99
2015-06-01,172.51
2015-07-01,172.63
2015-08-01,172.58
2015-09-01,172.91
2015-10-01,174.11
2015-11-01,174.61
2015-12-01,174.50
2016-01-01,175.77
2016-02-01,177.27
2016-03-01,177.44
2016-04-01,177.87
2016-05-01,178.39
2016-06-01,178.74
2016-07-01,179.49
2016-08-01,181.03
2016-09-01,181.29
2016-10-01,181.30
2016-11-01,181.35
2016-12-01,181.42
2017-01-01,182.28
2017-02-01,183.31
2017-03-01,183.33
2017-04-01,182.90
2017-05-01,182.86
2017-06-01,183.04
2017-07-01,183.71
2017-08-01,184.03
2017-09-01,183.86
2017-10-01,184.10
2017-11-01,184.13
2017-12-01,184.35
2018-01-01,185.54
2018-02-01,186.18
2018-03-01,186.61
2018-04-01,186.62
2018-05-01,186.94
