Date,UCMSVS
1992-01-01,19231000000.00
1992-02-01,21963000000.00
1992-03-01,23513000000.00
1992-04-01,23782000000.00
1992-05-01,24230000000.00
1992-06-01,25877000000.00
1992-07-01,23063000000.00
1992-08-01,24624000000.00
1992-09-01,25154000000.00
1992-10-01,25256000000.00
1992-11-01,23127000000.00
1992-12-01,21412000000.00
1993-01-01,21105000000.00
1993-02-01,24205000000.00
1993-03-01,25509000000.00
1993-04-01,25437000000.00
1993-05-01,25689000000.00
1993-06-01,27124000000.00
1993-07-01,23560000000.00
1993-08-01,26260000000.00
1993-09-01,27273000000.00
1993-10-01,27378000000.00
1993-11-01,25851000000.00
1993-12-01,24000000000.00
1994-01-01,23411000000.00
1994-02-01,25783000000.00
1994-03-01,27713000000.00
1994-04-01,27680000000.00
1994-05-01,28462000000.00
1994-06-01,29875000000.00
1994-07-01,26331000000.00
1994-08-01,29675000000.00
1994-09-01,29836000000.00
1994-10-01,29747000000.00
1994-11-01,28337000000.00
1994-12-01,25884000000.00
1995-01-01,26407000000.00
1995-02-01,28920000000.00
1995-03-01,30029000000.00
1995-04-01,28867000000.00
1995-05-01,29876000000.00
1995-06-01,31371000000.00
1995-07-01,27509000000.00
1995-08-01,31279000000.00
1995-09-01,31524000000.00
1995-10-01,31560000000.00
1995-11-01,29064000000.00
1995-12-01,26792000000.00
1996-01-01,26443000000.00
1996-02-01,28388000000.00
1996-03-01,30026000000.00
1996-04-01,30593000000.00
1996-05-01,32064000000.00
1996-06-01,33651000000.00
1996-07-01,30454000000.00
1996-08-01,33311000000.00
1996-09-01,33540000000.00
1996-10-01,33951000000.00
1996-11-01,31154000000.00
1996-12-01,27826000000.00
1997-01-01,28576000000.00
1997-02-01,31672000000.00
1997-03-01,32759000000.00
1997-04-01,34218000000.00
1997-05-01,33823000000.00
1997-06-01,35806000000.00
1997-07-01,32928000000.00
1997-08-01,34852000000.00
1997-09-01,35979000000.00
1997-10-01,36061000000.00
1997-11-01,32688000000.00
1997-12-01,30518000000.00
1998-01-01,30128000000.00
1998-02-01,33515000000.00
1998-03-01,35125000000.00
1998-04-01,34950000000.00
1998-05-01,35561000000.00
