Date,REVOLNS
1984-08-01,91612000000.00
1984-09-01,93907000000.00
1984-10-01,95436000000.00
1984-11-01,98148000000.00
1984-12-01,106256000000.00
1985-01-01,105707000000.00
1985-02-01,105181000000.00
1985-03-01,106692000000.00
1985-04-01,108796000000.00
1985-05-01,109620000000.00
1985-06-01,111191000000.00
1985-07-01,112714000000.00
1985-08-01,115005000000.00
1985-09-01,117523000000.00
1985-10-01,119200000000.00
1985-11-01,122687000000.00
1985-12-01,131553000000.00
1986-01-01,130347000000.00
1986-02-01,128606000000.00
1986-03-01,128649000000.00
1986-04-01,130621000000.00
1986-05-01,131871000000.00
1986-06-01,133079000000.00
1986-07-01,134042000000.00
1986-08-01,135736000000.00
1986-09-01,136261000000.00
1986-10-01,137702000000.00
1986-11-01,140269000000.00
1986-12-01,148902000000.00
1987-01-01,144482000000.00
1987-02-01,142260000000.00
1987-03-01,141334000000.00
1987-04-01,143903000000.00
1987-05-01,145472000000.00
1987-06-01,148421000000.00
1987-07-01,150670000000.00
1987-08-01,152773000000.00
1987-09-01,155365000000.00
1987-10-01,156743000000.00
1987-11-01,158497000000.00
1987-12-01,169639000000.00
1988-01-01,168334000000.00
1988-02-01,165722000000.00
1988-03-01,165379000000.00
1988-04-01,167184000000.00
1988-05-01,168606000000.00
1988-06-01,171371000000.00
1988-07-01,172163000000.00
1988-08-01,174794000000.00
1988-09-01,176366000000.00
1988-10-01,178431000000.00
1988-11-01,183671000000.00
1988-12-01,194459900000.00
1989-01-01,189610000000.00
1989-02-01,187301000000.00
1989-03-01,188471000000.00
1989-04-01,190797000000.00
1989-05-01,192720000000.00
1989-06-01,195893000000.00
1989-07-01,197418000000.00
1989-08-01,200795000000.00
1989-09-01,202075000000.00
1989-10-01,203516000000.00
1989-11-01,208416000000.00
1989-12-01,222295000000.00
1990-01-01,217901000000.00
1990-02-01,216062000000.00
1990-03-01,214920000000.00
1990-04-01,217045000000.00
1990-05-01,220506000000.00
1990-06-01,223520000000.00
1990-07-01,227119000000.00
1990-08-01,231241000000.00
1990-09-01,233653000000.00
1990-10-01,234734000000.00
1990-11-01,240221000000.00
1990-12-01,250909000000.00
1991-01-01,243370000000.00
1991-02-01,241818000000.00
1991-03-01,243907000000.00
1991-04-01,245646000000.00
1991-05-01,247851000000.00
1991-06-01,249675000000.00
1991-07-01,250928000000.00
1991-08-01,254609000000.00
1991-09-01,257752000000.00
1991-10-01,259964000000.00
1991-11-01,263903000000.00
1991-12-01,277089000000.00
1992-01-01,270420000000.00
1992-02-01,265961000000.00
1992-03-01,263739000000.00
1992-04-01,264524000000.00
1992-05-01,265514000000.00
1992-06-01,267816000000.00
1992-07-01,267740000000.00
1992-08-01,270598000000.00
1992-09-01,272158000000.00
1992-10-01,274000000000.00
1992-11-01,276754000000.00
1992-12-01,292258000000.00
1993-01-01,286162000000.00
1993-02-01,283050000000.00
1993-03-01,281767000000.00
1993-04-01,283450000000.00
1993-05-01,285078000000.00
1993-06-01,286864000000.00
1993-07-01,290805000000.00
1993-08-01,294564000000.00
1993-09-01,298288000000.00
1993-10-01,300503000000.00
1993-11-01,308136000000.00
1993-12-01,325011000000.00
1994-01-01,318080000000.00
1994-02-01,314994000000.00
1994-03-01,316400000000.00
1994-04-01,321044000000.00
1994-05-01,325383000000.00
1994-06-01,331247000000.00
1994-07-01,335941000000.00
1994-08-01,345615000000.00
1994-09-01,348625000000.00
1994-10-01,351518000000.00
1994-11-01,364545000000.00
1994-12-01,383187000000.00
1995-01-01,378400000000.00
1995-02-01,377779000000.00
1995-03-01,381573000000.00
1995-04-01,385053000000.00
1995-05-01,393782000000.00
1995-06-01,401754000000.00
1995-07-01,404268000000.00
1995-08-01,415101000000.00
1995-09-01,427090000000.00
1995-10-01,431995000000.00
1995-11-01,439087100000.00
1995-12-01,464947500000.00
1996-01-01,455580700000.00
1996-02-01,454500700000.00
1996-03-01,456187600000.00
1996-04-01,461711900000.00
1996-05-01,467939800000.00
1996-06-01,471728700000.00
1996-07-01,476127600000.00
1996-08-01,482052200000.00
1996-09-01,484730300000.00
1996-10-01,488971500000.00
1996-11-01,499312200000.00
1996-12-01,524416800000.00
1997-01-01,515150800000.00
1997-02-01,510423300000.00
1997-03-01,505699100000.00
1997-04-01,507883700000.00
1997-05-01,511840200000.00
1997-06-01,513921800000.00
1997-07-01,517848200000.00
1997-08-01,523858000000.00
1997-09-01,527696200000.00
1997-10-01,531077900000.00
1997-11-01,536656400000.00
1997-12-01,555532900000.00
1998-01-01,543794300000.00
1998-02-01,537952600000.00
1998-03-01,535467000000.00
1998-04-01,557298800000.00
1998-05-01,556390000000.00
1998-06-01,559889400000.00
1998-07-01,556608700000.00
1998-08-01,563822400000.00
1998-09-01,567097100000.00
1998-10-01,570767700000.00
1998-11-01,572955300000.00
1998-12-01,597659600000.00
1999-01-01,590301200000.00
1999-02-01,585029400000.00
1999-03-01,579336400000.00
1999-04-01,583394500000.00
1999-05-01,585723800000.00
1999-06-01,593009500000.00
1999-07-01,596534300000.00
1999-08-01,602020000000.00
1999-09-01,604129200000.00
1999-10-01,606250700000.00
1999-11-01,612001000000.00
1999-12-01,627467300000.00
2000-01-01,620440600000.00
2000-02-01,617085600000.00
2000-03-01,616812500000.00
2000-04-01,624001000000.00
2000-05-01,629885300000.00
2000-06-01,636948900000.00
2000-07-01,641385000000.00
2000-08-01,653531200000.00
2000-09-01,657911500000.00
2000-10-01,665617700000.00
2000-11-01,676164900000.00
2000-12-01,702246700000.00
2001-01-01,693223500000.00
2001-02-01,696919600000.00
2001-03-01,694173100000.00
2001-04-01,703649500000.00
2001-05-01,705597700000.00
2001-06-01,709029200000.00
2001-07-01,702483300000.00
2001-08-01,705013800000.00
2001-09-01,705032900000.00
2001-10-01,704293100000.00
2001-11-01,716338600000.00
2001-12-01,735093400000.00
2002-01-01,722133700000.00
2002-02-01,713972700000.00
2002-03-01,711468000000.00
2002-04-01,720834100000.00
2002-05-01,724085000000.00
2002-06-01,729215700000.00
2002-07-01,730722500000.00
2002-08-01,738594000000.00
2002-09-01,741401700000.00
2002-10-01,746975700000.00
2002-11-01,753537700000.00
2002-12-01,772122800000.00
2003-01-01,763587300000.00
2003-02-01,758167800000.00
2003-03-01,750643800000.00
2003-04-01,755409800000.00
2003-05-01,758726500000.00
2003-06-01,759334700000.00
2003-07-01,758595800000.00
2003-08-01,764265600000.00
2003-09-01,764703100000.00
2003-10-01,764538800000.00
2003-11-01,768820900000.00
2003-12-01,790387700000.00
2004-01-01,780848500000.00
2004-02-01,772083300000.00
2004-03-01,768593300000.00
2004-04-01,769322700000.00
2004-05-01,772188400000.00
2004-06-01,774312000000.00
2004-07-01,779811200000.00
2004-08-01,784735100000.00
2004-09-01,792724000000.00
2004-10-01,795558100000.00
2004-11-01,802373600000.00
2004-12-01,824421000000.00
2005-01-01,816300800000.00
2005-02-01,803679500000.00
2005-03-01,793899100000.00
2005-04-01,802896000000.00
2005-05-01,801982600000.00
2005-06-01,807870100000.00
2005-07-01,808016800000.00
2005-08-01,816023200000.00
2005-09-01,818698900000.00
2005-10-01,819617800000.00
2005-11-01,833111000000.00
2005-12-01,856682700000.00
2006-01-01,859488900000.00
2006-02-01,850144000000.00
2006-03-01,841578100000.00
2006-04-01,849158800000.00
2006-05-01,857783600000.00
2006-06-01,859215900000.00
2006-07-01,863014900000.00
2006-08-01,875125700000.00
2006-09-01,876503700000.00
2006-10-01,877817400000.00
2006-11-01,893701000000.00
2006-12-01,923876800000.00
2007-01-01,907855100000.00
2007-02-01,897863500000.00
2007-03-01,892673300000.00
2007-04-01,898633400000.00
2007-05-01,909557100000.00
2007-06-01,916374000000.00
2007-07-01,925021900000.00
2007-08-01,940889400000.00
2007-09-01,946115000000.00
2007-10-01,951303300000.00
2007-11-01,971370300000.00
2007-12-01,1001625300000.00
2008-01-01,988326700000.00
2008-02-01,979274500000.00
2008-03-01,972523400000.00
2008-04-01,978043700000.00
2008-05-01,979170100000.00
2008-06-01,983250100000.00
2008-07-01,986455200000.00
2008-08-01,990300500000.00
2008-09-01,983028300000.00
2008-10-01,985121500000.00
2008-11-01,987212500000.00
2008-12-01,1003997000000.00
2009-01-01,986625400000.00
2009-02-01,961577600000.00
2009-03-01,940343900000.00
2009-04-01,938283700000.00
2009-05-01,927621100000.00
2009-06-01,927379200000.00
2009-07-01,927166000000.00
2009-08-01,923278800000.00
2009-09-01,916524100000.00
2009-10-01,907192600000.00
2009-11-01,901298200000.00
2009-12-01,916076600000.00
2010-01-01,889248100000.00
2010-02-01,866160600000.00
2010-03-01,854371400000.00
2010-04-01,852191800000.00
2010-05-01,845337000000.00
2010-06-01,841118400000.00
2010-07-01,838282800000.00
2010-08-01,837616300000.00
2010-09-01,829054400000.00
2010-10-01,821611400000.00
2010-11-01,826744000000.00
2010-12-01,839102700000.00
2011-01-01,815210900000.00
2011-02-01,797463600000.00
2011-03-01,791950800000.00
2011-04-01,789968400000.00
2011-05-01,795506300000.00
2011-06-01,800410300000.00
2011-07-01,801807300000.00
2011-08-01,807320000000.00
2011-09-01,805505200000.00
2011-10-01,804924100000.00
2011-11-01,818004300000.00
2011-12-01,840628200000.00
2012-01-01,820164200000.00
2012-02-01,804602100000.00
2012-03-01,796890000000.00
2012-04-01,796182600000.00
2012-05-01,806425000000.00
2012-06-01,806332800000.00
2012-07-01,805959100000.00
2012-08-01,815865700000.00
2012-09-01,811429400000.00
2012-10-01,813932000000.00
2012-11-01,824211900000.00
2012-12-01,844250900000.00
2013-01-01,826749200000.00
2013-02-01,811942800000.00
2013-03-01,803657000000.00
2013-04-01,805376800000.00
2013-05-01,814087900000.00
2013-06-01,813539900000.00
2013-07-01,815317700000.00
2013-08-01,821964000000.00
2013-09-01,819017400000.00
2013-10-01,822284700000.00
2013-11-01,828862200000.00
2013-12-01,855592800000.00
2014-01-01,837482200000.00
2014-02-01,821165700000.00
2014-03-01,816096500000.00
2014-04-01,826513400000.00
2014-05-01,835655200000.00
2014-06-01,838004300000.00
2014-07-01,844410000000.00
2014-08-01,851337900000.00
2014-09-01,848464200000.00
2014-10-01,850831600000.00
2014-11-01,859928100000.00
2014-12-01,889120600000.00
2015-01-01,867813200000.00
2015-02-01,848406300000.00
2015-03-01,847621500000.00
2015-04-01,857465000000.00
2015-05-01,866126300000.00
2015-06-01,874122000000.00
2015-07-01,879078600000.00
2015-08-01,887755700000.00
2015-09-01,890115600000.00
2015-10-01,892275300000.00
2015-11-01,906689300000.00
2015-12-01,907914400000.00
2016-01-01,887680900000.00
2016-02-01,869141600000.00
2016-03-01,873949700000.00
2016-04-01,881083800000.00
2016-05-01,891499300000.00
2016-06-01,901922100000.00
2016-07-01,906829400000.00
2016-08-01,917786200000.00
2016-09-01,918113700000.00
2016-10-01,920524400000.00
2016-11-01,943181900000.00
2016-12-01,969424600000.00
2017-01-01,947849900000.00
2017-02-01,932333600000.00
2017-03-01,930011100000.00
2017-04-01,934954700000.00
2017-05-01,948267400000.00
2017-06-01,954964100000.00
2017-07-01,957213800000.00
2017-08-01,967641300000.00
2017-09-01,969308600000.00
2017-10-01,976283300000.00
2017-11-01,1002563000000.00
2017-12-01,1028550000000.00
2018-01-01,1005448900000.00
2018-02-01,984705600000.00
2018-03-01,978117300000.00
2018-04-01,984168500000.00
