Date,INDPRO
1935-07-01,6.04
1935-08-01,6.26
1935-09-01,6.42
1935-10-01,6.62
1935-11-01,6.76
1935-12-01,6.84
1936-01-01,6.73
1936-02-01,6.56
1936-03-01,6.65
1936-04-01,7.06
1936-05-01,7.20
1936-06-01,7.34
1936-07-01,7.48
1936-08-01,7.59
1936-09-01,7.73
1936-10-01,7.84
1936-11-01,8.06
1936-12-01,8.31
1937-01-01,8.28
1937-02-01,8.39
1937-03-01,8.58
1937-04-01,8.58
1937-05-01,8.61
1937-06-01,8.50
1937-07-01,8.56
1937-08-01,8.50
1937-09-01,8.22
1937-10-01,7.62
1937-11-01,6.87
1937-12-01,6.26
1938-01-01,6.12
1938-02-01,6.06
1938-03-01,6.06
1938-04-01,5.95
1938-05-01,5.82
1938-06-01,5.87
1938-07-01,6.20
1938-08-01,6.54
1938-09-01,6.73
1938-10-01,6.90
1938-11-01,7.17
1938-12-01,7.26
1939-01-01,7.26
1939-02-01,7.31
1939-03-01,7.34
1939-04-01,7.31
1939-05-01,7.28
1939-06-01,7.45
1939-07-01,7.67
1939-08-01,7.78
1939-09-01,8.25
1939-10-01,8.67
1939-11-01,8.89
1939-12-01,8.89
1940-01-01,8.78
1940-02-01,8.50
1940-03-01,8.31
1940-04-01,8.47
1940-05-01,8.72
1940-06-01,9.00
1940-07-01,9.11
1940-08-01,9.17
1940-09-01,9.36
1940-10-01,9.50
1940-11-01,9.72
1940-12-01,10.05
1941-01-01,10.30
1941-02-01,10.61
1941-03-01,10.94
1941-04-01,10.97
1941-05-01,11.46
1941-06-01,11.55
1941-07-01,11.69
1941-08-01,11.82
1941-09-01,11.82
1941-10-01,11.94
1941-11-01,11.99
1941-12-01,12.18
1942-01-01,12.43
1942-02-01,12.66
1942-03-01,12.79
1942-04-01,12.43
1942-05-01,12.46
1942-06-01,12.49
1942-07-01,12.79
1942-08-01,13.18
1942-09-01,13.49
1942-10-01,13.93
1942-11-01,14.26
1942-12-01,14.59
1943-01-01,14.73
1943-02-01,15.12
1943-03-01,15.23
1943-04-01,15.42
1943-05-01,15.54
1943-06-01,15.45
1943-07-01,15.92
1943-08-01,16.26
1943-09-01,16.67
1943-10-01,16.92
1943-11-01,17.14
1943-12-01,16.92
1944-01-01,17.11
1944-02-01,17.25
1944-03-01,17.22
1944-04-01,17.22
1944-05-01,17.11
1944-06-01,17.06
1944-07-01,17.03
1944-08-01,17.25
1944-09-01,17.14
1944-10-01,17.20
1944-11-01,17.06
1944-12-01,17.00
1945-01-01,16.84
1945-02-01,16.78
1945-03-01,16.67
1945-04-01,16.37
1945-05-01,15.92
1945-06-01,15.56
1945-07-01,15.20
1945-08-01,13.62
1945-09-01,12.41
1945-10-01,11.91
1945-11-01,12.35
1945-12-01,12.41
1946-01-01,11.71
1946-02-01,11.13
1946-03-01,12.30
1946-04-01,12.07
1946-05-01,11.63
1946-06-01,12.35
1946-07-01,12.77
1946-08-01,13.24
1946-09-01,13.49
1946-10-01,13.74
1946-11-01,13.82
1946-12-01,13.90
1947-01-01,14.07
1947-02-01,14.15
1947-03-01,14.23
1947-04-01,14.12
1947-05-01,14.18
1947-06-01,14.18
1947-07-01,14.10
1947-08-01,14.18
1947-09-01,14.29
1947-10-01,14.43
1947-11-01,14.62
1947-12-01,14.68
1948-01-01,14.76
1948-02-01,14.79
1948-03-01,14.62
1948-04-01,14.65
1948-05-01,14.90
1948-06-01,15.09
1948-07-01,15.09
1948-08-01,15.04
1948-09-01,14.93
1948-10-01,15.04
1948-11-01,14.84
1948-12-01,14.70
1949-01-01,14.57
1949-02-01,14.43
1949-03-01,14.15
1949-04-01,14.07
1949-05-01,13.87
1949-06-01,13.85
1949-07-01,13.82
1949-08-01,13.96
1949-09-01,14.10
1949-10-01,13.57
1949-11-01,13.93
1949-12-01,14.18
1950-01-01,14.43
1950-02-01,14.48
1950-03-01,14.95
1950-04-01,15.45
1950-05-01,15.81
1950-06-01,16.28
1950-07-01,16.81
1950-08-01,17.34
1950-09-01,17.22
1950-10-01,17.34
1950-11-01,17.31
1950-12-01,17.61
1951-01-01,17.67
1951-02-01,17.78
1951-03-01,17.86
1951-04-01,17.89
1951-05-01,17.83
1951-06-01,17.75
1951-07-01,17.47
1951-08-01,17.31
1951-09-01,17.42
1951-10-01,17.39
1951-11-01,17.53
1951-12-01,17.64
1952-01-01,17.83
1952-02-01,17.94
1952-03-01,18.00
1952-04-01,17.83
1952-05-01,17.67
1952-06-01,17.50
1952-07-01,17.22
1952-08-01,18.33
1952-09-01,19.00
1952-10-01,19.19
1952-11-01,19.58
1952-12-01,19.69
1953-01-01,19.74
1953-02-01,19.86
1953-03-01,20.02
1953-04-01,20.10
1953-05-01,20.22
1953-06-01,20.13
1953-07-01,20.38
1953-08-01,20.27
1953-09-01,19.86
1953-10-01,19.69
1953-11-01,19.22
1953-12-01,18.75
1954-01-01,18.61
1954-02-01,18.66
1954-03-01,18.55
1954-04-01,18.44
1954-05-01,18.55
1954-06-01,18.61
1954-07-01,18.64
1954-08-01,18.61
1954-09-01,18.64
1954-10-01,18.86
1954-11-01,19.16
1954-12-01,19.41
1955-01-01,19.86
1955-02-01,20.10
1955-03-01,20.58
1955-04-01,20.82
1955-05-01,21.16
1955-06-01,21.18
1955-07-01,21.35
1955-08-01,21.32
1955-09-01,21.46
1955-10-01,21.82
1955-11-01,21.88
1955-12-01,21.96
1956-01-01,22.10
1956-02-01,21.90
1956-03-01,21.90
1956-04-01,22.07
1956-05-01,21.88
1956-06-01,21.68
1956-07-01,21.02
1956-08-01,21.88
1956-09-01,22.38
1956-10-01,22.57
1956-11-01,22.38
1956-12-01,22.71
1957-01-01,22.62
1957-02-01,22.85
1957-03-01,22.82
1957-04-01,22.51
1957-05-01,22.43
1957-06-01,22.49
1957-07-01,22.62
1957-08-01,22.62
1957-09-01,22.43
1957-10-01,22.10
1957-11-01,21.57
1957-12-01,21.16
1958-01-01,20.77
1958-02-01,20.33
1958-03-01,20.08
1958-04-01,19.74
1958-05-01,19.94
1958-06-01,20.46
1958-07-01,20.77
1958-08-01,21.18
1958-09-01,21.38
1958-10-01,21.63
1958-11-01,22.26
1958-12-01,22.29
1959-01-01,22.62
1959-02-01,23.07
1959-03-01,23.40
1959-04-01,23.90
1959-05-01,24.26
1959-06-01,24.29
1959-07-01,23.70
1959-08-01,22.90
1959-09-01,22.87
1959-10-01,22.71
1959-11-01,22.85
1959-12-01,24.26
1960-01-01,24.90
1960-02-01,24.67
1960-03-01,24.45
1960-04-01,24.26
1960-05-01,24.23
1960-06-01,23.93
1960-07-01,23.84
1960-08-01,23.82
1960-09-01,23.57
1960-10-01,23.54
1960-11-01,23.21
1960-12-01,22.76
1961-01-01,22.79
1961-02-01,22.76
1961-03-01,22.90
1961-04-01,23.37
1961-05-01,23.73
1961-06-01,24.06
1961-07-01,24.34
1961-08-01,24.56
1961-09-01,24.54
1961-10-01,25.01
1961-11-01,25.39
1961-12-01,25.62
1962-01-01,25.39
1962-02-01,25.81
1962-03-01,25.95
1962-04-01,26.00
1962-05-01,25.98
1962-06-01,25.92
1962-07-01,26.17
1962-08-01,26.20
1962-09-01,26.36
1962-10-01,26.39
1962-11-01,26.50
1962-12-01,26.50
1963-01-01,26.70
1963-02-01,27.00
1963-03-01,27.17
1963-04-01,27.42
1963-05-01,27.75
1963-06-01,27.83
1963-07-01,27.72
1963-08-01,27.78
1963-09-01,28.05
1963-10-01,28.25
1963-11-01,28.38
1963-12-01,28.33
1964-01-01,28.58
1964-02-01,28.77
1964-03-01,28.77
1964-04-01,29.24
1964-05-01,29.41
1964-06-01,29.49
1964-07-01,29.69
1964-08-01,29.88
1964-09-01,29.99
1964-10-01,29.58
1964-11-01,30.49
1964-12-01,30.85
1965-01-01,31.18
1965-02-01,31.38
1965-03-01,31.79
1965-04-01,31.93
1965-05-01,32.18
1965-06-01,32.43
1965-07-01,32.73
1965-08-01,32.87
1965-09-01,32.95
1965-10-01,33.29
1965-11-01,33.42
1965-12-01,33.84
1966-01-01,34.17
1966-02-01,34.39
1966-03-01,34.86
1966-04-01,34.92
1966-05-01,35.25
1966-06-01,35.42
1966-07-01,35.61
1966-08-01,35.64
1966-09-01,35.97
1966-10-01,36.22
1966-11-01,35.97
1966-12-01,36.06
1967-01-01,36.23
1967-02-01,35.81
1967-03-01,35.61
1967-04-01,35.95
1967-05-01,35.64
1967-06-01,35.63
1967-07-01,35.55
1967-08-01,36.23
1967-09-01,36.17
1967-10-01,36.47
1967-11-01,36.99
1967-12-01,37.39
1968-01-01,37.35
1968-02-01,37.48
1968-03-01,37.60
1968-04-01,37.65
1968-05-01,38.07
1968-06-01,38.21
1968-07-01,38.16
1968-08-01,38.26
1968-09-01,38.41
1968-10-01,38.48
1968-11-01,38.98
1968-12-01,39.10
1969-01-01,39.34
1969-02-01,39.59
1969-03-01,39.90
1969-04-01,39.76
1969-05-01,39.61
1969-06-01,39.99
1969-07-01,40.20
1969-08-01,40.30
1969-09-01,40.29
1969-10-01,40.30
1969-11-01,39.92
1969-12-01,39.81
1970-01-01,39.07
1970-02-01,39.05
1970-03-01,39.00
1970-04-01,38.90
1970-05-01,38.85
1970-06-01,38.73
1970-07-01,38.82
1970-08-01,38.75
1970-09-01,38.49
1970-10-01,37.72
1970-11-01,37.49
1970-12-01,38.35
1971-01-01,38.64
1971-02-01,38.57
1971-03-01,38.53
1971-04-01,38.74
1971-05-01,38.94
1971-06-01,39.10
1971-07-01,38.99
1971-08-01,38.76
1971-09-01,39.39
1971-10-01,39.69
1971-11-01,39.86
1971-12-01,40.32
1972-01-01,41.29
1972-02-01,41.68
1972-03-01,41.98
1972-04-01,42.42
1972-05-01,42.40
1972-06-01,42.52
1972-07-01,42.50
1972-08-01,43.06
1972-09-01,43.39
1972-10-01,43.97
1972-11-01,44.49
1972-12-01,45.00
1973-01-01,45.29
1973-02-01,45.96
1973-03-01,45.99
1973-04-01,45.93
1973-05-01,46.22
1973-06-01,46.25
1973-07-01,46.44
1973-08-01,46.36
1973-09-01,46.78
1973-10-01,47.09
1973-11-01,47.34
1973-12-01,47.23
1974-01-01,46.90
1974-02-01,46.75
1974-03-01,46.77
1974-04-01,46.60
1974-05-01,46.98
1974-06-01,46.92
1974-07-01,46.95
1974-08-01,46.49
1974-09-01,46.51
1974-10-01,46.34
1974-11-01,44.82
1974-12-01,43.24
1975-01-01,42.64
1975-02-01,41.66
1975-03-01,41.21
1975-04-01,41.25
1975-05-01,41.15
1975-06-01,41.42
1975-07-01,41.82
1975-08-01,42.25
1975-09-01,42.78
1975-10-01,42.97
1975-11-01,43.06
1975-12-01,43.60
1976-01-01,44.23
1976-02-01,44.67
1976-03-01,44.71
1976-04-01,44.95
1976-05-01,45.17
1976-06-01,45.18
1976-07-01,45.45
1976-08-01,45.77
1976-09-01,45.91
1976-10-01,45.92
1976-11-01,46.60
1976-12-01,47.09
1977-01-01,46.83
1977-02-01,47.54
1977-03-01,48.13
1977-04-01,48.58
1977-05-01,48.99
1977-06-01,49.34
1977-07-01,49.41
1977-08-01,49.43
1977-09-01,49.67
1977-10-01,49.76
1977-11-01,49.81
1977-12-01,49.89
1978-01-01,49.20
1978-02-01,49.45
1978-03-01,50.39
1978-04-01,51.44
1978-05-01,51.62
1978-06-01,51.98
1978-07-01,51.96
1978-08-01,52.15
1978-09-01,52.29
1978-10-01,52.70
1978-11-01,53.10
1978-12-01,53.39
1979-01-01,53.04
1979-02-01,53.33
1979-03-01,53.50
1979-04-01,52.89
1979-05-01,53.32
1979-06-01,53.32
1979-07-01,53.24
1979-08-01,52.89
1979-09-01,52.95
1979-10-01,53.24
1979-11-01,53.19
1979-12-01,53.26
1980-01-01,53.50
1980-02-01,53.51
1980-03-01,53.33
1980-04-01,52.24
1980-05-01,50.97
1980-06-01,50.33
1980-07-01,49.94
1980-08-01,50.12
1980-09-01,50.93
1980-10-01,51.58
1980-11-01,52.47
1980-12-01,52.77
1981-01-01,52.47
1981-02-01,52.22
1981-03-01,52.50
1981-04-01,52.27
1981-05-01,52.58
1981-06-01,52.83
1981-07-01,53.17
1981-08-01,53.17
1981-09-01,52.85
1981-10-01,52.50
1981-11-01,51.90
1981-12-01,51.33
1982-01-01,50.31
1982-02-01,51.30
1982-03-01,50.91
1982-04-01,50.46
1982-05-01,50.14
1982-06-01,49.97
1982-07-01,49.81
1982-08-01,49.38
1982-09-01,49.23
1982-10-01,48.79
1982-11-01,48.60
1982-12-01,48.24
1983-01-01,49.17
1983-02-01,48.87
1983-03-01,49.27
1983-04-01,49.87
1983-05-01,50.21
1983-06-01,50.51
1983-07-01,51.27
1983-08-01,51.85
1983-09-01,52.63
1983-10-01,53.06
1983-11-01,53.26
1983-12-01,53.53
1984-01-01,54.60
1984-02-01,54.84
1984-03-01,55.10
1984-04-01,55.46
1984-05-01,55.71
1984-06-01,55.91
1984-07-01,56.09
1984-08-01,56.14
1984-09-01,56.03
1984-10-01,55.94
1984-11-01,56.16
1984-12-01,56.23
1985-01-01,56.14
1985-02-01,56.34
1985-03-01,56.42
1985-04-01,56.27
1985-05-01,56.35
1985-06-01,56.39
1985-07-01,56.02
1985-08-01,56.25
1985-09-01,56.49
1985-10-01,56.26
1985-11-01,56.45
1985-12-01,57.05
1986-01-01,57.31
1986-02-01,56.93
1986-03-01,56.54
1986-04-01,56.57
1986-05-01,56.69
1986-06-01,56.50
1986-07-01,56.81
1986-08-01,56.73
1986-09-01,56.85
1986-10-01,57.12
1986-11-01,57.38
1986-12-01,57.86
1987-01-01,57.69
1987-02-01,58.44
1987-03-01,58.52
1987-04-01,58.89
1987-05-01,59.27
1987-06-01,59.54
1987-07-01,59.96
1987-08-01,60.45
1987-09-01,60.61
1987-10-01,61.49
1987-11-01,61.82
1987-12-01,62.11
1988-01-01,62.14
1988-02-01,62.41
1988-03-01,62.55
1988-04-01,62.90
1988-05-01,62.82
1988-06-01,62.98
1988-07-01,63.00
1988-08-01,63.28
1988-09-01,63.11
1988-10-01,63.41
1988-11-01,63.52
1988-12-01,63.82
1989-01-01,64.01
1989-02-01,63.72
1989-03-01,63.87
1989-04-01,63.92
1989-05-01,63.48
1989-06-01,63.51
1989-07-01,62.95
1989-08-01,63.52
1989-09-01,63.30
1989-10-01,63.25
1989-11-01,63.46
1989-12-01,63.85
1990-01-01,63.42
1990-02-01,64.05
1990-03-01,64.36
1990-04-01,64.26
1990-05-01,64.40
1990-06-01,64.61
1990-07-01,64.53
1990-08-01,64.73
1990-09-01,64.81
1990-10-01,64.33
1990-11-01,63.57
1990-12-01,63.16
1991-01-01,62.88
1991-02-01,62.45
1991-03-01,62.12
1991-04-01,62.25
1991-05-01,62.87
1991-06-01,63.44
1991-07-01,63.51
1991-08-01,63.56
1991-09-01,64.12
1991-10-01,64.02
1991-11-01,63.94
1991-12-01,63.69
1992-01-01,63.34
1992-02-01,63.79
1992-03-01,64.32
1992-04-01,64.81
1992-05-01,65.02
1992-06-01,65.03
1992-07-01,65.62
1992-08-01,65.29
1992-09-01,65.45
1992-10-01,65.94
1992-11-01,66.22
1992-12-01,66.28
1993-01-01,66.57
1993-02-01,66.86
1993-03-01,66.77
1993-04-01,67.00
1993-05-01,66.76
1993-06-01,66.88
1993-07-01,67.08
1993-08-01,67.01
1993-09-01,67.33
1993-10-01,67.85
1993-11-01,68.14
1993-12-01,68.50
1994-01-01,68.76
1994-02-01,68.78
1994-03-01,69.48
1994-04-01,69.87
1994-05-01,70.23
1994-06-01,70.68
1994-07-01,70.79
1994-08-01,71.21
1994-09-01,71.48
1994-10-01,72.08
1994-11-01,72.53
1994-12-01,73.29
1995-01-01,73.42
1995-02-01,73.31
1995-03-01,73.41
1995-04-01,73.36
1995-05-01,73.61
1995-06-01,73.86
1995-07-01,73.57
1995-08-01,74.50
1995-09-01,74.79
1995-10-01,74.70
1995-11-01,74.89
1995-12-01,75.17
1996-01-01,74.68
1996-02-01,75.84
1996-03-01,75.76
1996-04-01,76.46
1996-05-01,77.02
1996-06-01,77.67
1996-07-01,77.57
1996-08-01,78.01
1996-09-01,78.55
1996-10-01,78.51
1996-11-01,79.20
1996-12-01,79.71
1997-01-01,79.82
1997-02-01,80.78
1997-03-01,81.34
1997-04-01,81.36
1997-05-01,81.83
1997-06-01,82.23
1997-07-01,82.85
1997-08-01,83.72
1997-09-01,84.46
1997-10-01,85.20
1997-11-01,85.95
1997-12-01,86.21
1998-01-01,86.66
1998-02-01,86.76
1998-03-01,86.82
1998-04-01,87.13
1998-05-01,87.69
1998-06-01,87.14
1998-07-01,86.84
1998-08-01,88.63
1998-09-01,88.46
1998-10-01,89.17
1998-11-01,89.11
1998-12-01,89.44
1999-01-01,89.86
1999-02-01,90.33
1999-03-01,90.47
1999-04-01,90.73
1999-05-01,91.35
1999-06-01,91.20
1999-07-01,91.78
1999-08-01,92.17
1999-09-01,91.78
1999-10-01,93.00
1999-11-01,93.44
1999-12-01,94.16
2000-01-01,94.17
2000-02-01,94.43
2000-03-01,94.79
2000-04-01,95.49
2000-05-01,95.64
2000-06-01,95.74
2000-07-01,95.60
2000-08-01,95.32
2000-09-01,95.68
2000-10-01,95.40
2000-11-01,95.42
2000-12-01,95.16
2001-01-01,94.55
2001-02-01,93.98
2001-03-01,93.73
2001-04-01,93.46
2001-05-01,92.88
2001-06-01,92.33
2001-07-01,91.81
2001-08-01,91.68
2001-09-01,91.33
2001-10-01,90.94
2001-11-01,90.49
2001-12-01,90.52
2002-01-01,91.09
2002-02-01,91.07
2002-03-01,91.80
2002-04-01,92.18
2002-05-01,92.57
2002-06-01,93.45
2002-07-01,93.23
2002-08-01,93.23
2002-09-01,93.36
2002-10-01,93.08
2002-11-01,93.56
2002-12-01,93.11
2003-01-01,93.65
2003-02-01,93.95
2003-03-01,93.74
2003-04-01,93.08
2003-05-01,93.10
2003-06-01,93.25
2003-07-01,93.66
2003-08-01,93.52
2003-09-01,94.07
2003-10-01,94.21
2003-11-01,94.94
2003-12-01,94.86
2004-01-01,95.11
2004-02-01,95.68
2004-03-01,95.21
2004-04-01,95.63
2004-05-01,96.40
2004-06-01,95.60
2004-07-01,96.34
2004-08-01,96.41
2004-09-01,96.49
2004-10-01,97.41
2004-11-01,97.62
2004-12-01,98.33
2005-01-01,98.79
2005-02-01,99.46
2005-03-01,99.32
2005-04-01,99.46
2005-05-01,99.60
2005-06-01,99.98
2005-07-01,99.67
2005-08-01,99.95
2005-09-01,98.08
2005-10-01,99.32
2005-11-01,100.33
2005-12-01,100.95
2006-01-01,101.06
2006-02-01,101.08
2006-03-01,101.27
2006-04-01,101.69
2006-05-01,101.58
2006-06-01,101.97
2006-07-01,101.94
2006-08-01,102.33
2006-09-01,102.12
2006-10-01,102.07
2006-11-01,101.95
2006-12-01,103.03
2007-01-01,102.49
2007-02-01,103.54
2007-03-01,103.75
2007-04-01,104.50
2007-05-01,104.54
2007-06-01,104.57
2007-07-01,104.52
2007-08-01,104.74
2007-09-01,105.15
2007-10-01,104.72
2007-11-01,105.30
2007-12-01,105.35
2008-01-01,105.07
2008-02-01,104.71
2008-03-01,104.46
2008-04-01,103.67
2008-05-01,103.09
2008-06-01,102.84
2008-07-01,102.29
2008-08-01,100.72
2008-09-01,96.36
2008-10-01,97.28
2008-11-01,96.06
2008-12-01,93.25
2009-01-01,91.03
2009-02-01,90.44
2009-03-01,89.01
2009-04-01,88.30
2009-05-01,87.41
2009-06-01,87.07
2009-07-01,88.03
2009-08-01,89.02
2009-09-01,89.70
2009-10-01,89.99
2009-11-01,90.35
2009-12-01,90.62
2010-01-01,91.68
2010-02-01,92.01
2010-03-01,92.61
2010-04-01,92.96
2010-05-01,94.30
2010-06-01,94.43
2010-07-01,94.84
2010-08-01,95.14
2010-09-01,95.35
2010-10-01,95.10
2010-11-01,95.14
2010-12-01,96.03
2011-01-01,95.94
2011-02-01,95.51
2011-03-01,96.47
2011-04-01,96.13
2011-05-01,96.33
2011-06-01,96.59
2011-07-01,97.10
2011-08-01,97.66
2011-09-01,97.61
2011-10-01,98.29
2011-11-01,98.23
2011-12-01,98.77
2012-01-01,99.37
2012-02-01,99.64
2012-03-01,99.16
2012-04-01,99.92
2012-05-01,100.10
2012-06-01,100.05
2012-07-01,100.31
2012-08-01,99.90
2012-09-01,99.89
2012-10-01,100.12
2012-11-01,100.61
2012-12-01,100.93
2013-01-01,100.88
2013-02-01,101.43
2013-03-01,101.82
2013-04-01,101.70
2013-05-01,101.75
2013-06-01,101.95
2013-07-01,101.45
2013-08-01,102.18
2013-09-01,102.68
2013-10-01,102.54
2013-11-01,102.86
2013-12-01,103.17
2014-01-01,102.71
2014-02-01,103.60
2014-03-01,104.59
2014-04-01,104.74
2014-05-01,105.06
2014-06-01,105.41
2014-07-01,105.56
2014-08-01,105.48
2014-09-01,105.79
2014-10-01,105.82
2014-11-01,106.66
2014-12-01,106.50
2015-01-01,105.88
2015-02-01,105.42
2015-03-01,105.09
2015-04-01,104.56
2015-05-01,104.07
2015-06-01,103.69
2015-07-01,104.24
2015-08-01,104.13
2015-09-01,103.73
2015-10-01,103.36
2015-11-01,102.73
2015-12-01,102.27
2016-01-01,103.03
2016-02-01,102.34
2016-03-01,101.54
2016-04-01,101.75
2016-05-01,101.60
2016-06-01,101.95
2016-07-01,102.14
2016-08-01,102.07
2016-09-01,101.93
2016-10-01,102.06
2016-11-01,101.83
2016-12-01,102.79
2017-01-01,102.54
2017-02-01,102.16
2017-03-01,102.72
2017-04-01,103.71
2017-05-01,103.71
2017-06-01,103.77
2017-07-01,103.62
2017-08-01,103.20
2017-09-01,103.18
2017-10-01,104.76
2017-11-01,105.29
2017-12-01,105.77
2018-01-01,105.43
2018-02-01,105.87
2018-03-01,106.43
2018-04-01,107.40
2018-05-01,107.30
