Date,UMXDNO
1992-02-01,220600000000.00
1992-03-01,236748000000.00
1992-04-01,229309000000.00
1992-05-01,231928000000.00
1992-06-01,248466000000.00
1992-07-01,211259000000.00
1992-08-01,225459000000.00
1992-09-01,244725000000.00
1992-10-01,240061000000.00
1992-11-01,230293000000.00
1992-12-01,232333000000.00
1993-01-01,217022000000.00
1993-02-01,239305000000.00
1993-03-01,250959000000.00
1993-04-01,237392000000.00
1993-05-01,236326000000.00
1993-06-01,258460000000.00
1993-07-01,213632000000.00
1993-08-01,236790000000.00
1993-09-01,252660000000.00
1993-10-01,250742000000.00
1993-11-01,242815000000.00
1993-12-01,240158000000.00
1994-01-01,230835000000.00
1994-02-01,250836000000.00
1994-03-01,266297000000.00
1994-04-01,251735000000.00
1994-05-01,255865000000.00
1994-06-01,276452000000.00
1994-07-01,231286000000.00
1994-08-01,264796000000.00
1994-09-01,278965000000.00
1994-10-01,272602000000.00
1994-11-01,270443000000.00
1994-12-01,267510000000.00
1995-01-01,257376000000.00
1995-02-01,278046000000.00
1995-03-01,292050000000.00
1995-04-01,270472000000.00
1995-05-01,278765000000.00
1995-06-01,293461000000.00
1995-07-01,244884000000.00
1995-08-01,280783000000.00
1995-09-01,301163000000.00
1995-10-01,289632000000.00
1995-11-01,283284000000.00
1995-12-01,281087000000.00
1996-01-01,264415000000.00
1996-02-01,282429000000.00
1996-03-01,296690000000.00
1996-04-01,282565000000.00
1996-05-01,293363000000.00
1996-06-01,304596000000.00
1996-07-01,265766000000.00
1996-08-01,288400000000.00
1996-09-01,310685000000.00
1996-10-01,305464000000.00
1996-11-01,293243000000.00
1996-12-01,283070000000.00
1997-01-01,279028000000.00
1997-02-01,302983000000.00
1997-03-01,314265000000.00
1997-04-01,304165000000.00
1997-05-01,302777000000.00
1997-06-01,325925000000.00
1997-07-01,282067000000.00
1997-08-01,309401000000.00
1997-09-01,333822000000.00
1997-10-01,325827000000.00
1997-11-01,320051000000.00
1997-12-01,307844000000.00
1998-01-01,288805000000.00
1998-02-01,314209000000.00
1998-03-01,330178000000.00
1998-04-01,310448000000.00
1998-05-01,311068000000.00
1998-06-01,328613000000.00
1998-07-01,275750000000.00
1998-08-01,310856000000.00
1998-09-01,331556000000.00
1998-10-01,318193000000.00
1998-11-01,306950000000.00
1998-12-01,307536000000.00
1999-01-01,290087000000.00
1999-02-01,313832000000.00
1999-03-01,338077000000.00
1999-04-01,312953000000.00
1999-05-01,316181000000.00
1999-06-01,340867000000.00
1999-07-01,290426000000.00
1999-08-01,329726000000.00
1999-09-01,349024000000.00
1999-10-01,336267000000.00
1999-11-01,327043000000.00
1999-12-01,335019000000.00
2000-01-01,313221000000.00
2000-02-01,331978000000.00
2000-03-01,362727000000.00
2000-04-01,332322000000.00
2000-05-01,340800000000.00
2000-06-01,371202000000.00
2000-07-01,304112000000.00
2000-08-01,340986000000.00
2000-09-01,365502000000.00
2000-10-01,340676000000.00
2000-11-01,331631000000.00
2000-12-01,333805000000.00
2001-01-01,306985000000.00
2001-02-01,318945000000.00
2001-03-01,345068000000.00
2001-04-01,309141000000.00
2001-05-01,330396000000.00
2001-06-01,334625000000.00
2001-07-01,284165000000.00
2001-08-01,324289000000.00
2001-09-01,312274000000.00
2001-10-01,310168000000.00
2001-11-01,299340000000.00
2001-12-01,298648000000.00
2002-01-01,283720000000.00
2002-02-01,296177000000.00
2002-03-01,319543000000.00
2002-04-01,310875000000.00
2002-05-01,324484000000.00
2002-06-01,319465000000.00
2002-07-01,289103000000.00
2002-08-01,325338000000.00
2002-09-01,322408000000.00
2002-10-01,327938000000.00
2002-11-01,308173000000.00
2002-12-01,302280000000.00
2003-01-01,297853000000.00
2003-02-01,306921000000.00
2003-03-01,336070000000.00
2003-04-01,309810000000.00
2003-05-01,320165000000.00
2003-06-01,334300000000.00
2003-07-01,300170000000.00
2003-08-01,322572000000.00
2003-09-01,341887000000.00
2003-10-01,345695000000.00
2003-11-01,317902000000.00
2003-12-01,326460000000.00
2004-01-01,305323000000.00
2004-02-01,322732000000.00
2004-03-01,370516000000.00
2004-04-01,339398000000.00
2004-05-01,345821000000.00
2004-06-01,363131000000.00
2004-07-01,326710000000.00
2004-08-01,357080000000.00
2004-09-01,365772000000.00
2004-10-01,360094000000.00
2004-11-01,358420000000.00
2004-12-01,362485000000.00
2005-01-01,340258000000.00
2005-02-01,354332000000.00
2005-03-01,393032000000.00
2005-04-01,373152000000.00
2005-05-01,394661000000.00
2005-06-01,412782000000.00
2005-07-01,354613000000.00
2005-08-01,411201000000.00
2005-09-01,411426000000.00
2005-10-01,405724000000.00
2005-11-01,405513000000.00
2005-12-01,407924000000.00
2006-01-01,378404000000.00
2006-02-01,383386000000.00
2006-03-01,446835000000.00
2006-04-01,399790000000.00
2006-05-01,430032000000.00
2006-06-01,440723000000.00
2006-07-01,387197000000.00
2006-08-01,427727000000.00
2006-09-01,431779000000.00
2006-10-01,415810000000.00
2006-11-01,403978000000.00
2006-12-01,416836000000.00
2007-01-01,385918000000.00
2007-02-01,392954000000.00
2007-03-01,456863000000.00
2007-04-01,430225000000.00
2007-05-01,449981000000.00
2007-06-01,461512000000.00
2007-07-01,423456000000.00
2007-08-01,456715000000.00
2007-09-01,444910000000.00
2007-10-01,459692000000.00
2007-11-01,448695000000.00
2007-12-01,457908000000.00
2008-01-01,430904000000.00
2008-02-01,438984000000.00
2008-03-01,473327000000.00
2008-04-01,465194000000.00
2008-05-01,480042000000.00
2008-06-01,494328000000.00
2008-07-01,463291000000.00
2008-08-01,465120000000.00
2008-09-01,448564000000.00
2008-10-01,419945000000.00
2008-11-01,357865000000.00
2008-12-01,353260000000.00
2009-01-01,309057000000.00
2009-02-01,306071000000.00
2009-03-01,338716000000.00
2009-04-01,318614000000.00
2009-05-01,330825000000.00
2009-06-01,354010000000.00
2009-07-01,335843000000.00
2009-08-01,351739000000.00
2009-09-01,362151000000.00
2009-10-01,363527000000.00
2009-11-01,346033000000.00
2009-12-01,362174000000.00
2010-01-01,343249000000.00
2010-02-01,351591000000.00
2010-03-01,407610000000.00
2010-04-01,390704000000.00
2010-05-01,392843000000.00
2010-06-01,410538000000.00
2010-07-01,381840000000.00
2010-08-01,406634000000.00
2010-09-01,420900000000.00
2010-10-01,409208000000.00
2010-11-01,398777000000.00
2010-12-01,416794000000.00
2011-01-01,392536000000.00
2011-02-01,397056000000.00
2011-03-01,474240000000.00
2011-04-01,437755000000.00
2011-05-01,453554000000.00
2011-06-01,463401000000.00
2011-07-01,433721000000.00
2011-08-01,470297000000.00
2011-09-01,462774000000.00
2011-10-01,451998000000.00
2011-11-01,446240000000.00
2011-12-01,466155000000.00
2012-01-01,434016000000.00
2012-02-01,457317000000.00
2012-03-01,491382000000.00
2012-04-01,460310000000.00
2012-05-01,477702000000.00
2012-06-01,466063000000.00
2012-07-01,447441000000.00
2012-08-01,464484000000.00
2012-09-01,467850000000.00
2012-10-01,479526000000.00
2012-11-01,452173000000.00
2012-12-01,457937000000.00
2013-01-01,439766000000.00
2013-02-01,455832000000.00
2013-03-01,481596000000.00
2013-04-01,467994000000.00
2013-05-01,494768000000.00
2013-06-01,495154000000.00
2013-07-01,459034000000.00
2013-08-01,480773000000.00
2013-09-01,488865000000.00
2013-10-01,489041000000.00
2013-11-01,470783000000.00
2013-12-01,481501000000.00
2014-01-01,443618000000.00
2014-02-01,453103000000.00
2014-03-01,502561000000.00
2014-04-01,479767000000.00
2014-05-01,492295000000.00
2014-06-01,504825000000.00
2014-07-01,532530000000.00
2014-08-01,488226000000.00
2014-09-01,499845000000.00
2014-10-01,485309000000.00
2014-11-01,444975000000.00
2014-12-01,458366000000.00
2015-01-01,412362000000.00
2015-02-01,416916000000.00
2015-03-01,475792000000.00
2015-04-01,449563000000.00
2015-05-01,443765000000.00
2015-06-01,478954000000.00
2015-07-01,439890000000.00
2015-08-01,445298000000.00
2015-09-01,453145000000.00
2015-10-01,446614000000.00
2015-11-01,417499000000.00
2015-12-01,429861000000.00
2016-01-01,388586000000.00
2016-02-01,407928000000.00
2016-03-01,450730000000.00
2016-04-01,425567000000.00
2016-05-01,436486000000.00
2016-06-01,448500000000.00
2016-07-01,406792000000.00
2016-08-01,441770000000.00
2016-09-01,444567000000.00
2016-10-01,444173000000.00
2016-11-01,417704000000.00
2016-12-01,434152000000.00
2017-01-01,405950000000.00
2017-02-01,416190000000.00
2017-03-01,478027000000.00
2017-04-01,435182000000.00
2017-05-01,459203000000.00
2017-06-01,486451000000.00
2017-07-01,422537000000.00
2017-08-01,466865000000.00
2017-09-01,469091000000.00
2017-10-01,468776000000.00
2017-11-01,458601000000.00
2017-12-01,465565000000.00
2018-01-01,439555000000.00
2018-02-01,445195000000.00
2018-03-01,513364000000.00
2018-04-01,477755000000.00
