Date,UNDENO
1992-02-01,36194000000.00
1992-03-01,42930000000.00
1992-04-01,37997000000.00
1992-05-01,38706000000.00
1992-06-01,44587000000.00
1992-07-01,33625000000.00
1992-08-01,34428000000.00
1992-09-01,41564000000.00
1992-10-01,39144000000.00
1992-11-01,36970000000.00
1992-12-01,45377000000.00
1993-01-01,34006000000.00
1993-02-01,40582000000.00
1993-03-01,42482000000.00
1993-04-01,38146000000.00
1993-05-01,37388000000.00
1993-06-01,47324000000.00
1993-07-01,35475000000.00
1993-08-01,39425000000.00
1993-09-01,43480000000.00
1993-10-01,40970000000.00
1993-11-01,41542000000.00
1993-12-01,47346000000.00
1994-01-01,39140000000.00
1994-02-01,42373000000.00
1994-03-01,46389000000.00
1994-04-01,42127000000.00
1994-05-01,41828000000.00
1994-06-01,51664000000.00
1994-07-01,38922000000.00
1994-08-01,43327000000.00
1994-09-01,50141000000.00
1994-10-01,46381000000.00
1994-11-01,47775000000.00
1994-12-01,52027000000.00
1995-01-01,43442000000.00
1995-02-01,48727000000.00
1995-03-01,54837000000.00
1995-04-01,45092000000.00
1995-05-01,49033000000.00
1995-06-01,55414000000.00
1995-07-01,40970000000.00
1995-08-01,46667000000.00
1995-09-01,60052000000.00
1995-10-01,51234000000.00
1995-11-01,53344000000.00
1995-12-01,63320000000.00
1996-01-01,48667000000.00
1996-02-01,53630000000.00
1996-03-01,62357000000.00
1996-04-01,47352000000.00
1996-05-01,53118000000.00
1996-06-01,59529000000.00
1996-07-01,47938000000.00
1996-08-01,47513000000.00
1996-09-01,61216000000.00
1996-10-01,54961000000.00
1996-11-01,53011000000.00
1996-12-01,59505000000.00
1997-01-01,49531000000.00
1997-02-01,57068000000.00
1997-03-01,64332000000.00
1997-04-01,53581000000.00
1997-05-01,54239000000.00
1997-06-01,67694000000.00
1997-07-01,53885000000.00
1997-08-01,57227000000.00
1997-09-01,69782000000.00
1997-10-01,62636000000.00
1997-11-01,70487000000.00
1997-12-01,67900000000.00
1998-01-01,55592000000.00
1998-02-01,60746000000.00
1998-03-01,69172000000.00
1998-04-01,58444000000.00
1998-05-01,59987000000.00
1998-06-01,71352000000.00
1998-07-01,52838000000.00
1998-08-01,59194000000.00
1998-09-01,71306000000.00
1998-10-01,58908000000.00
1998-11-01,59633000000.00
1998-12-01,68428000000.00
1999-01-01,56860000000.00
1999-02-01,59575000000.00
1999-03-01,70680000000.00
1999-04-01,57233000000.00
1999-05-01,60505000000.00
1999-06-01,70061000000.00
1999-07-01,57366000000.00
