Date,U22SVS
1992-01-01,10101000000.00
1992-02-01,10596000000.00
1992-03-01,10742000000.00
1992-04-01,10403000000.00
1992-05-01,10370000000.00
1992-06-01,11057000000.00
1992-07-01,10565000000.00
1992-08-01,10821000000.00
1992-09-01,10851000000.00
1992-10-01,10674000000.00
1992-11-01,10512000000.00
1992-12-01,10430000000.00
1993-01-01,10303000000.00
1993-02-01,10498000000.00
1993-03-01,10709000000.00
1993-04-01,10450000000.00
1993-05-01,10547000000.00
1993-06-01,10945000000.00
1993-07-01,10400000000.00
1993-08-01,10678000000.00
1993-09-01,10944000000.00
1993-10-01,10712000000.00
1993-11-01,10526000000.00
1993-12-01,10270000000.00
1994-01-01,10203000000.00
1994-02-01,10787000000.00
1994-03-01,11027000000.00
1994-04-01,10591000000.00
1994-05-01,10984000000.00
1994-06-01,11612000000.00
1994-07-01,11059000000.00
1994-08-01,11977000000.00
1994-09-01,12129000000.00
1994-10-01,12271000000.00
1994-11-01,12264000000.00
1994-12-01,12018000000.00
1995-01-01,12658000000.00
1995-02-01,13524000000.00
1995-03-01,13795000000.00
1995-04-01,13403000000.00
1995-05-01,14028000000.00
1995-06-01,14895000000.00
1995-07-01,13621000000.00
1995-08-01,14484000000.00
1995-09-01,14519000000.00
1995-10-01,14143000000.00
1995-11-01,13716000000.00
1995-12-01,13265000000.00
1996-01-01,12812000000.00
1996-02-01,13126000000.00
1996-03-01,13030000000.00
1996-04-01,12574000000.00
1996-05-01,12696000000.00
1996-06-01,13322000000.00
1996-07-01,12517000000.00
1996-08-01,12892000000.00
1996-09-01,12896000000.00
1996-10-01,12712000000.00
1996-11-01,12289000000.00
1996-12-01,11994000000.00
1997-01-01,11893000000.00
1997-02-01,12427000000.00
1997-03-01,12316000000.00
1997-04-01,12272000000.00
1997-05-01,12125000000.00
1997-06-01,12694000000.00
1997-07-01,11968000000.00
1997-08-01,12669000000.00
1997-09-01,13076000000.00
1997-10-01,13215000000.00
1997-11-01,12687000000.00
1997-12-01,12954000000.00
1998-01-01,12625000000.00
1998-02-01,12941000000.00
1998-03-01,13174000000.00
1998-04-01,12824000000.00
1998-05-01,12929000000.00
1998-06-01,13539000000.00
1998-07-01,12799000000.00
1998-08-01,13228000000.00
1998-09-01,13118000000.00
1998-10-01,12972000000.00
1998-11-01,12227000000.00
1998-12-01,12608000000.00
1999-01-01,12229000000.00
1999-02-01,12947000000.00
1999-03-01,12722000000.00
1999-04-01,12368000000.00
1999-05-01,12420000000.00
1999-06-01,13204000000.00
1999-07-01,12463000000.00
1999-08-01,13897000000.00
1999-09-01,13804000000.00
1999-10-01,13609000000.00
1999-11-01,13670000000.00
1999-12-01,13582000000.00
2000-01-01,13187000000.00
2000-02-01,13924000000.00
2000-03-01,14201000000.00
2000-04-01,13565000000.00
2000-05-01,13846000000.00
2000-06-01,14274000000.00
2000-07-01,13482000000.00
2000-08-01,13913000000.00
2000-09-01,14142000000.00
2000-10-01,13870000000.00
2000-11-01,13545000000.00
2000-12-01,13349000000.00
2001-01-01,13085000000.00
2001-02-01,13337000000.00
2001-03-01,13350000000.00
2001-04-01,12536000000.00
2001-05-01,12983000000.00
2001-06-01,12818000000.00
2001-07-01,12905000000.00
2001-08-01,13760000000.00
2001-09-01,12897000000.00
2001-10-01,13594000000.00
2001-11-01,12593000000.00
2001-12-01,11987000000.00
2002-01-01,12379000000.00
2002-02-01,11896000000.00
2002-03-01,12459000000.00
2002-04-01,12527000000.00
2002-05-01,13025000000.00
2002-06-01,12777000000.00
2002-07-01,12920000000.00
2002-08-01,13352000000.00
2002-09-01,13391000000.00
2002-10-01,13601000000.00
2002-11-01,12644000000.00
2002-12-01,12784000000.00
2003-01-01,12761000000.00
2003-02-01,12509000000.00
2003-03-01,13120000000.00
2003-04-01,12538000000.00
2003-05-01,12742000000.00
2003-06-01,13102000000.00
2003-07-01,12456000000.00
2003-08-01,12513000000.00
2003-09-01,12564000000.00
2003-10-01,12798000000.00
2003-11-01,11797000000.00
2003-12-01,12198000000.00
2004-01-01,12421000000.00
2004-02-01,12184000000.00
2004-03-01,13007000000.00
2004-04-01,12396000000.00
2004-05-01,12665000000.00
2004-06-01,13776000000.00
2004-07-01,12896000000.00
2004-08-01,13575000000.00
2004-09-01,13224000000.00
2004-10-01,13159000000.00
2004-11-01,12965000000.00
2004-12-01,13112000000.00
2005-01-01,13194000000.00
2005-02-01,13060000000.00
2005-03-01,14057000000.00
2005-04-01,13456000000.00
2005-05-01,13952000000.00
2005-06-01,14396000000.00
2005-07-01,13088000000.00
2005-08-01,13722000000.00
2005-09-01,13103000000.00
2005-10-01,13397000000.00
2005-11-01,13245000000.00
2005-12-01,13258000000.00
2006-01-01,13664000000.00
2006-02-01,13062000000.00
2006-03-01,14311000000.00
2006-04-01,13263000000.00
2006-05-01,14704000000.00
2006-06-01,14738000000.00
2006-07-01,13684000000.00
2006-08-01,14582000000.00
2006-09-01,14096000000.00
2006-10-01,14378000000.00
2006-11-01,13798000000.00
2006-12-01,14753000000.00
2007-01-01,14332000000.00
2007-02-01,13616000000.00
2007-03-01,14686000000.00
2007-04-01,14227000000.00
2007-05-01,15089000000.00
2007-06-01,15217000000.00
2007-07-01,14735000000.00
2007-08-01,15272000000.00
2007-09-01,14790000000.00
2007-10-01,15395000000.00
2007-11-01,14807000000.00
2007-12-01,14522000000.00
2008-01-01,15084000000.00
2008-02-01,14607000000.00
2008-03-01,14987000000.00
2008-04-01,14959000000.00
2008-05-01,15060000000.00
2008-06-01,15420000000.00
2008-07-01,15200000000.00
2008-08-01,15639000000.00
2008-09-01,15647000000.00
2008-10-01,15470000000.00
2008-11-01,14121000000.00
2008-12-01,13810000000.00
2009-01-01,13154000000.00
2009-02-01,13659000000.00
2009-03-01,13813000000.00
2009-04-01,13257000000.00
2009-05-01,13470000000.00
2009-06-01,14109000000.00
2009-07-01,13613000000.00
2009-08-01,13726000000.00
2009-09-01,13787000000.00
2009-10-01,13792000000.00
2009-11-01,13265000000.00
2009-12-01,13477000000.00
2010-01-01,13322000000.00
2010-02-01,13024000000.00
2010-03-01,14630000000.00
2010-04-01,13854000000.00
2010-05-01,14270000000.00
2010-06-01,14802000000.00
2010-07-01,14527000000.00
2010-08-01,15103000000.00
2010-09-01,15042000000.00
2010-10-01,14833000000.00
2010-11-01,14389000000.00
2010-12-01,14493000000.00
2011-01-01,14455000000.00
2011-02-01,13882000000.00
2011-03-01,15372000000.00
2011-04-01,14610000000.00
2011-05-01,14895000000.00
2011-06-01,15421000000.00
2011-07-01,14895000000.00
2011-08-01,15668000000.00
2011-09-01,15169000000.00
2011-10-01,15133000000.00
2011-11-01,14713000000.00
2011-12-01,14518000000.00
2012-01-01,14562000000.00
2012-02-01,14468000000.00
2012-03-01,15135000000.00
2012-04-01,14656000000.00
2012-05-01,15166000000.00
2012-06-01,15347000000.00
2012-07-01,15094000000.00
2012-08-01,15799000000.00
2012-09-01,15108000000.00
2012-10-01,15838000000.00
2012-11-01,14905000000.00
2012-12-01,14532000000.00
2013-01-01,15241000000.00
2013-02-01,14567000000.00
2013-03-01,15613000000.00
2013-04-01,15348000000.00
2013-05-01,15630000000.00
2013-06-01,15716000000.00
2013-07-01,15939000000.00
2013-08-01,16140000000.00
2013-09-01,15816000000.00
2013-10-01,16125000000.00
2013-11-01,14845000000.00
2013-12-01,14915000000.00
2014-01-01,14932000000.00
2014-02-01,14240000000.00
2014-03-01,15282000000.00
2014-04-01,15059000000.00
2014-05-01,16090000000.00
2014-06-01,16081000000.00
2014-07-01,16056000000.00
2014-08-01,16157000000.00
2014-09-01,16168000000.00
2014-10-01,16417000000.00
2014-11-01,15013000000.00
2014-12-01,15447000000.00
2015-01-01,15152000000.00
2015-02-01,14446000000.00
2015-03-01,15632000000.00
2015-04-01,15343000000.00
2015-05-01,15508000000.00
2015-06-01,15949000000.00
2015-07-01,15762000000.00
2015-08-01,15873000000.00
2015-09-01,15699000000.00
2015-10-01,16021000000.00
2015-11-01,14827000000.00
2015-12-01,15109000000.00
2016-01-01,14739000000.00
2016-02-01,14800000000.00
2016-03-01,15706000000.00
2016-04-01,14831000000.00
2016-05-01,15371000000.00
2016-06-01,15549000000.00
2016-07-01,14817000000.00
2016-08-01,15764000000.00
2016-09-01,15273000000.00
2016-10-01,15331000000.00
2016-11-01,14838000000.00
2016-12-01,14647000000.00
2017-01-01,14809000000.00
2017-02-01,14112000000.00
2017-03-01,15704000000.00
2017-04-01,14417000000.00
2017-05-01,15636000000.00
2017-06-01,15549000000.00
2017-07-01,14985000000.00
2017-08-01,16201000000.00
2017-09-01,15544000000.00
2017-10-01,16543000000.00
2017-11-01,15562000000.00
2017-12-01,15251000000.00
2018-01-01,15889000000.00
2018-02-01,14891000000.00
2018-03-01,16303000000.00
2018-04-01,15548000000.00
