Date,UTCGNO
1992-02-01,42560000000.00
1992-03-01,50115000000.00
1992-04-01,43764000000.00
1992-05-01,44906000000.00
1992-06-01,50542000000.00
1992-07-01,36849000000.00
1992-08-01,38795000000.00
1992-09-01,47887000000.00
1992-10-01,49056000000.00
1992-11-01,44797000000.00
1992-12-01,57522000000.00
1993-01-01,40541000000.00
1993-02-01,45933000000.00
1993-03-01,51125000000.00
1993-04-01,43418000000.00
1993-05-01,41523000000.00
1993-06-01,52070000000.00
1993-07-01,41232000000.00
1993-08-01,45533000000.00
1993-09-01,49248000000.00
1993-10-01,47185000000.00
1993-11-01,46801000000.00
1993-12-01,56488000000.00
1994-01-01,48618000000.00
1994-02-01,46978000000.00
1994-03-01,52705000000.00
1994-04-01,45490000000.00
1994-05-01,46963000000.00
1994-06-01,57657000000.00
1994-07-01,43304000000.00
1994-08-01,47942000000.00
1994-09-01,55867000000.00
1994-10-01,53167000000.00
1994-11-01,53946000000.00
1994-12-01,63615000000.00
1995-01-01,48488000000.00
1995-02-01,54732000000.00
1995-03-01,63106000000.00
1995-04-01,49897000000.00
1995-05-01,52954000000.00
1995-06-01,61155000000.00
1995-07-01,44562000000.00
1995-08-01,52089000000.00
1995-09-01,66516000000.00
1995-10-01,55366000000.00
1995-11-01,58336000000.00
1995-12-01,73656000000.00
1996-01-01,55315000000.00
1996-02-01,58658000000.00
1996-03-01,76358000000.00
1996-04-01,52476000000.00
1996-05-01,58952000000.00
1996-06-01,66295000000.00
1996-07-01,50405000000.00
1996-08-01,51155000000.00
1996-09-01,66598000000.00
1996-10-01,60213000000.00
1996-11-01,66522000000.00
1996-12-01,74321000000.00
1997-01-01,54611000000.00
1997-02-01,62390000000.00
1997-03-01,70931000000.00
1997-04-01,59633000000.00
1997-05-01,57914000000.00
1997-06-01,73316000000.00
1997-07-01,57584000000.00
1997-08-01,61407000000.00
1997-09-01,74619000000.00
1997-10-01,67070000000.00
1997-11-01,76760000000.00
1997-12-01,76624000000.00
1998-01-01,61834000000.00
1998-02-01,65365000000.00
1998-03-01,74783000000.00
1998-04-01,64389000000.00
1998-05-01,62616000000.00
1998-06-01,75905000000.00
1998-07-01,56131000000.00
1998-08-01,62792000000.00
1998-09-01,78538000000.00
1998-10-01,63402000000.00
1998-11-01,65422000000.00
1998-12-01,78550000000.00
1999-01-01,64617000000.00
1999-02-01,65215000000.00
1999-03-01,79388000000.00
1999-04-01,61545000000.00
1999-05-01,64759000000.00
1999-06-01,74304000000.00
1999-07-01,62187000000.00
1999-08-01,64186000000.00
1999-09-01,79011000000.00
1999-10-01,69688000000.00
1999-11-01,66805000000.00
1999-12-01,88898000000.00
2000-01-01,70011000000.00
2000-02-01,66511000000.00
2000-03-01,81124000000.00
2000-04-01,66578000000.00
2000-05-01,69009000000.00
2000-06-01,110074000000.00
2000-07-01,62728000000.00
2000-08-01,68343000000.00
2000-09-01,87112000000.00
2000-10-01,67524000000.00
2000-11-01,72867000000.00
2000-12-01,89052000000.00
2001-01-01,62415000000.00
2001-02-01,66538000000.00
2001-03-01,83012000000.00
2001-04-01,59795000000.00
2001-05-01,63481000000.00
2001-06-01,70406000000.00
2001-07-01,52225000000.00
2001-08-01,57137000000.00
2001-09-01,65319000000.00
2001-10-01,65751000000.00
2001-11-01,56231000000.00
2001-12-01,73005000000.00
2002-01-01,48154000000.00
2002-02-01,58390000000.00
2002-03-01,68810000000.00
2002-04-01,54509000000.00
2002-05-01,56862000000.00
2002-06-01,59742000000.00
2002-07-01,50827000000.00
2002-08-01,59689000000.00
2002-09-01,62542000000.00
2002-10-01,54538000000.00
2002-11-01,55513000000.00
2002-12-01,69289000000.00
2003-01-01,54025000000.00
2003-02-01,56883000000.00
2003-03-01,71005000000.00
2003-04-01,58237000000.00
2003-05-01,57986000000.00
2003-06-01,65367000000.00
2003-07-01,52058000000.00
2003-08-01,56988000000.00
