Date,IYNONMANU
2005-12-01,100.00
2006-01-01,103.50
2006-02-01,103.30
2006-03-01,101.70
2006-04-01,102.90
2006-05-01,102.70
2006-06-01,105.50
2006-07-01,105.10
2006-08-01,105.50
2006-09-01,101.60
2006-10-01,100.70
2006-11-01,110.90
2006-12-01,113.40
2007-01-01,111.00
2007-02-01,115.10
2007-03-01,117.10
2007-04-01,115.10
2007-05-01,114.00
2007-06-01,115.70
2007-07-01,117.60
2007-08-01,118.30
2007-09-01,124.80
2007-10-01,133.60
2007-11-01,134.60
2007-12-01,140.20
2008-01-01,149.00
2008-02-01,156.70
2008-03-01,164.30
2008-04-01,157.60
2008-05-01,156.60
2008-06-01,160.20
2008-07-01,171.30
2008-08-01,148.50
2008-09-01,147.30
2008-10-01,131.20
2008-11-01,122.60
2008-12-01,114.10
2009-01-01,122.30
2009-02-01,118.50
2009-03-01,112.00
2009-04-01,118.80
2009-05-01,122.90
2009-06-01,128.30
2009-07-01,119.70
2009-08-01,121.10
2009-09-01,114.80
2009-10-01,118.30
2009-11-01,122.90
2009-12-01,126.80
2010-01-01,130.80
2010-02-01,123.30
2010-03-01,126.20
2010-04-01,127.90
2010-05-01,134.70
2010-06-01,134.10
2010-07-01,131.90
2010-08-01,139.70
2010-09-01,144.60
2010-10-01,148.50
2010-11-01,163.40
2010-12-01,165.30
2011-01-01,175.00
2011-02-01,181.70
2011-03-01,186.00
2011-04-01,184.90
2011-05-01,184.30
2011-06-01,184.10
2011-07-01,176.70
2011-08-01,180.10
2011-09-01,182.30
2011-10-01,166.10
2011-11-01,170.10
2011-12-01,166.00
2012-01-01,166.40
2012-02-01,163.70
2012-03-01,164.90
2012-04-01,167.50
2012-05-01,167.70
2012-06-01,158.30
2012-07-01,171.00
2012-08-01,179.50
2012-09-01,180.90
2012-10-01,175.60
2012-11-01,175.80
2012-12-01,175.50
2013-01-01,172.40
2013-02-01,176.80
2013-03-01,174.10
2013-04-01,169.20
2013-05-01,172.00
2013-06-01,171.90
2013-07-01,168.80
2013-08-01,158.10
2013-09-01,160.70
2013-10-01,158.90
2013-11-01,158.40
2013-12-01,160.50
2014-01-01,168.80
2014-02-01,180.50
2014-03-01,195.20
2014-04-01,168.50
2014-05-01,168.20
2014-06-01,164.30
2014-07-01,157.50
2014-08-01,150.60
2014-09-01,148.40
2014-10-01,143.00
2014-11-01,146.10
2014-12-01,147.10
2015-01-01,141.10
2015-02-01,135.40
2015-03-01,138.10
2015-04-01,135.00
2015-05-01,134.40
2015-06-01,131.40
2015-07-01,135.10
2015-08-01,129.80
2015-09-01,126.30
2015-10-01,124.70
2015-11-01,120.40
2015-12-01,119.90
2016-01-01,120.70
2016-02-01,118.70
2016-03-01,112.20
2016-04-01,115.20
2016-05-01,120.40
2016-06-01,126.70
2016-07-01,127.60
2016-08-01,122.10
2016-09-01,122.20
2016-10-01,122.60
2016-11-01,122.20
2016-12-01,130.20
2017-01-01,133.00
2017-02-01,133.50
2017-03-01,131.00
2017-04-01,132.70
2017-05-01,132.20
2017-06-01,128.50
2017-07-01,134.50
2017-08-01,132.40
2017-09-01,133.20
2017-10-01,137.70
2017-11-01,137.60
2017-12-01,138.30
2018-01-01,139.90
2018-02-01,137.10
2018-03-01,141.70
2018-04-01,140.60
2018-05-01,142.50
