Date,CAPUTLGMFDS
1967-01-01,90.36
1967-02-01,88.95
1967-03-01,87.97
1967-04-01,87.70
1967-05-01,87.44
1967-06-01,86.62
1967-07-01,85.93
1967-08-01,86.71
1967-09-01,85.91
1967-10-01,86.11
1967-11-01,87.89
1967-12-01,88.43
1968-01-01,87.95
1968-02-01,87.91
1968-03-01,87.25
1968-04-01,87.07
1968-05-01,87.96
1968-06-01,87.83
1968-07-01,87.05
1968-08-01,86.72
1968-09-01,86.14
1968-10-01,86.64
1968-11-01,87.65
1968-12-01,87.92
1969-01-01,88.07
1969-02-01,88.17
1969-03-01,88.48
1969-04-01,87.97
1969-05-01,86.83
1969-06-01,87.39
1969-07-01,87.41
1969-08-01,87.43
1969-09-01,87.23
1969-10-01,87.17
1969-11-01,85.19
1969-12-01,83.97
1970-01-01,80.89
1970-02-01,80.60
1970-03-01,80.46
1970-04-01,79.60
1970-05-01,79.24
1970-06-01,78.68
1970-07-01,78.38
1970-08-01,78.03
1970-09-01,76.33
1970-10-01,73.08
1970-11-01,72.29
1970-12-01,75.03
1971-01-01,75.53
1971-02-01,75.53
1971-03-01,75.15
1971-04-01,75.07
1971-05-01,75.84
1971-06-01,75.50
1971-07-01,74.92
1971-08-01,73.20
1971-09-01,75.11
1971-10-01,76.30
1971-11-01,76.30
1971-12-01,76.86
1972-01-01,79.11
1972-02-01,79.85
1972-03-01,80.22
1972-04-01,81.30
1972-05-01,81.12
1972-06-01,81.13
1972-07-01,81.10
1972-08-01,82.12
1972-09-01,82.70
1972-10-01,83.94
1972-11-01,85.19
1972-12-01,86.39
1973-01-01,87.17
1973-02-01,88.49
1973-03-01,88.46
1973-04-01,88.04
1973-05-01,88.35
1973-06-01,88.57
1973-07-01,88.84
1973-08-01,88.15
1973-09-01,88.98
1973-10-01,89.21
1973-11-01,89.52
1973-12-01,89.26
1974-01-01,87.44
1974-02-01,86.55
1974-03-01,86.22
1974-04-01,85.64
1974-05-01,86.12
1974-06-01,86.08
1974-07-01,85.67
1974-08-01,84.67
1974-09-01,85.12
1974-10-01,84.39
1974-11-01,81.49
1974-12-01,77.18
1975-01-01,75.11
1975-02-01,72.61
1975-03-01,71.63
1975-04-01,70.93
1975-05-01,70.18
1975-06-01,69.88
1975-07-01,70.43
1975-08-01,71.18
1975-09-01,72.35
1975-10-01,72.19
1975-11-01,72.01
1975-12-01,72.86
1976-01-01,74.14
1976-02-01,75.22
1976-03-01,75.32
1976-04-01,75.91
1976-05-01,76.58
1976-06-01,76.53
1976-07-01,76.96
1976-08-01,77.66
1976-09-01,76.84
1976-10-01,76.28
1976-11-01,77.64
1976-12-01,78.27
1977-01-01,77.57
1977-02-01,78.67
1977-03-01,80.11
1977-04-01,80.78
1977-05-01,81.51
1977-06-01,82.24
