Date,U33GVS
1992-01-01,1055000000.00
1992-02-01,1257000000.00
1992-03-01,1359000000.00
1992-04-01,1365000000.00
1992-05-01,1381000000.00
1992-06-01,1471000000.00
1992-07-01,1197000000.00
1992-08-01,1262000000.00
1992-09-01,1500000000.00
1992-10-01,1486000000.00
1992-11-01,1416000000.00
1992-12-01,1467000000.00
1993-01-01,1129000000.00
1993-02-01,1203000000.00
1993-03-01,1259000000.00
1993-04-01,1140000000.00
1993-05-01,1241000000.00
1993-06-01,1404000000.00
1993-07-01,1134000000.00
1993-08-01,1286000000.00
1993-09-01,1455000000.00
1993-10-01,1403000000.00
1993-11-01,1333000000.00
1993-12-01,1416000000.00
1994-01-01,1108000000.00
1994-02-01,1308000000.00
1994-03-01,1346000000.00
1994-04-01,1311000000.00
1994-05-01,1419000000.00
1994-06-01,1656000000.00
1994-07-01,1087000000.00
1994-08-01,1277000000.00
1994-09-01,1587000000.00
1994-10-01,1540000000.00
1994-11-01,1564000000.00
1994-12-01,1571000000.00
1995-01-01,1186000000.00
1995-02-01,1348000000.00
1995-03-01,1275000000.00
1995-04-01,1295000000.00
1995-05-01,1379000000.00
1995-06-01,1539000000.00
1995-07-01,1064000000.00
1995-08-01,1186000000.00
1995-09-01,1385000000.00
1995-10-01,1470000000.00
1995-11-01,1479000000.00
1995-12-01,1349000000.00
1996-01-01,1115000000.00
1996-02-01,1187000000.00
1996-03-01,1213000000.00
1996-04-01,1182000000.00
1996-05-01,1266000000.00
1996-06-01,1424000000.00
1996-07-01,1149000000.00
1996-08-01,1006000000.00
1996-09-01,1161000000.00
1996-10-01,1207000000.00
1996-11-01,1171000000.00
1996-12-01,1137000000.00
1997-01-01,1034000000.00
1997-02-01,1116000000.00
1997-03-01,1265000000.00
1997-04-01,1228000000.00
1997-05-01,1124000000.00
1997-06-01,1289000000.00
1997-07-01,1065000000.00
1997-08-01,1086000000.00
1997-09-01,1324000000.00
1997-10-01,1277000000.00
1997-11-01,1314000000.00
1997-12-01,1472000000.00
1998-01-01,1029000000.00
1998-02-01,1208000000.00
1998-03-01,1348000000.00
1998-04-01,1156000000.00
1998-05-01,1205000000.00
1998-06-01,1389000000.00
1998-07-01,1166000000.00
1998-08-01,1152000000.00
1998-09-01,1515000000.00
1998-10-01,1249000000.00
1998-11-01,1338000000.00
1998-12-01,1314000000.00
1999-01-01,1015000000.00
1999-02-01,966000000.00
1999-03-01,1230000000.00
1999-04-01,1199000000.00
1999-05-01,1225000000.00
1999-06-01,1482000000.00
1999-07-01,1175000000.00
1999-08-01,1210000000.00
1999-09-01,1474000000.00
1999-10-01,1346000000.00
1999-11-01,1375000000.00
1999-12-01,1289000000.00
2000-01-01,973000000.00
2000-02-01,1017000000.00
2000-03-01,1126000000.00
2000-04-01,982000000.00
2000-05-01,985000000.00
2000-06-01,1071000000.00
2000-07-01,798000000.00
2000-08-01,876000000.00
2000-09-01,1063000000.00
2000-10-01,876000000.00
2000-11-01,839000000.00
2000-12-01,1030000000.00
2001-01-01,737000000.00
2001-02-01,767000000.00
2001-03-01,905000000.00
2001-04-01,760000000.00
2001-05-01,819000000.00
2001-06-01,987000000.00
2001-07-01,804000000.00
2001-08-01,798000000.00
2001-09-01,796000000.00
2001-10-01,819000000.00
2001-11-01,630000000.00
2001-12-01,708000000.00
2002-01-01,552000000.00
2002-02-01,552000000.00
2002-03-01,665000000.00
2002-04-01,579000000.00
2002-05-01,606000000.00
2002-06-01,702000000.00
2002-07-01,581000000.00
2002-08-01,594000000.00
2002-09-01,652000000.00
2002-10-01,632000000.00
2002-11-01,609000000.00
2002-12-01,633000000.00
2003-01-01,475000000.00
2003-02-01,464000000.00
2003-03-01,558000000.00
2003-04-01,499000000.00
2003-05-01,533000000.00
2003-06-01,634000000.00
2003-07-01,550000000.00
2003-08-01,574000000.00
2003-09-01,620000000.00
2003-10-01,696000000.00
2003-11-01,644000000.00
2003-12-01,697000000.00
2004-01-01,511000000.00
2004-02-01,546000000.00
2004-03-01,672000000.00
2004-04-01,613000000.00
2004-05-01,614000000.00
2004-06-01,702000000.00
2004-07-01,601000000.00
2004-08-01,572000000.00
2004-09-01,638000000.00
2004-10-01,632000000.00
2004-11-01,668000000.00
2004-12-01,643000000.00
2005-01-01,491000000.00
2005-02-01,524000000.00
2005-03-01,623000000.00
2005-04-01,562000000.00
2005-05-01,579000000.00
2005-06-01,701000000.00
2005-07-01,586000000.00
2005-08-01,613000000.00
2005-09-01,690000000.00
2005-10-01,701000000.00
2005-11-01,770000000.00
2005-12-01,802000000.00
2006-01-01,531000000.00
2006-02-01,551000000.00
2006-03-01,709000000.00
2006-04-01,629000000.00
2006-05-01,677000000.00
2006-06-01,753000000.00
2006-07-01,640000000.00
2006-08-01,704000000.00
2006-09-01,754000000.00
2006-10-01,761000000.00
2006-11-01,797000000.00
2006-12-01,817000000.00
2007-01-01,576000000.00
2007-02-01,628000000.00
2007-03-01,796000000.00
2007-04-01,682000000.00
2007-05-01,707000000.00
2007-06-01,704000000.00
2007-07-01,638000000.00
2007-08-01,691000000.00
2007-09-01,723000000.00
2007-10-01,725000000.00
2007-11-01,782000000.00
2007-12-01,810000000.00
2008-01-01,583000000.00
2008-02-01,661000000.00
2008-03-01,772000000.00
2008-04-01,746000000.00
2008-05-01,735000000.00
2008-06-01,720000000.00
2008-07-01,744000000.00
2008-08-01,707000000.00
2008-09-01,831000000.00
2008-10-01,863000000.00
2008-11-01,762000000.00
2008-12-01,879000000.00
2009-01-01,516000000.00
2009-02-01,672000000.00
2009-03-01,631000000.00
2009-04-01,589000000.00
2009-05-01,602000000.00
2009-06-01,641000000.00
2009-07-01,663000000.00
2009-08-01,708000000.00
2009-09-01,751000000.00
2009-10-01,697000000.00
2009-11-01,694000000.00
2009-12-01,793000000.00
2010-01-01,531000000.00
2010-02-01,581000000.00
2010-03-01,787000000.00
2010-04-01,623000000.00
2010-05-01,635000000.00
2010-06-01,750000000.00
2010-07-01,619000000.00
2010-08-01,709000000.00
2010-09-01,768000000.00
2010-10-01,702000000.00
2010-11-01,725000000.00
2010-12-01,785000000.00
2011-01-01,633000000.00
2011-02-01,678000000.00
2011-03-01,870000000.00
2011-04-01,654000000.00
2011-05-01,679000000.00
2011-06-01,754000000.00
2011-07-01,626000000.00
2011-08-01,773000000.00
2011-09-01,780000000.00
2011-10-01,697000000.00
2011-11-01,710000000.00
2011-12-01,728000000.00
2012-01-01,509000000.00
2012-02-01,595000000.00
2012-03-01,716000000.00
2012-04-01,495000000.00
2012-05-01,588000000.00
2012-06-01,660000000.00
2012-07-01,496000000.00
2012-08-01,620000000.00
2012-09-01,589000000.00
2012-10-01,596000000.00
2012-11-01,605000000.00
2012-12-01,616000000.00
2013-01-01,486000000.00
2013-02-01,510000000.00
2013-03-01,636000000.00
2013-04-01,515000000.00
2013-05-01,582000000.00
2013-06-01,587000000.00
2013-07-01,534000000.00
2013-08-01,585000000.00
2013-09-01,623000000.00
2013-10-01,585000000.00
2013-11-01,532000000.00
2013-12-01,591000000.00
2014-01-01,446000000.00
2014-02-01,466000000.00
2014-03-01,534000000.00
2014-04-01,420000000.00
2014-05-01,448000000.00
2014-06-01,499000000.00
2014-07-01,436000000.00
2014-08-01,451000000.00
2014-09-01,580000000.00
2014-10-01,516000000.00
2014-11-01,529000000.00
2014-12-01,609000000.00
2015-01-01,400000000.00
2015-02-01,422000000.00
2015-03-01,578000000.00
2015-04-01,468000000.00
2015-05-01,471000000.00
2015-06-01,582000000.00
2015-07-01,476000000.00
2015-08-01,517000000.00
2015-09-01,588000000.00
2015-10-01,590000000.00
2015-11-01,528000000.00
2015-12-01,671000000.00
2016-01-01,453000000.00
2016-02-01,483000000.00
2016-03-01,670000000.00
2016-04-01,485000000.00
2016-05-01,519000000.00
