Date,UNAPUO
2008-08-01,417541000000.00
2008-09-01,419302000000.00
2008-10-01,419431000000.00
2008-11-01,418513000000.00
2008-12-01,423469000000.00
2009-01-01,419056000000.00
2009-02-01,408436000000.00
2009-03-01,400657000000.00
2009-04-01,390108000000.00
2009-05-01,384900000000.00
2009-06-01,377440000000.00
2009-07-01,375011000000.00
2009-08-01,370752000000.00
2009-09-01,362376000000.00
2009-10-01,357577000000.00
2009-11-01,351975000000.00
2009-12-01,347206000000.00
2010-01-01,346225000000.00
2010-02-01,348890000000.00
2010-03-01,345099000000.00
2010-04-01,347017000000.00
2010-05-01,346650000000.00
2010-06-01,344360000000.00
2010-07-01,344764000000.00
2010-08-01,342777000000.00
2010-09-01,348448000000.00
2010-10-01,352857000000.00
2010-11-01,352230000000.00
2010-12-01,354167000000.00
2011-01-01,354125000000.00
2011-02-01,355658000000.00
2011-03-01,359311000000.00
2011-04-01,357725000000.00
2011-05-01,359815000000.00
2011-06-01,358166000000.00
2011-07-01,360847000000.00
2011-08-01,367102000000.00
2011-09-01,368207000000.00
2011-10-01,365888000000.00
2011-11-01,373668000000.00
2011-12-01,394866000000.00
2012-01-01,402369000000.00
2012-02-01,411972000000.00
2012-03-01,413361000000.00
2012-04-01,412150000000.00
2012-05-01,412592000000.00
2012-06-01,413640000000.00
2012-07-01,426026000000.00
2012-08-01,419177000000.00
2012-09-01,425076000000.00
2012-10-01,429722000000.00
2012-11-01,433345000000.00
2012-12-01,449091000000.00
2013-01-01,448282000000.00
2013-02-01,461095000000.00
2013-03-01,459839000000.00
2013-04-01,459744000000.00
2013-05-01,466186000000.00
2013-06-01,483189000000.00
2013-07-01,485395000000.00
2013-08-01,484118000000.00
2013-09-01,494512000000.00
2013-10-01,498323000000.00
2013-11-01,512327000000.00
2013-12-01,533648000000.00
2014-01-01,533018000000.00
2014-02-01,537918000000.00
2014-03-01,540567000000.00
2014-04-01,538177000000.00
2014-05-01,539343000000.00
2014-06-01,542191000000.00
2014-07-01,602794000000.00
2014-08-01,603523000000.00
2014-09-01,607016000000.00
2014-10-01,604904000000.00
2014-11-01,609706000000.00
2014-12-01,615353000000.00
2015-01-01,612187000000.00
2015-02-01,608766000000.00
2015-03-01,610016000000.00
2015-04-01,605552000000.00
2015-05-01,597501000000.00
2015-06-01,601512000000.00
2015-07-01,605802000000.00
2015-08-01,602119000000.00
2015-09-01,598147000000.00
2015-10-01,598644000000.00
2015-11-01,597560000000.00
2015-12-01,608667000000.00
2016-01-01,608660000000.00
2016-02-01,603811000000.00
2016-03-01,598556000000.00
2016-04-01,597881000000.00
2016-05-01,597705000000.00
2016-06-01,590876000000.00
2016-07-01,590826000000.00
2016-08-01,584078000000.00
2016-09-01,579998000000.00
2016-10-01,588397000000.00
2016-11-01,585230000000.00
2016-12-01,587712000000.00
2017-01-01,581952000000.00
2017-02-01,579949000000.00
2017-03-01,580950000000.00
2017-04-01,577756000000.00
2017-05-01,572967000000.00
2017-06-01,587231000000.00
2017-07-01,583199000000.00
2017-08-01,578754000000.00
2017-09-01,577981000000.00
2017-10-01,577698000000.00
2017-11-01,580921000000.00
2017-12-01,593110000000.00
2018-01-01,590130000000.00
2018-02-01,590375000000.00
2018-03-01,599339000000.00
2018-04-01,601683000000.00
2018-05-01,600834000000.00
